feature,importance
rsi_14,0.0029625872152233713
ma20_ratio,0.0025810911555181034
vol_20,0.002158713645520773
market_ma20_ratio,0.0012290109790159388
ma5_ratio,0.0011943192102922453
excess_ret_20,0.0010981454265345484
vol_5,0.0009177849075195658
ret_20,0.0008982405031292494
ma60_ratio,0.0007771914842162927
market_ret_20,0.0004893986020494765
ret_5,0.0002995737838689804
excess_ret_5,0.0002791072299758059
range_ratio,0.00027306841474933325
market_ret_1,0.00019520494230288303
volume_ratio,0.00018448040918142298
excess_ret_1,0.0001839872818320183
ret_1,0.00016610956778222836
market_ret_5,0.00015437025746806163
