date,ic,top_alpha,bottom_alpha,spread,year,seed
2018-01-02,0.31591836734693873,0.027141863025067183,0.0012210222734598695,0.025920840751607315,2018,42
2018-01-03,0.1987755102040816,0.00894957331252001,-0.00544192517728987,0.01439149848980988,2018,42
2018-01-04,0.3290900279139183,-0.0011087909051751153,-0.025726308114430885,0.02461751720925577,2018,42
2018-01-05,0.225,0.007909699844029783,-0.030368858741962847,0.038278558585992634,2018,42
2018-01-08,0.059795918367346934,-0.005318937166988478,-0.0005646607688009927,-0.004754276398187485,2018,42
2018-01-09,0.04765306122448979,-0.02108024285419864,-0.009058030818062446,-0.012022212036136196,2018,42
2018-01-10,-0.1305778802141018,-0.03210952937512544,0.003945598610052664,-0.036055127985178105,2018,42
2018-01-11,-0.06683843977786558,-0.027096148101329,-0.013378161577221123,-0.013717986524107878,2018,42
2018-01-12,0.1719387755102041,-0.014432623496455676,-0.024456066769767637,0.010023443273311962,2018,42
2018-01-15,0.14592208989671418,-0.00980888361039509,-0.036820881089231844,0.027011997478836754,2018,42
2018-01-16,0.010612244897959183,-0.018922364007944423,-0.03328586714720521,0.014363503139260787,2018,42
2018-01-17,0.23704081632653057,-0.011779736126541127,-0.029651635093457855,0.017871898966916728,2018,42
2018-01-18,0.028367346938775507,-0.014329209199132152,-0.008738663362737677,-0.005590545836394475,2018,42
2018-01-19,0.07081632653061223,0.003170931607264967,-0.01013297579731038,0.013303907404575347,2018,42
2018-01-22,0.14010204081632652,0.023024064646936515,-0.010412675928308178,0.03343674057524469,2018,42
2018-01-23,0.165,0.011173345552297332,0.0108578689780222,0.00031547657427513295,2018,42
2018-01-24,0.43306122448979584,0.041392178143341535,-0.01055143908054986,0.051943617223891396,2018,42
2018-01-25,0.485930763698009,0.02721067357356355,-0.0201644047929139,0.04737507836647745,2018,42
2018-01-26,0.33163265306122447,0.005182933882890052,-0.02308740335688407,0.028270337239774124,2018,42
2018-01-29,0.021938775510204078,-0.004763950382461234,-0.0039014885033188274,-0.0008624618791424066,2018,42
2018-01-30,0.06030612244897959,0.0024143562819213507,0.0004055878663151713,0.0020087684156061794,2018,42
2018-01-31,0.15918367346938775,-0.0024658698802340804,-0.013886842290371564,0.011420972410137483,2018,42
