date,ic,top_alpha,bottom_alpha,top_bottom_spread,year
2018-01-02,0.38336734693877544,0.02830467302145366,-0.02142556515385731,0.04973023817531097,2018
2018-01-03,0.5694897959183672,0.030050542994133518,-0.010693544816644529,0.04074408781077805,2018
2018-01-04,0.6520408163265307,0.02277759335391933,-0.019615749548802283,0.04239334290272161,2018
2018-01-05,0.4221428571428571,0.0043061038938028645,-0.03905493295327546,0.04336103684707832,2018
2018-01-08,0.25999999999999995,-0.0018211315603868547,-0.03137392040390737,0.029552788843520517,2018
2018-01-09,0.06795918367346938,-0.005682666312755985,-0.025604249660690945,0.019921583347934962,2018
2018-01-10,-0.3272782954076514,-0.01784653096821905,-0.009312054485372003,-0.008534476482847046,2018
2018-01-11,-0.4228571428571428,-0.028063688466535383,-0.010174365449918739,-0.017889323016616644,2018
2018-01-12,-0.08653061224489796,-0.028532318434896786,-0.018166993377798073,-0.010365325057098713,2018
2018-01-15,-0.07642857142857142,-0.04094146230995382,-0.030426570753775726,-0.010514891556178092,2018
2018-01-16,-0.22285714285714284,-0.04184148383489997,-0.010317379234465506,-0.03152410460043446,2018
2018-01-17,-0.2971428571428571,-0.031043616562772894,-0.005650584249321349,-0.025393032313451545,2018
2018-01-18,-0.08377551020408162,-0.010352790330532083,-0.011541232844734727,0.0011884425142026436,2018
2018-01-19,-0.07428571428571427,-0.009870437441418923,0.004997218731118691,-0.014867656172537614,2018
2018-01-22,0.2390816326530612,0.0040132202973535884,-0.014955567484810072,0.01896878778216366,2018
2018-01-23,0.190204081632653,0.0056726311265466395,-0.0008422379311487557,0.006514869057695395,2018
2018-01-24,0.1357142857142857,0.004078708705330262,0.015707252783475942,-0.011628544078145679,2018
2018-01-25,0.08897959183673468,0.007862646603353958,0.005690951432413605,0.0021716951709403534,2018
2018-01-26,-0.010612244897959183,-0.008989749491981934,0.013396845019580803,-0.02238659451156274,2018
2018-01-29,-0.02214285714285714,0.005084938089108716,0.014287033584450751,-0.009202095495342035,2018
2018-01-30,-0.015,0.007575238406702428,0.0012117512255691329,0.006363487181133295,2018
2018-01-31,0.13357142857142856,0.007960397920261906,-0.005772940877667332,0.013733338797929238,2018
