date,top_k,gross_ret,net_ret,0050_ret,equal_weight_ret,buy_turnover,sell_turnover,turnover,transaction_cost,stocks,gross_equity,net_equity,0050_equity,equal_weight_equity,year
2018-01-02,3,0.03936246571225369,0.037881374198613704,0.013863965563603031,0.015995608302274398,1.0,0.0,0.5,0.001425,"1101.TW,2887.TW,2886.TW",1.0393624657122538,1.0378813741986137,1.013863965563603,1.0159956083022743,2018
2018-01-02,10,0.0393687586162484,0.037887658135220104,0.013863965563603031,0.015995608302274398,0.9999999999999999,0.0,0.49999999999999994,0.0014249999999999998,"1101.TW,2887.TW,2886.TW,1102.TW,2412.TW,1326.TW,5880.TW,4904.TW,2880.TW,2002.TW",1.0393687586162483,1.03788765813522,1.013863965563603,1.0159956083022743,2018
2018-01-02,5,0.041955934207550886,0.04047114700130505,0.013863965563603031,0.015995608302274398,1.0,0.0,0.5,0.001425,"1101.TW,2887.TW,2886.TW,1102.TW,2412.TW",1.0419559342075508,1.040471147001305,1.013863965563603,1.0159956083022743,2018
2018-01-09,3,-0.0005657225854763432,-0.006412413108351389,0.006539668161630541,0.004547027648275283,1.0,0.9999999999999999,1.0,0.005849999999999999,"5880.TW,2412.TW,2880.TW",1.038774474890904,1.0312260500697887,1.0204942994594237,1.0206153684237511,2018
2018-01-09,10,0.006591405316444543,0.004795911436241251,0.006539668161630541,0.004547027648275283,0.30491223070545664,0.3049122307054565,0.3049122307054566,0.0017837365496269205,"5880.TW,2412.TW,2880.TW,2884.TW,4904.TW,2887.TW,2886.TW,1101.TW,2892.TW,3008.TW",1.046219659377538,1.0428652754244045,1.0204942994594237,1.0206153684237511,2018
2018-01-09,5,-0.005277655916988056,-0.0099642339417374,0.006539668161630541,0.004547027648275283,0.8053749404951909,0.8053749404951908,0.8053749404951909,0.004711443401896866,"5880.TW,2412.TW,2880.TW,2884.TW,4904.TW",1.0364568493061395,1.0301036490829563,1.0204942994594237,1.0206153684237511,2018
2018-01-16,3,0.0022831051312368618,-0.0016257989787750171,0.03957472980937049,0.007712087258277363,0.6666666666666666,0.6666666666666667,0.6666666666666667,0.0039000000000000003,"2887.TW,2892.TW,2880.TW",1.0411461062247254,1.029549483810699,1.0608800856325333,1.028486443202174,2018
2018-01-16,10,-0.004000867775384498,-0.005770419501371582,0.03957472980937049,0.007712087258277363,0.303702548266385,0.3037025482663847,0.3037025482663849,0.001776659907358351,"2887.TW,2892.TW,2880.TW,5880.TW,2412.TW,2886.TW,2884.TW,2881.TW,5876.TW,1301.TW",1.0420338728563607,1.0368475053017923,1.0608800856325333,1.028486443202174,2018
2018-01-16,5,0.0032131973866921905,0.0008656785048073434,0.03957472980937049,0.007712087258277363,0.4,0.3999999999999999,0.39999999999999997,0.0023399999999999996,"2887.TW,2892.TW,2880.TW,5880.TW,2412.TW",1.0397871897457491,1.030995387669691,1.0608800856325333,1.028486443202174,2018
2018-01-23,3,-0.009480078031109802,-0.011415991370298029,-0.01617277867250766,-0.013470273157685802,0.33409258086238675,0.3340925808623868,0.3340925808623868,0.001954441598044963,"2887.TW,5880.TW,2892.TW",1.0312759598959287,1.0177961557882214,1.0437227068095274,1.0146324498732642,2018
2018-01-23,10,-0.01108948868761147,-0.013982051933200235,-0.01617277867250766,-0.013470273157685802,0.5,0.4999999999999999,0.49999999999999994,0.0029249999999999996,"2887.TW,5880.TW,2892.TW,2395.TW,3008.TW,2880.TW,2884.TW,3711.TW,2207.TW,2379.TW",1.0304782500112122,1.0223502496358534,1.0437227068095274,1.0146324498732642,2018
2018-01-23,5,-0.012189498704841827,-0.014508378568998781,-0.01617277867250766,-0.013470273157685802,0.40128113625941175,0.40128113625941175,0.40128113625941175,0.002347494647117559,"2887.TW,5880.TW,2892.TW,2395.TW,3008.TW",1.0271127051430322,1.0160373162824874,1.0437227068095274,1.0146324498732642,2018
2018-01-30,3,-0.02346236239412136,-0.027270859180784313,-0.03613751857873937,-0.034971424779102984,0.6666666666666666,0.6666666666666667,0.6666666666666667,0.0039000000000000003,"4904.TW,2892.TW,2357.TW",1.0070797895965051,0.9900399801489772,1.006005158101146,0.9791493074740844,2018
2018-01-30,10,-0.02955220441980997,-0.03352763249143664,-0.03613751857873937,-0.034971424779102984,0.7002544157647674,0.7002544157647674,0.7002544157647674,0.00409648833222389,"4904.TW,2892.TW,2357.TW,2887.TW,2883.TW,2327.TW,3045.TW,1101.TW,2886.TW,3711.TW",1.0000253461167128,0.988073266188534,1.006005158101146,0.9791493074740844,2018
