ticker,action,factor_before,factor_after,factor_diff,adjustment_factor,open_20250801,close_20250801
2330.TW,verify,0.9868457662648168,0.9868457676555616,1.409282888143694e-09,0.9868457669601892,1129.9384031694167,1125.0041743346158
2317.TW,verify,0.9710815086793364,0.9710814581976996,5.1984964825959205e-08,0.971081483438518,169.93925960174064,176.251289244091
2454.TW,verify,0.9751570875627281,0.9751571311090226,4.4655670396431934e-08,0.9751571093358753,1316.4620976034316,1316.4620976034316
2308.TW,verify,0.9947982330591381,0.9947982196261067,1.350327232017005e-08,0.9947982263426224,555.0974102991833,584.9413570894619
2382.TW,verify,0.9590551671084037,0.9590550758660475,9.513776014618058e-08,0.9590551214872256,264.69921353047425,273.3307096238593
2412.TW,verify,0.9627240203147711,0.9627240013530236,1.969593288637475e-08,0.9627240108338974,124.19139739757276,124.67275940298971
2303.TW,verify,0.9831736320192633,0.9831736851664422,5.405675631720937e-08,0.9831736585928528,40.06432658765875,40.3592786852366
3711.TW,verify,0.9909424828701332,0.9909424862619174,3.422786125000209e-09,0.9909424845660253,142.20024653522464,151.11872889631886
3034.TW,verify,0.9575645687705592,0.9575645964024431,2.8856418036537472e-08,0.9575645825865011,452.928047563415,453.8856121460015
2357.TW,verify,0.939999952056977,0.9399999632871241,1.1946965586422621e-08,0.9399999576720506,614.759972317521,625.0999718519137
2379.TW,verify,0.9527777895720109,0.9527778275516054,3.986196386934681e-08,0.9527778085618082,536.413906220298,524.0277947089945
3231.TW,verify,0.9646262192144627,0.9646261686061716,5.246414770079146e-08,0.9646261939103171,115.75514326923806,119.13133494792416
6669.TW,verify,0.9718534555831826,0.9718534934723535,3.898650558435681e-08,0.971853474527768,2643.4414507155293,2658.0192528334455
3017.TW,verify,0.9854775343013611,0.9854775537004818,1.9684995231304146e-08,0.9854775440009215,887.9152671448303,905.6538629368468
2327.TW,verify,0.24821898262455777,0.24821897132374415,4.552759726907207e-08,0.24821897697415096,129.81852495748095,133.79002858906736
2345.TW,verify,0.9921465818122898,0.9921466029969986,2.1352397960341672e-08,0.9921465924046442,864.1596819844451,877.0575876857055
2395.TW,verify,0.9789461457072001,0.9789461779520607,3.293833913212697e-08,0.9789461618296305,325.0101257274373,310.8154063809077
3008.TW,verify,0.9586090281448203,0.9586089318539915,1.004484943955064e-07,0.958608979999406,2233.558923398616,2243.14501319861
2408.TW,verify,0.996796322189999,0.9967963518415178,2.974681757422055e-08,0.9967963370157584,42.9120823085284,44.30759718035046
3037.TW,verify,0.99795654296875,0.9979565655743634,2.2651901312165514e-08,0.9979565542715567,133.22719999525282,138.2169827666106
2002.TW,verify,0.9921466660683443,0.9921465841348116,8.258208077645175e-08,0.992146625101578,19.148429864460457,19.09882253320538
1301.TW,verify,0.9906014803565542,0.9906013922143329,8.897849131938233e-08,0.9906014362854435,41.40714003673153,40.317478456817554
1303.TW,verify,0.9951952700213198,0.9951952444129731,2.5731982221295165e-08,0.9951952572171465,39.60877123724243,39.60877123724243
1326.TW,insert,0.9887005758037599,0.9887005621036196,1.3856713332337608e-08,0.9887005689536897,27.88135604449405,27.53531084536026
1101.TW,insert,0.9667359654304912,0.9667359820063811,1.7146242959337745e-08,0.9667359737184362,23.346673765300235,23.346673765300235
1102.TW,insert,0.9339080622166763,0.9339080622166763,0.0,0.9339080622166763,37.356322488667054,37.496408697999556
1216.TW,insert,0.9616368226330689,0.9616368293762207,7.012160549964864e-09,0.9616368260046448,75.87314557176649,76.35396398476881
2207.TW,insert,0.9591419385827106,0.9591419566761363,1.8864179386968888e-08,0.9591419476294234,521.7732195104063,522.7323614580357
2603.TW,insert,0.9274376763237847,0.9274376633816396,1.3954733082408567e-08,0.9274376698527121,182.24150212605792,185.02381513561608
2609.TW,insert,0.9600798079842016,0.9600797974237121,1.0999595505653827e-08,0.9600798027039568,57.89281210304859,58.66087594521176
2615.TW,insert,0.9637680827832141,0.9637681087037511,2.689499377862827e-08,0.9637680957434827,84.81159242542647,86.93188223606214
2618.TW,insert,0.952830144562211,0.9528302833887103,1.4569909440327912e-07,0.9528302139754607,35.8740575561761,36.25518964176628
2880.TW,insert,0.90851860179303,0.90851852905891,8.005793478314332e-08,0.90851856542597,25.801927258097546,26.256186540810532
2881.TW,insert,0.9435916641383495,0.9435916174025762,4.9529660111514486e-08,0.9435916407704629,76.80835955871568,77.94066952764022
2882.TW,insert,0.965517228851569,0.9655172119140625,1.754241783665488e-08,0.9655172203828157,58.41379183316035,59.08965388742833
2883.TW,insert,0.9567059341229891,0.9567058824172626,5.4045580811411994e-08,0.9567059082701259,14.398423919465396,14.637600396532926
2884.TW,insert,0.9593613694498953,0.9593613162362502,5.546778118895072e-08,0.9593613428430727,30.36378650098325,30.939403306689094
2885.TW,insert,0.906817729656513,0.9068177125164281,1.890135636785488e-08,0.9068177210864705,28.06600846762626,28.610099100278145
2886.TW,insert,0.9281934818751375,0.9281935597465257,8.389563865792114e-08,0.9281935208108316,39.35540528237926,39.587453662581964
2887.TW,insert,0.9093543586380984,0.9093543133103703,4.984605706853061e-08,0.9093543359742344,14.731540242782597,14.867943393178734
2891.TW,insert,0.9642311789772727,0.9642312339433892,5.700512083399885e-08,0.9642312064603309,39.38884478390452,39.96738350778072
2892.TW,insert,0.9095758360785406,0.9095758476004695,1.2667364639049399e-08,0.909575841839505,26.832487334265398,27.28727525518515
5880.TW,insert,0.8919451555867834,0.8919451503680019,5.851011691274112e-09,0.8919451529773927,22.432420597381427,22.878393173870123
5871.TW,insert,0.9320587947450835,0.9320587947450835,0.0,0.9320587947450835,106.72073199831206,107.1867613956846
5876.TW,insert,0.9518011226210483,0.951801153660897,3.261169528750085e-08,0.9518011381409727,40.49913842789839,41.40334950913231
2912.TW,insert,0.9626556038856506,0.9626556160827401,1.2670252292770304e-08,0.9626556099841954,246.43983615595403,247.4024917659382
3045.TW,insert,0.9580151887866558,0.9580152279862734,4.091753158905032e-08,0.9580152083864646,101.07060448477202,101.54961208896525
4904.TW,insert,0.9630166360768723,0.9630166718454072,3.714217689236448e-08,0.9630166539611398,78.4858572978329,78.67846062862512
1590.TW,insert,0.9539624508296218,0.9539624177956882,3.462812832075187e-08,0.953962434312655,802.2824072569429,767.9397596216874
9910.TW,insert,0.9553862499589679,0.9553862889607747,4.082307651985378e-08,0.9553862694598714,112.25788666153488,114.16865920045463
