threshold,accuracy,balanced_accuracy,stock_exposure
0.35,0.5971074380165289,0.51780848408136,0.9710743801652892
0.36,0.5909090909090909,0.5146704639347432,0.9524793388429752
0.37,0.5909090909090909,0.516832797145017,0.9400826446280992
0.38,0.5888429752066116,0.5172283459029938,0.9256198347107438
0.39,0.5909090909090909,0.5218782413023223,0.9111570247933884
0.4,0.5867768595041323,0.5219485610815182,0.8863636363636364
0.41000000000000003,0.5867768595041323,0.5277147829755815,0.8533057851239669
0.42000000000000004,0.5867768595041323,0.5305978939226131,0.8367768595041323
0.43000000000000005,0.5826446280991735,0.5364344355958722,0.7789256198347108
0.44000000000000006,0.5805785123966942,0.5425962062479124,0.731404958677686
0.45000000000000007,0.5805785123966942,0.5505247613522494,0.6859504132231405
0.4600000000000001,0.5681818181818182,0.5492941652163212,0.6198347107438017
0.4700000000000001,0.5619834710743802,0.5526431447005257,0.5640495867768595
0.4800000000000001,0.5619834710743802,0.5634548107518942,0.5020661157024794
0.4900000000000001,0.5433884297520661,0.5554823057855598,0.4380165289256198
0.5000000000000001,0.5454545454545454,0.5644568676054358,0.3987603305785124
0.5100000000000001,0.5351239669421488,0.5621099449747728,0.3512396694214876
0.5200000000000001,0.5268595041322314,0.5608090290596488,0.30991735537190085
0.5300000000000001,0.506198347107438,0.5453035177469543,0.2768595041322314
0.5400000000000001,0.49586776859504134,0.5393527064325019,0.25
0.5500000000000002,0.48760330578512395,0.5373310127806199,0.2128099173553719
0.5600000000000002,0.4669421487603306,0.5211047237311675,0.18388429752066116
0.5700000000000002,0.44008264462809915,0.49885730358806674,0.15289256198347106
0.5800000000000002,0.4462809917355372,0.5092031011022625,0.13016528925619836
0.5900000000000002,0.44214876033057854,0.5078318654079427,0.11363636363636363
0.6000000000000002,0.4318181818181818,0.4989979431464585,0.10330578512396695
0.6100000000000002,0.4297520661157025,0.5008350473779513,0.08057851239669421
0.6200000000000002,0.4297520661157025,0.5037181583249829,0.0640495867768595
0.6300000000000002,0.4318181818181818,0.5083680537243113,0.049586776859504134
0.6400000000000002,0.42768595041322316,0.5048344848197176,0.045454545454545456
0.6500000000000002,0.4297520661157025,0.5080428247455303,0.03925619834710744
0.6600000000000003,0.4256198347107438,0.5045092558409366,0.03512396694214876
0.6700000000000003,0.41735537190082644,0.49744211803174937,0.026859504132231406
0.6800000000000003,0.42355371900826444,0.5056255823356715,0.01652892561983471
0.6900000000000003,0.42355371900826444,0.5056255823356715,0.01652892561983471
0.7000000000000003,0.42355371900826444,0.5056255823356715,0.01652892561983471
