horizon,feature_set,train_window,seeds,ic_mean,ic_median,ic_std,ic_min,ic_max,positive_seed_fraction,spread_mean,valid_ic_mean,best_epoch_mean,ic_minus_std,ic_2018,ic_2019,ic_2020,ic_2021,ic_2022,ic_2023,ic_2024,ic_2025,ic_2026
10,all,3,16,0.018552736355925865,0.021108099896192188,0.008749788995116409,-0.00383833367155629,0.032209221478095955,0.9375,0.006351701186413962,0.05087444350250522,18.381944444444443,0.009802947360809456,0.04335700021416606,-0.027248178265357276,0.038676586840356866,0.028614664585262226,-0.007612043467090769,0.00012266962388478726,-0.011394769433105682,0.032715136620595775,0.06974356048462071
10,all,5,16,0.028067822673729086,0.02890995739435021,0.009154110305174282,0.004571503415348965,0.04290736030822435,1.0,0.008222089232676644,0.05614818698727803,11.152777777777779,0.018913712368554804,0.04503320538408726,-0.006516556939828586,0.05483603413888265,0.03423834119350799,0.0035296166044039437,0.012337991599641582,0.0001045946666024377,0.057764970314244574,0.05128220710201966
10,all,8,16,0.03350986637595834,0.03392298109816528,0.006126414709708699,0.020541222231409233,0.040785838175551946,1.0,0.008785913130466363,0.062036516468226464,15.9375,0.027383451666249642,0.05166844571136773,0.0020768641325420063,0.04132908428266796,0.05789640655499535,0.028426400452482282,0.016980442879234326,-0.004067053145234513,0.04997405779513854,0.05730414872043107
10,all,expanding,16,0.03580933069722255,0.03885041559459992,0.00829310738123165,0.016333124807452117,0.04571130365853141,1.0,0.009092411469624377,0.06562617183428596,16.79861111111111,0.0275162233159909,0.05166844571136773,0.0020768641325420063,0.04132908428266796,0.04825941611972284,0.034189050739066876,0.017949847680500307,-0.00035042551790801207,0.07748732551050247,0.049674367616540455
10,no_absolute_returns,3,16,0.017405221774260272,0.017387556332495474,0.007615966369546827,-0.0027634807422668717,0.028072932848853767,0.9375,0.00696658555462677,0.052361278102448755,17.88888888888889,0.009789255404713445,0.03477026400789716,-0.03682791631373885,0.029646457966950736,0.023902076027015544,-0.006859734415487312,0.002229101834152031,0.00019391661579406822,0.041787582174265626,0.0678052480714933
10,no_absolute_returns,5,16,0.02775530130686524,0.028899354978552436,0.009799745696855062,0.006798777559046056,0.04136386878182852,1.0,0.00866754240079328,0.06302669371160605,9.75,0.01795555561001018,0.051290546281375166,-0.0139255983655926,0.06565752178771411,0.015412621384620868,-0.0030429239477343752,0.010160102581401,-0.004289517922560763,0.07369881001059223,0.05483614995197136
10,no_absolute_returns,8,16,0.038840397719915515,0.04031681250287997,0.009426952138964493,0.02126108462497275,0.05477006683431915,1.0,0.009705329565011436,0.06346841992272986,14.4375,0.02941344558095102,0.05864621164012076,0.006021621808884012,0.058762508095051326,0.04885256375021153,0.027560925944000225,0.012914899268651886,0.012302256499895563,0.06477599157106176,0.05972660090136227
10,no_absolute_returns,expanding,16,0.043299656834326745,0.045327797628134256,0.0074204049641927615,0.028380630258195552,0.0529532882756601,1.0,0.010562677757922011,0.06663780314705893,15.61111111111111,0.03587925187013399,0.05864621164012076,0.006021621808884012,0.058762508095051326,0.041410159883540625,0.03732507094713644,0.0172294345932178,0.005676726631988656,0.1051561224810672,0.059469055427933515
10,no_market_context,3,16,0.027873755634083577,0.028677339501709066,0.008674531008328467,0.011469528792314497,0.04140584309296416,1.0,0.008077966898926463,0.05833422699960849,22.47222222222222,0.01919922462575511,0.04772621027787683,-0.016144560304638875,0.06505421369180368,0.021921768282425314,0.017505810178246917,-0.003952051249824675,-0.0017997638069282688,0.043173466411608026,0.07737870722618301
10,no_market_context,5,16,0.03205336648853765,0.03450044802376527,0.007919781890641724,0.0162157129541025,0.04044664564751367,1.0,0.008194562949881721,0.06596090380842781,16.625,0.024133584597895923,0.043631489944820114,0.006582418664062957,0.07448081565885284,0.03818959277181451,0.0030728196279921566,0.0039245980259935385,0.02051262275421281,0.05644938893738645,0.041636552011703166
10,no_market_context,8,16,0.03721705325695646,0.03514851666058522,0.00805643957647893,0.024869521590524208,0.05093506472573177,1.0,0.009137777047472396,0.06560498036844438,17.23611111111111,0.029160613680477534,0.050589202895243365,0.01025972314878202,0.04568395093980256,0.043416318683817796,0.017918455515734892,0.007178491234324593,0.027217159130360425,0.07843079338586578,0.054259384378676466
10,no_market_context,expanding,16,0.041352023736253456,0.040920456230368045,0.009191940295024664,0.02769418258700466,0.057721322545022886,1.0,0.009332654024923039,0.06824973405984186,18.82638888888889,0.032160083441228796,0.050589202895243365,0.01025972314878202,0.04568395093980256,0.04096589818131758,0.031210016034329068,0.0162551072479066,0.04585099481361428,0.08900650373526442,0.04234681663002088
10,no_relative,3,16,0.018704212006054384,0.017318174279068056,0.008543517139167185,0.003987125351841378,0.03109679487981652,1.0,0.006189336878993909,0.052489168434903706,15.86111111111111,0.010160694866887199,0.05538095567379544,-0.039952394888125554,0.03512917640631873,0.03485015756643355,-0.011306732133535375,0.00902640816832855,-0.0068260948388142815,0.03130340370467935,0.06073302839540893
10,no_relative,5,16,0.029209440221437535,0.030552769053516157,0.007827493935378495,0.014603078860883146,0.04415113304418958,1.0,0.00859936108826373,0.06252525832799527,10.381944444444445,0.02138194628605904,0.048074365347235956,-0.00945753738995935,0.0590805964203391,0.041168257401954865,0.005840958110610038,0.013126225421632024,-0.001098073493953469,0.05474994504264041,0.051400225132437964
10,no_relative,8,16,0.04101031706697126,0.03998809293218998,0.004580619218661334,0.03444099992199015,0.050370697182502665,1.0,0.010642035978472818,0.06310722042255264,15.604166666666666,0.036429697848309926,0.054897910126734915,0.006472409782755282,0.058071582299722646,0.05872200791534999,0.024095282911662613,0.01503197340496023,0.0070532877014663565,0.07993089429219266,0.0648175051678963
10,no_relative,expanding,16,0.038869018170377516,0.04058585111585271,0.006372550702249759,0.023998798644696433,0.04720713678099364,1.0,0.009478914688027855,0.06889681466264994,15.506944444444445,0.03249646746812776,0.054897910126734915,0.006472409782755282,0.058071582299722646,0.05489439279497352,0.034751553583637115,0.011068992707873112,-0.0044036345205810444,0.07832247372633128,0.055745483031950524
10,no_trend,3,16,0.01612494188906482,0.014437234096878658,0.01004514634120219,0.0020445693360878845,0.03376890596067631,1.0,0.005579979203111509,0.0401307299709478,23.756944444444443,0.006079795547862629,0.04718482037352856,-0.022846407288746106,0.011183620487177325,0.009931520152012993,-0.0032957072299362876,0.00703123329451095,0.0175915269920741,0.0419255409855735,0.03641832923538811
10,no_trend,5,16,0.0205142693299742,0.02141046446208275,0.007947726622063904,0.0066987969026288995,0.033847687099831894,1.0,0.006792374507715407,0.05170402331818005,16.09722222222222,0.012566542707910295,0.03386639472969553,-0.03662285426355494,0.027747439955702474,0.017344868718047125,0.0010222610070903374,0.006144772125765188,0.017864929480112375,0.06636321166625014,0.050897400550659326
10,no_trend,8,16,0.02545997889145825,0.024864211935163714,0.006298129100425879,0.015128231075772824,0.0383419042552187,1.0,0.007919856409767908,0.05357950249398807,17.92361111111111,0.01916184979103237,0.039307564188126726,-0.02554060805451016,0.03450984162382396,0.028486376804707794,0.0023333426112929568,4.195102643639336e-05,0.03141771136042361,0.06427516985387925,0.05430846060894346
10,no_trend,expanding,16,0.025469744932481816,0.024138803444452482,0.007655168079758776,0.010575031324942495,0.03790079872290732,1.0,0.0076164328646150916,0.05733701979279332,17.46527777777778,0.01781457685272304,0.039307564188126726,-0.02554060805451016,0.03450984162382396,0.03004433134279813,0.01136161977359102,0.0071839146856099685,0.015617483301325981,0.06765447086625814,0.04908908666531229
10,no_volatility,3,16,0.025375949625804445,0.025020148692673924,0.005870701599199794,0.013704868296940837,0.03448212662240063,1.0,0.007104992230834495,0.05030863041426415,16.22222222222222,0.019505248026604652,0.052775446112324514,-0.015622525399246806,0.022080771292134115,0.0441091803736221,0.029639019967403712,0.013587893227101305,-0.0014902028434377905,0.013267846731210982,0.07003611717112769
10,no_volatility,5,16,0.031163015555781475,0.030889477584011917,0.004180317221678845,0.024314911281132334,0.040497764671168966,1.0,0.007734567570092313,0.053690955692727034,12.805555555555555,0.02698269833410263,0.03767331687700256,0.013716068115481888,0.036265136476638295,0.04395000007553324,0.018025636786340817,0.018545665505814664,-0.004703003142836868,0.052114952685382326,0.06487936662267606
10,no_volatility,8,16,0.042420779061913855,0.04371329001152303,0.00519018704618363,0.03307485540126119,0.04964158239932237,1.0,0.009394224452445178,0.0595258551894236,15.229166666666666,0.03723059201573022,0.05112402719709955,0.010837746163393688,0.054228382749683446,0.051739244362359944,0.04804948343842211,0.011949703184151683,0.02181840125066344,0.06544085688376687,0.06659916632768359
10,no_volatility,expanding,16,0.03978913454766217,0.04107048357427419,0.006434257433082025,0.029932842385121568,0.05067136246849585,1.0,0.009191588384714556,0.0616942609708869,16.694444444444443,0.03335487711458014,0.05112402719709955,0.010837746163393688,0.054228382749683446,0.04724700224204547,0.047975773160606874,0.018487687437641787,0.009748781794301569,0.062078826471027033,0.05637398371315981
20,all,3,16,0.029613775832612082,0.030825686321327907,0.00810189790998688,0.010783681971860878,0.04393227112316603,1.0,0.014029115079738263,0.06383368111897628,20.958333333333332,0.021511877922625204,0.05517047959308567,-0.010180946031042776,0.07240014094125041,0.04618217001373877,0.01566245019126757,0.010213037564442556,-0.03881995688934575,0.02401573025904574,0.09188087685106633
20,all,5,16,0.03709059952788838,0.03659240481666176,0.011147733335490547,0.011404834628962432,0.05341627682313044,1.0,0.017066985497731516,0.07185787970929217,16.45138888888889,0.025942866192397836,0.049241079504482664,-0.024268892968466533,0.08309692040081335,0.04626623452426798,0.025328245610913912,0.02642128052512463,-0.029093192127228433,0.08023637554195227,0.07658734473913535
20,all,8,16,0.04872173814110036,0.04779909611408088,0.008257326133677662,0.03051760143908304,0.06429607323451764,1.0,0.018719633909870616,0.0806834988516533,19.70138888888889,0.0404644120074227,0.04817468817823093,0.012623115326427032,0.07709082000146993,0.06081581099393566,0.06561292736003695,0.05182202515585483,-0.002452907874865675,0.06541743970315396,0.05939172442565927
20,all,expanding,16,0.05365907756961706,0.0548087474214784,0.008481533464585207,0.032069236960933174,0.0628481187501642,1.0,0.02092281290552217,0.08255636368592151,15.63888888888889,0.04517754410503186,0.04817468817823093,0.012623115326427032,0.07709082000146993,0.062206414416319994,0.06627476652434869,0.044889841472908885,0.0009205925267845244,0.07875537058981856,0.09199608909024468
20,no_absolute_returns,3,16,0.027225788411552578,0.02590385279458224,0.005434912659119845,0.020913829096676315,0.03873149509761501,1.0,0.014380941723839831,0.06697978752835819,19.02777777777778,0.021790875752432732,0.055316918377051806,-0.013307969236176586,0.08405249042096817,0.03559592136974379,0.018113365135306585,0.014963874227413824,-0.062163932467839196,0.027106346670899725,0.08535508120660484
20,no_absolute_returns,5,16,0.03935076931497934,0.04030138153583937,0.015418335772784796,0.010498814115744767,0.06623386785533374,1.0,0.01809763276127999,0.07700018921917297,12.180555555555555,0.023932433542194546,0.05739008137341222,-0.017946968056057326,0.10588992331626525,0.02915608617744513,0.030850596018415218,0.016579898840967777,-0.024422538671584136,0.0668946008155328,0.08976524402041691
20,no_absolute_returns,8,16,0.0463241008173251,0.04599158346940285,0.01694716420655832,0.017360714846315108,0.08589869529608057,1.0,0.017879462979378143,0.08253118095307796,16.958333333333332,0.029376936610766784,0.06417235519062546,0.0042335432323600125,0.07648506749638626,0.051339296572287016,0.0619557740462107,0.02527622680652413,0.0007126820091075434,0.05262607522347779,0.08011588677894672
20,no_absolute_returns,expanding,16,0.051551368489743316,0.05220858316395799,0.014932380848916524,0.02617127533589146,0.08790764811215286,1.0,0.02013577796037337,0.08454775312120032,14.708333333333334,0.03661898764082679,0.06417235519062546,0.0042335432323600125,0.07648506749638626,0.05801034658904023,0.07056831101172159,0.029084993206751564,-0.016617388582203622,0.09163368419651172,0.08639140406649634
20,no_market_context,3,16,0.03379511949484765,0.03470653380858975,0.012363243863736294,0.00862525602283644,0.05440628251527539,1.0,0.014220005489145378,0.0692680401334501,19.416666666666668,0.021431875631111354,0.0602703201233854,-0.005994453680433306,0.07474054928093682,0.029423737507723265,0.02335491354662801,-0.015821443096373906,-0.005191008636685205,0.032393916244183585,0.11097954416426395
20,no_market_context,5,16,0.04186895225562419,0.04676703353074595,0.011882882709524785,0.01516604652746469,0.055413190988057,1.0,0.018315281163347956,0.07996193099699826,17.78472222222222,0.029986069546099406,0.04770501949670944,0.005687522744828545,0.09849383835166715,0.04257345741462464,0.012778338960975376,0.015472257681411356,-0.016120543928061306,0.08646133660075597,0.08376934297770626
20,no_market_context,8,16,0.050123772456480205,0.05303918234691496,0.011793140455778856,0.027571682281894574,0.07396789360930743,1.0,0.02085568633517694,0.08157678197353359,16.0625,0.038330632000701345,0.05034872817543031,0.004564850146645908,0.07421569444104169,0.049765593255657034,0.04156243461416587,0.010219217847738464,0.009588005021901474,0.10882417429781827,0.10202525430792256
