horizon,seeds,ic_mean,ic_median,ic_std,ic_min,ic_max,spread_mean
1,8,0.03938140650180533,0.0400948950800421,0.001981872069818039,0.0367751107827844,0.041718927060986,0.0011598977652189876
3,8,0.03901093757961322,0.039030867762984894,0.0015843069563677517,0.0367271582414149,0.0411221917897269,0.0030649527238593
5,8,0.03972155521788603,0.0401712954166037,0.005140414313024803,0.0325269613497408,0.0479867684518486,0.0047118073174276
10,8,0.036830913500341726,0.03555062213631715,0.005821652941452851,0.0298669802850389,0.0458173591512981,0.00959170255646175
20,8,0.04635093009545326,0.0432403787920836,0.010848081666408183,0.0313663799278649,0.0612790399844732,0.017379565703996864
