========================================================================================================================
LOBSTER V5.3 REBALANCE PHASE AUDIT
========================================================================================================================

FROZEN CONFIGURATION
all features / expanding / Top10 -> Exit15

PRIMARY TEST: T+1 / 10 BPS
 horizon  phase     cagr  market_cagr  alpha_cagr  active_sharpe  rebalance_max_drawdown  mean_turnover  positive_alpha_years  worst_year  worst_year_alpha
      10      0 0.331109     0.241515    0.089594       0.426935               -0.260105       0.546437                     5        2024         -0.421002
      10      1 0.341873     0.243255    0.098618       0.487504               -0.244480       0.530488                     6        2024         -0.430761
      10      2 0.279760     0.241325    0.038434       0.226410               -0.309891       0.549998                     5        2024         -0.508145
      10      3 0.308079     0.245376    0.062703       0.324813               -0.333869       0.545865                     6        2024         -0.515714
      10      4 0.226463     0.244156   -0.017693       0.011665               -0.374178       0.553427                     4        2024         -0.534448
      10      5 0.232652     0.244927   -0.012275       0.000733               -0.297609       0.568784                     6        2024         -0.683558
      10      6 0.241899     0.245672   -0.003773       0.031407               -0.275355       0.571077                     6        2024         -0.514223
      10      7 0.230836     0.246055   -0.015219      -0.010655               -0.293676       0.534223                     3        2024         -0.458152
      10      8 0.239297     0.245822   -0.006525       0.023415               -0.333869       0.538084                     5        2024         -0.546829
      10      9 0.305170     0.248443    0.056728       0.311543               -0.288192       0.536282                     7        2024         -0.438841
      20      0 0.480590     0.251817    0.228773       0.960031               -0.270877       0.524134                     8        2024         -0.486946
      20      1 0.395801     0.254635    0.141166       0.654309               -0.315499       0.542825                     7        2024         -0.421705
      20      2 0.365724     0.253956    0.111768       0.506160               -0.250973       0.567551                     8        2024         -0.541324
      20      3 0.391620     0.250662    0.140958       0.567526               -0.220838       0.550084                     7        2024         -0.499172
      20      4 0.379553     0.250066    0.129487       0.563790               -0.273744       0.538488                     7        2024         -0.562881
      20      5 0.439122     0.249304    0.189818       0.767244               -0.229098       0.534944                     7        2024         -0.349384
      20      6 0.430171     0.251573    0.178598       0.726581               -0.191059       0.549928                     8        2024         -0.418524
      20      7 0.433282     0.249672    0.183610       0.745639               -0.230197       0.560041                     8        2024         -0.440764
      20      8 0.414963     0.247823    0.167139       0.685657               -0.260941       0.541884                     7        2024         -0.507154
      20      9 0.404174     0.247719    0.156455       0.603272               -0.207458       0.564202                     7        2024         -0.505631
      20     10 0.444151     0.244268    0.199883       0.774265               -0.232531       0.564414                     6        2024         -0.423058
      20     11 0.484913     0.238751    0.246162       0.872819               -0.197721       0.556799                     6        2024         -0.323396
      20     12 0.380637     0.237903    0.142735       0.584924               -0.251738       0.569702                     7        2024         -0.345591
      20     13 0.422491     0.243154    0.179337       0.712560               -0.262653       0.558728                     7        2024         -0.417176
      20     14 0.395433     0.241302    0.154131       0.667304               -0.302089       0.564552                     7        2024         -0.443405
      20     15 0.390132     0.238985    0.151148       0.698618               -0.230841       0.537856                     7        2024         -0.401943
      20     16 0.325714     0.238274    0.087440       0.452156               -0.271278       0.579872                     7        2024         -0.499891
      20     17 0.336767     0.233644    0.103123       0.536160               -0.333797       0.560320                     7        2024         -0.435970
      20     18 0.330769     0.231308    0.099460       0.512468               -0.302639       0.568407                     8        2024         -0.560372
      20     19 0.391691     0.236233    0.155458       0.724269               -0.279761       0.540181                     8        2024         -0.455565

PRIMARY PHASE DISTRIBUTION
 horizon  phases  cagr_min  cagr_median  cagr_max  market_cagr_median  alpha_cagr_min  alpha_cagr_median  alpha_cagr_max  beat_market_fraction  active_sharpe_min  active_sharpe_median  active_sharpe_max  positive_sharpe_fraction  worst_sharpe_phase  worst_alpha_phase  rebalance_mdd_worst  positive_alpha_years_min  worst_year_alpha_min  phase0_cagr  phase0_active_sharpe
      10      10  0.226463     0.260829  0.341873            0.245152       -0.017693           0.017331        0.098618                   0.5          -0.010655              0.128908           0.487504                       0.9                   7                  4            -0.374178                         3             -0.683558     0.331109              0.426935
      20      20  0.325714     0.395617  0.484913            0.245994        0.087440           0.154795        0.246162                   1.0           0.452156              0.676481           0.960031                       1.0                  16                 16            -0.333797                         6             -0.562881     0.480590              0.960031

FULL DELAY / COST / PHASE SUMMARY
 horizon  execution_delay  slippage_bps  phases  cagr_min  cagr_median  cagr_max  market_cagr_median  alpha_cagr_min  alpha_cagr_median  alpha_cagr_max  beat_market_fraction  active_sharpe_min  active_sharpe_median  active_sharpe_max  positive_sharpe_fraction  worst_sharpe_phase  worst_alpha_phase  rebalance_mdd_worst  positive_alpha_years_min  worst_year_alpha_min  phase0_cagr  phase0_active_sharpe
      10                5            30      10  0.088235     0.164859  0.233383            0.245747       -0.159547          -0.081005       -0.011545                  0.00          -0.770030             -0.319746           0.024101                       0.1                   5                  5            -0.508564                         2             -0.707413     0.191827             -0.151581
      10                5            50      10  0.029220     0.104017  0.170981            0.245747       -0.218561          -0.141846       -0.073947                  0.00          -1.103143             -0.623835          -0.251874                       0.0                   5                  5            -0.606968                         2             -0.756189     0.129775             -0.438751
      10                5           100      10 -0.105247    -0.034144  0.027886            0.245747       -0.353028          -0.279462       -0.217041                  0.00          -1.929345             -1.377782          -0.940226                       0.0                   5                  5            -0.840436                         0             -0.866050    -0.012152             -1.154497
      20                1             0      20  0.344555     0.414555  0.505168            0.245994        0.106281           0.173663        0.266417                  1.00           0.534250              0.741721           1.027464                       1.0                  16                 16            -0.325150                         6             -0.549228     0.499602              1.027464
      20                1            10      20  0.325714     0.395617  0.484913            0.245994        0.087440           0.154795        0.246162                  1.00           0.452156              0.676481           0.960031                       1.0                  16                 16            -0.333797                         6             -0.562881     0.480590              0.960031
      20                1            20      20  0.307114     0.376910  0.464906            0.245994        0.068840           0.136156        0.226155                  1.00           0.370030              0.611151           0.892540                       1.0                  16                 16            -0.342346                         5             -0.576360     0.461798              0.892540
      20                1            30      20  0.288752     0.358431  0.445144            0.245994        0.050478           0.117270        0.206393                  1.00           0.287883              0.543649           0.824997                       1.0                  16                 16            -0.351034                         5             -0.591765     0.443223              0.824997
      20                1            50      20  0.252732     0.322147  0.406716            0.245994        0.014458           0.080571        0.167596                  1.00           0.123568              0.404193           0.689784                       1.0                  16                 16            -0.368695                         4             -0.622238     0.406716              0.689784
      20                1           100      20  0.166658     0.236969  0.319097            0.245994       -0.071616          -0.006051        0.074716                  0.40          -0.286866              0.055393           0.351325                       0.7                  16                 16            -0.437916                         3             -0.694561     0.319097              0.351325
      20                2             0      20  0.328156     0.403286  0.502198            0.243711        0.096294           0.158087        0.264295                  1.00           0.509566              0.688058           0.931561                       1.0                  17                 16            -0.350593                         6             -0.566157     0.476509              0.931561
      20                2            10      20  0.310140     0.384755  0.481966            0.243711        0.077655           0.139189        0.244063                  1.00           0.434442              0.619728           0.871823                       1.0                  17                 16            -0.357604                         6             -0.581922     0.457808              0.864513
      20                2            20      20  0.292346     0.366447  0.461983            0.243711        0.059255           0.120523        0.224080                  1.00           0.354573              0.551362           0.813229                       1.0                  16                 16            -0.364550                         5             -0.597454     0.439323              0.797417
      20                2            30      20  0.274734     0.348359  0.442245            0.243711        0.041090           0.102087        0.204342                  1.00           0.272001              0.481545           0.754516                       1.0                  16                 16            -0.371431                         5             -0.612758     0.421051              0.730279
      20                2            50      20  0.239100     0.312836  0.403495            0.243711        0.005456           0.066272        0.165592                  1.00           0.106719              0.339703           0.636754                       1.0                  16                 16            -0.384999                         5             -0.642690     0.385139              0.595905
      20                2           100      20  0.153950     0.227723  0.310731            0.243711       -0.079694          -0.019363        0.072828                  0.35          -0.306799             -0.001736           0.340574                       0.5                  16                 16            -0.492401                         3             -0.713722     0.298944              0.259705
      20                3             0      20  0.317461     0.399476  0.506162            0.242228        0.086264           0.153504        0.263007                  1.00           0.466950              0.660644           0.955928                       1.0                  16                 16            -0.331642                         6             -0.546489     0.480494              0.955928
      20                3            10      20  0.299099     0.381184  0.485849            0.242228        0.067791           0.134750        0.242694                  1.00           0.386004              0.591660           0.888650                       1.0                  16                 16            -0.339040                         6             -0.559978     0.461718              0.888650
      20                3            20      20  0.280862     0.363110  0.465785            0.242228        0.049554           0.116226        0.222631                  1.00           0.305036              0.523453           0.821306                       1.0                  16                 16            -0.346366                         6             -0.573296     0.443159              0.821306
      20                3            30      20  0.262859     0.345251  0.445969            0.242228        0.031550           0.097928        0.202815                  1.00           0.224057              0.455846           0.753904                       1.0                  16                 16            -0.353620                         6             -0.586443     0.424815              0.753904
      20                3            50      20  0.227542     0.310170  0.407066            0.242228       -0.003766           0.062249        0.163912                  0.95           0.062102              0.323311           0.629909                       1.0                  16                 16            -0.367916                         5             -0.612237     0.388761              0.618950
      20                3           100      20  0.143152     0.226074  0.313941            0.242228       -0.088156          -0.021778        0.070787                  0.35          -0.342293             -0.006473           0.332352                       0.5                  16                 16            -0.498136                         3             -0.680503     0.302230              0.281003
      20                5             0      20  0.322127     0.396888  0.502853            0.240553        0.084437           0.161401        0.263869                  1.00           0.444116              0.676693           0.978318                       1.0                  18                 18            -0.339465                         6             -0.562155     0.462525              0.871161
      20                5            10      20  0.303943     0.378331  0.482596            0.240553        0.066253           0.142581        0.243612                  1.00           0.363853              0.611717           0.915651                       1.0                  18                 18            -0.347283                         5             -0.575288     0.443962              0.805992
      20                5            20      20  0.285988     0.359999  0.462588            0.240553        0.048298           0.123991        0.223603                  1.00           0.283511              0.546581           0.852809                       1.0                  18                 18            -0.355019                         5             -0.588306     0.425613              0.740766
      20                5            30      20  0.268258     0.341889  0.442826            0.240553        0.030568           0.105628        0.203841                  1.00           0.203100              0.481292           0.789797                       1.0                  18                 18            -0.362674                         5             -0.601309     0.407477              0.675490
      20                5            50      20  0.233463     0.306325  0.404029            0.240553       -0.004227           0.069575        0.165044                  0.95           0.042121              0.350274           0.663285                       1.0                  18                 18            -0.377745                         4             -0.626820     0.371833              0.544808
      20                5           100      20  0.150242     0.221929  0.311154            0.240553       -0.087448          -0.016747        0.072170                  0.25          -0.360703              0.010605           0.344397                       0.5                  18                 18            -0.490720                         2             -0.687791     0.286289              0.217632
