year,horizon,seed,feature_set,train_window,train_rows,valid_rows,refit_rows,test_rows,best_epoch,best_valid_ic,test_ic,test_spread,refit_final_loss,clip_lo,clip_hi,run
2024,20,42,all,expanding,128540,10900,140490,12100,30,0.0955437196409235,-0.0147105669146326,-0.0046809747054756,0.6714788312497346,-0.174796313047409,0.4286563694477081,v5_4b_repaired_h20_seed42_20260829_162139
2025,20,42,all,expanding,140490,11050,152590,12150,1,0.0620542775009102,0.0219293643383279,-0.0034760369805732,0.7346011328697205,-0.1791461855173111,0.3991438746452331,v5_4b_repaired_h20_seed42_20260829_162139
2026,20,42,all,expanding,152590,11100,164740,6900,5,0.1089949493310837,0.0995744182941762,0.0703442518620519,0.6903319469204655,-0.1806980967521667,0.3842253684997558,v5_4b_repaired_h20_seed42_20260829_162139
2018,20,123,all,expanding,55678,10878,67585,12226,5,0.0397543257890478,0.0723439219413425,0.0150941125014458,0.6914322863925587,-0.1552808582782745,0.7390825152397156,v5_4b_repaired_h20_seed123_20260829_162139
2019,20,123,all,expanding,67585,11176,79790,12050,15,0.0791976089060896,0.0776578936633335,0.0089989023719264,0.6858612390664908,-0.1627968847751617,0.7242862582206726,v5_4b_repaired_h20_seed123_20260829_162139
2020,20,123,all,expanding,79790,11000,91840,12250,15,0.0615334099702175,0.0673152852977925,0.0221794662791393,0.6850354790687561,-0.1599200069904327,0.6954249143600464,v5_4b_repaired_h20_seed123_20260829_162139
2021,20,123,all,expanding,91840,11200,104090,12150,35,0.0911528897273195,0.0715820577596354,0.032731154197645,0.6582404865938074,-0.1662531495094299,0.5463051795959473,v5_4b_repaired_h20_seed123_20260829_162139
2022,20,123,all,expanding,104090,11100,116240,12300,5,0.0930856997767051,0.0419116059416709,0.0106369543552457,0.6899509963236357,-0.175417959690094,0.5726451873779297,v5_4b_repaired_h20_seed123_20260829_162139
2023,20,123,all,expanding,116240,11250,128540,11950,5,0.0761992523731943,0.0377637679214372,0.0137414874555043,0.6891977332887196,-0.1767710298299789,0.4736236035823822,v5_4b_repaired_h20_seed123_20260829_162139
2024,20,123,all,expanding,128540,10900,140490,12100,45,0.0677764513026171,0.0353645575031218,0.0052046334434682,0.6453409402266793,-0.174796313047409,0.4286563694477081,v5_4b_repaired_h20_seed123_20260829_162139
2025,20,123,all,expanding,140490,11050,152590,12150,25,0.0223026136559473,0.0896562081622772,0.0316921528916511,0.6764664316177368,-0.1791461855173111,0.3991438746452331,v5_4b_repaired_h20_seed123_20260829_162139
2026,20,123,all,expanding,152590,11100,164740,6900,1,0.1229235477974974,0.1326774192280544,0.0839836406935604,0.7422098097977815,-0.1806980967521667,0.3842253684997558,v5_4b_repaired_h20_seed123_20260829_162139
2018,20,2026,all,expanding,55678,10878,67585,12226,15,0.0403311755367068,0.0576175795694182,0.0176055308898651,0.6863665201447227,-0.1552808582782745,0.7390825152397156,v5_4b_repaired_h20_seed2026_20260829_162359
