model,top_k,seeds,ic_mean,ic_median,ic_std,ic_min,ic_max,alpha_mean,alpha_median,alpha_std,sharpe_mean,positive_years_mean,turnover_mean
mlp_rank,3,8,0.04069744776558106,0.03945335332681715,0.004441442088058564,0.0359166776582961,0.0504853864044598,-0.031529339439044596,-0.031258500445475346,0.025724733692015313,-0.2388395562934682,3.625,0.831529139252
mlp_rank,5,8,0.04069744776558106,0.03945335332681715,0.004441442088058564,0.0359166776582961,0.0504853864044598,-0.04059201908489639,-0.0322036695709627,0.02975249409827754,-0.23308369652259459,3.875,0.7789022987817513
mlp_rank,10,8,0.04069744776558106,0.03945335332681715,0.004441442088058564,0.0359166776582961,0.0504853864044598,-0.06492782386487371,-0.06550645524828849,0.037130200703338424,-0.35899223972492567,3.75,0.6763507332046835
mlp_reg,3,8,0.032051658266970026,0.03262419545920145,0.007028309967131973,0.0212307629226017,0.0414673691378476,-0.005058043417953975,0.01700936323607125,0.10809872169516585,-0.19928874243913514,3.75,0.7714650779575877
mlp_reg,5,8,0.032051658266970026,0.03262419545920145,0.007028309967131973,0.0212307629226017,0.0414673691378476,-0.02904804233954105,-0.0411294276561376,0.06709568827453696,-0.23512857465503123,3.5,0.7367327669352844
mlp_reg,10,8,0.032051658266970026,0.03262419545920145,0.007028309967131973,0.0212307629226017,0.0414673691378476,-0.07019700848443658,-0.0555907813196419,0.04237611423011204,-0.39517691047019193,4.0,0.6517491456835023
