metric,v5_3,v5_5,delta
cagr_min,0.3257140564814074,0.32009533187349426,-0.005618724607913128
cagr_median,0.3956169021284111,0.4081167551788427,0.012499853050431609
alpha_cagr_min,0.087440208708913,0.07945137046677231,-0.007988838242140694
alpha_cagr_median,0.1547948279382602,0.16329614609507948,0.008501318156819287
active_sharpe_min,0.4521556360846128,0.4066768277424887,-0.04547880834212409
active_sharpe_median,0.6764808890446723,0.6868907567847828,0.010409867740110545
beat_market_fraction,1.0,1.0,0.0
positive_sharpe_fraction,1.0,1.0,0.0
