year,horizon,seed,feature_set,train_window,train_rows,valid_rows,refit_rows,test_rows,best_epoch,best_valid_ic,test_ic,test_spread,refit_final_loss,clip_lo,clip_hi,run
2018,20,1,all,expanding,55678,10878,67585,12226,10,0.0369617549556012,0.0478198763928289,0.0160558167414619,0.6883539720015093,-0.1552808582782745,0.7390825152397156,v5_4_repaired_h20_seed1_20260829_155441
2019,20,1,all,expanding,67585,11176,79790,12050,1,0.102233463675152,-0.0481084583955599,-0.0118014822584672,0.8394751732165997,-0.1627968847751617,0.7242862582206726,v5_4_repaired_h20_seed1_20260829_155441
2020,20,1,all,expanding,79790,11000,91840,12250,25,0.0507170885178861,0.1136108974201925,0.0356233171043364,0.6801114837328593,-0.1599200069904327,0.6954249143600464,v5_4_repaired_h20_seed1_20260829_155441
2021,20,1,all,expanding,91840,11200,104090,12150,35,0.1187759389470073,0.060084522394722,0.0318804963958879,0.6577772287761464,-0.1662531495094299,0.5463051795959473,v5_4_repaired_h20_seed1_20260829_155441
2022,20,1,all,expanding,104090,11100,116240,12300,5,0.0863318712088089,0.0587308138775525,0.0128695716722447,0.6883351802825928,-0.175417959690094,0.5726451873779297,v5_4_repaired_h20_seed1_20260829_155441
2023,20,1,all,expanding,116240,11250,128540,11950,25,0.0768501577862017,0.0812094976536543,0.026191520426771,0.6757620062146869,-0.1767710298299789,0.4736236035823822,v5_4_repaired_h20_seed1_20260829_155441
2024,20,1,all,expanding,128540,10900,140490,12100,55,0.0754482790821786,-0.02060482555407,-0.0017404935477498,0.6157517718232196,-0.174796313047409,0.4286563694477081,v5_4_repaired_h20_seed1_20260829_155441
2025,20,1,all,expanding,140490,11050,152590,12150,1,0.0815496409755529,0.0640431975259239,0.0072307805834339,0.782288384437561,-0.1791461855173111,0.3991438746452331,v5_4_repaired_h20_seed1_20260829_155441
2026,20,1,all,expanding,152590,11100,164740,6850,15,0.1144764933000227,0.0815092450134144,0.0648482633386215,0.6855214260242604,-0.1806980967521667,0.3842253684997558,v5_4_repaired_h20_seed1_20260829_155441
2018,20,7,all,expanding,55678,10878,67585,12226,10,0.0399471447357253,0.0455188542269108,0.0158704570749844,0.6863823533058167,-0.1552808582782745,0.7390825152397156,v5_4_repaired_h20_seed7_20260829_155441
