year,train_samples,validation_samples,test_samples,threshold,test_positive_rate,accuracy,balanced_accuracy,auc,strategy_return,2330_return,0050_return,alpha_vs_0050,alpha_vs_2330,max_drawdown,active_sharpe,stock_exposure,switches,periods
2018,1171,243,245,0.6100000000000002,0.4816326530612245,0.5265306122448979,0.52348858935006,0.5288269051114374,-0.1897047712208959,-0.061510782289253996,-0.08106239825796346,-0.10864237296293244,-0.1281939889316419,-0.2351145982717241,-1.3607564384842752,0.42857142857142855,23,49
2019,1414,245,241,0.5900000000000002,0.5850622406639004,0.5145228215767634,0.5487588652482269,0.6250354609929079,0.41674625287730094,0.639273902928388,0.3548766298777466,0.06186962299955434,-0.2225276500510871,-0.09361211407217662,0.7480466274329536,0.30612244897959184,19,49
2020,1659,241,245,0.4900000000000001,0.5265306122448979,0.5020408163265306,0.49715985030740445,0.563819834268912,0.30340794215092415,0.6000975057684783,0.3121386172482563,-0.008730675097332163,-0.29668956361755416,-0.20432165620245757,-0.024383833036405057,0.5102040816326531,15,49
2021,1900,245,243,0.6300000000000002,0.448559670781893,0.5596707818930041,0.5339928796385047,0.5725729152403123,0.1590381673790262,0.20941900714502482,0.22144167757738842,-0.06240351019836221,-0.05038083976599861,-0.10881547090610222,-1.1127490074957036,0.24489795918367346,18,49
2022,2145,243,246,0.5500000000000002,0.4268292682926829,0.5284552845528455,0.5400202634245188,0.5145558932792975,-0.19589001483510005,-0.2309695011379268,-0.18461140778348717,-0.011278607051612877,0.03507948630282676,-0.3650444741055142,0.028550490581289764,0.5,19,50
2023,2388,246,239,0.6500000000000002,0.5188284518828452,0.5104602510460251,0.5257012622720898,0.5239130434782608,0.23152950956664808,0.3156188534735418,0.24494303203858037,-0.013413522471932282,-0.08408934390689371,-0.06741795521404126,-0.7577765463598714,0.0625,4,48
2024,2634,239,242,0.5800000000000002,0.5867768595041323,0.47107438016528924,0.5359859154929578,0.6340845070422535,0.5171525340077767,0.9301332301015581,0.5567556137648322,-0.03960307975705546,-0.4129806960937814,-0.1672085724653789,-0.36029375919800294,0.14285714285714285,14,49
2025,2873,242,242,0.5100000000000001,0.5826446280991735,0.5,0.5189593427427849,0.5178709360297732,0.3628365791210406,0.5599203916806534,0.4491610541599478,-0.08632447503890717,-0.19708381255961283,-0.24137576441082376,-1.0448407392181516,0.3877551020408163,20,49
2026,3115,242,152,0.5300000000000001,0.48026315789473684,0.4868421052631579,0.47771805097971215,0.5869602913126408,0.5096116178460546,0.46362028584178594,0.5574208543871864,-0.04780923654113178,0.04599133200426864,-0.11343153065119116,-0.9855704569771768,0.22580645161290322,14,31
