horizon,execution_delay,slippage_bps,phases,cagr_min,cagr_median,cagr_max,market_cagr_median,alpha_cagr_min,alpha_cagr_median,alpha_cagr_max,beat_market_fraction,active_sharpe_min,active_sharpe_median,active_sharpe_max,positive_sharpe_fraction,worst_sharpe_phase,worst_alpha_phase,rebalance_mdd_worst,positive_alpha_years_min,worst_year_alpha_min,phase0_cagr,phase0_active_sharpe
20,1,0,20,0.33814281400077495,0.42703657486548485,0.5017412933723231,0.24231562302214094,0.097498852594053,0.18237453457576125,0.25884841446106854,1.0,0.4801957608658801,0.7501037147330045,0.9706116765638658,1.0,1,1,-0.3197170514224402,6,-0.5568736766900548,0.42726644399762104,0.8562055334848105
20,1,10,20,0.32009533187349426,0.4081167551788427,0.4815479931832387,0.24231562302214094,0.07945137046677231,0.16329614609507948,0.23865511427198416,1.0,0.4066768277424887,0.6868907567847828,0.9007996405056876,1.0,1,1,-0.328824954610201,6,-0.5702530210617867,0.40879395022272824,0.7864918289678706
20,1,20,20,0.3022691683931493,0.3894256157522783,0.4616021977767468,0.24231562302214094,0.06162520698642737,0.14430931865709817,0.21870931886549227,1.0,0.3331726487536842,0.6235740418288647,0.8307579408893131,1.0,1,1,-0.3378232672571625,6,-0.5834617701773536,0.3905394146510093,0.7167659590170156
20,1,30,20,0.2846618760148574,0.37096065760338126,0.4419011649701512,0.24231562302214094,0.04401791460813542,0.12540287823893914,0.19900828605889664,1.0,0.2596944036965897,0.5595247035380091,0.7604955126487039,1.0,1,1,-0.34671316228395266,6,-0.5965018938119298,0.37250051180198995,0.6470346694712299
20,1,50,20,0.25009423501141126,0.3346994112142945,0.403222554123323,0.24231562302214094,0.009450273604689308,0.08867719107030081,0.16032967521206842,1.0,0.11286026937655047,0.418577606859283,0.6193450366254277,1.0,1,1,-0.3641723361238389,5,-0.6220840419918162,0.3370604132413173,0.5075827939324816
20,1,100,20,0.16733864890245775,0.24666792782948543,0.3106225944205572,0.24231562302214094,-0.0733053125042642,0.0013538136466278994,0.06772971550930262,0.5,-0.2529967399745065,0.08449435658548415,0.3155817300506638,0.7,1,1,-0.44958147778289337,3,-0.6838492703901009,0.25207518602886503,0.1593289816692307
20,2,0,20,0.3257360988737825,0.4160132640577612,0.5101588177093972,0.24231562302214094,0.0823949970934823,0.1738610260342176,0.27276340801714016,1.0,0.4082881422823864,0.715352330060357,0.9791679770114937,1.0,1,1,-0.33618595942857843,6,-0.5575740553015459,0.40683209275938514,0.7350522232846255
20,2,10,20,0.30787818022594315,0.3972214348559343,0.48986543718132225,0.24231562302214094,0.06453707844564294,0.15494243931480367,0.2524700274890652,1.0,0.33467976359868346,0.6538181733099127,0.9197660714133843,1.0,1,1,-0.3433315577342583,6,-0.5733439050492027,0.3886271037973388,0.6670489541565887
20,2,20,20,0.2902389809871473,0.37865663024188667,0.46982061514167284,0.24231562302214094,0.04689787920684707,0.13625387689615465,0.2324252054494158,1.0,0.26115118765587897,0.5922324258331113,0.8601940858150858,1.0,1,1,-0.3504105517088776,6,-0.5888840277043298,0.3706368754015792,0.5990348106049403
20,2,30,20,0.27281608540582236,0.36031637441977893,0.4500215998057051,0.24231562302214094,0.029474983625522144,0.11779281465142999,0.21262619011344808,1.0,0.18771292805742315,0.5254568080727005,0.8004559258592017,1.0,1,1,-0.357423467951713,5,-0.6041974661259651,0.3528591167147441,0.531016077059218
