horizon,top_k,seeds,ic_mean,ic_median,ic_std,ic_min,ic_max,alpha_mean,alpha_median,active_sharpe_mean,turnover_mean,positive_years_mean
1,3,8,0.03938140650180533,0.0400948950800421,0.0019818720698180406,0.0367751107827844,0.041718927060986,-0.5575423682450298,-0.5370494371674067,-2.6577949873207247,0.7216276750399522,0.25
1,5,8,0.03938140650180533,0.0400948950800421,0.0019818720698180406,0.0367751107827844,0.041718927060986,-0.5533600414871985,-0.5535221870114052,-3.1298410905823695,0.6650823116837238,0.375
1,10,8,0.03938140650180533,0.0400948950800421,0.0019818720698180406,0.0367751107827844,0.041718927060986,-0.549007849340805,-0.5481557936822263,-3.968517297719971,0.5684971842919818,0.0
1,15,8,0.03938140650180533,0.0400948950800421,0.0019818720698180406,0.0367751107827844,0.041718927060986,-0.512309384347884,-0.5138707187860219,-4.151051027899233,0.492971679576758,0.0
1,20,8,0.03938140650180533,0.0400948950800421,0.0019818720698180406,0.0367751107827844,0.041718927060986,-0.47316697790170714,-0.4744446010758334,-4.060476918694771,0.422942528545404,0.0
3,3,8,0.03901093757961322,0.039030867762984894,0.0015843069563677514,0.0367271582414149,0.0411221917897269,-0.1338181292185915,-0.1225507517436153,-0.6039721881630017,0.8080436294189665,2.25
3,5,8,0.03901093757961322,0.039030867762984894,0.0015843069563677514,0.0367271582414149,0.0411221917897269,-0.14185013258414786,-0.14314042950319317,-0.7439069724257705,0.7551076688844348,1.75
3,10,8,0.03901093757961322,0.039030867762984894,0.0015843069563677514,0.0367271582414149,0.0411221917897269,-0.16890287297554119,-0.17692583562410918,-1.0380385699764147,0.650927952075229,1.375
3,15,8,0.03901093757961322,0.039030867762984894,0.0015843069563677514,0.0367271582414149,0.0411221917897269,-0.16058359771146047,-0.15158713082616146,-1.0684172527521896,0.5635907409359563,1.5
3,20,8,0.03901093757961322,0.039030867762984894,0.0015843069563677514,0.0367271582414149,0.0411221917897269,-0.15665820231851096,-0.157913451966438,-1.0833727635068213,0.4835472558995133,1.375
5,3,8,0.03972155521788603,0.0401712954166037,0.005140414313024805,0.0325269613497408,0.0479867684518486,-0.05944241652034868,-0.08649911735643535,-0.24253487719874764,0.8278550729700628,3.125
5,5,8,0.03972155521788603,0.0401712954166037,0.005140414313024805,0.0325269613497408,0.0479867684518486,-0.06057231341962931,-0.08060558407355295,-0.3280762906769362,0.7784258604584782,3.5
5,10,8,0.03972155521788603,0.0401712954166037,0.005140414313024805,0.0325269613497408,0.0479867684518486,-0.09199936264401662,-0.09357278516192535,-0.4867180935759927,0.6723912027427595,3.125
5,15,8,0.03972155521788603,0.0401712954166037,0.005140414313024805,0.0325269613497408,0.0479867684518486,-0.0919288546347273,-0.0975516935018205,-0.5189319788373441,0.5851405283608412,3.625
5,20,8,0.03972155521788603,0.0401712954166037,0.005140414313024805,0.0325269613497408,0.0479867684518486,-0.10026706785811385,-0.10239512887677285,-0.6337492534166492,0.5063351246555572,3.125
10,3,8,0.036830913500341726,0.03555062213631715,0.005821652941452851,0.0298669802850389,0.0458173591512981,0.2612287854673334,0.23520477003084794,0.5010019029329245,0.7776877468298392,6.5
10,5,8,0.036830913500341726,0.03555062213631715,0.005821652941452851,0.0298669802850389,0.0458173591512981,0.21793233173770124,0.20663281246944248,0.5253815995318182,0.7397626082923536,6.875
10,10,8,0.036830913500341726,0.03555062213631715,0.005821652941452851,0.0298669802850389,0.0458173591512981,0.10589895027706796,0.10483420986536476,0.37536141233708353,0.6481352638748018,6.625
10,15,8,0.036830913500341726,0.03555062213631715,0.005821652941452851,0.0298669802850389,0.0458173591512981,0.05158553203604064,0.05405070970164745,0.2042148739158911,0.5668752257592158,6.25
10,20,8,0.036830913500341726,0.03555062213631715,0.005821652941452851,0.0298669802850389,0.0458173591512981,0.020679354768731926,0.02780292716454635,0.08775593900014493,0.4948124668938938,5.75
20,3,8,0.04635093009545326,0.0432403787920836,0.010848081666408183,0.0313663799278649,0.0612790399844732,0.200569275161051,0.20056435503577003,0.33751080605935424,0.7758246180547288,5.25
20,5,8,0.04635093009545326,0.0432403787920836,0.010848081666408183,0.0313663799278649,0.0612790399844732,0.11754930572046343,0.124835631500405,0.20321999685155578,0.7454170831389673,5.5
20,10,8,0.04635093009545326,0.0432403787920836,0.010848081666408183,0.0313663799278649,0.0612790399844732,0.0734032693927466,0.0764228150761129,0.14811401059179508,0.657586234933558,5.625
20,15,8,0.04635093009545326,0.0432403787920836,0.010848081666408183,0.0313663799278649,0.0612790399844732,0.05220790512089975,0.0445053096054518,0.1350720259474627,0.5861568245269071,5.625
20,20,8,0.04635093009545326,0.0432403787920836,0.010848081666408183,0.0313663799278649,0.0612790399844732,0.017841483505922812,0.005233344632238551,0.06136891272750791,0.513490579405059,5.5
