candidate_rank,signal,entry_k,exit_k,slippage_bps,trials,model_total_return,random_total_median,random_total_p95,model_total_percentile,model_active_sharpe,random_active_sharpe_p95,model_sharpe_percentile
1,h20,10,15,10.0,1000,19.98414379251307,2.7101042930861983,4.609746396001189,1.0,0.7985440111405423,-0.12860069600657584,1.0
2,h20,15,25,10.0,1000,15.669197357435731,3.36309276288918,5.032946515280799,1.0,0.7523146608694432,-0.09116991793802044,1.0
3,h20,10,20,10.0,1000,18.320203029587407,2.977856931943024,5.036699893864988,1.0,0.7460334094307352,-0.06372222913162463,1.0
