experiment,top_k,mean_ic,mean_top_bottom_spread,positive_alpha_years,years,mean_alpha_vs_0050,mean_alpha_vs_equal_weight,mean_turnover,mean_active_sharpe
ridge,10,0.0425675449331625,0.0077283588005269,4,9,0.078865452584702,0.0887439882665679,0.4216140024899195,0.226510505268899
ridge,5,0.0425675449331625,0.0077283588005269,4,9,0.0772941688257586,0.0871727045076245,0.5282534546572973,0.13819007777092
ridge,3,0.0425675449331625,0.0077283588005269,4,9,0.0380096825466294,0.0478882182284953,0.5962002608904124,0.0436811652988889
xgb,3,0.0276773538920518,0.0049280178660938,5,9,0.1292269090279206,0.1391054447097864,0.6631648694302615,0.1784120248249891
xgb,5,0.0276773538920518,0.0049280178660938,4,9,0.0844765311481846,0.0943550668300504,0.6397289481122664,0.098854740269522
xgb,10,0.0276773538920518,0.0049280178660938,4,9,-0.0408336845396504,-0.0309551488577846,0.5958995191519681,-0.2676620417562843
mlp,3,0.0193838476214703,0.0024594356821676,6,9,0.2476186985187994,0.2574972342006653,0.7750973432410779,0.4750461652469228
mlp,5,0.0193838476214703,0.0024594356821676,6,9,0.1117869623397635,0.1216654980216294,0.7468906705727583,0.172872635987616
mlp,10,0.0193838476214703,0.0024594356821676,4,9,-0.0290838388442178,-0.019205303162352,0.6933848771539078,-0.2049025710210076
