horizon,feature_set,train_window,execution_delay,slippage_bps,entry_k,exit_k,periods,start,end,total_return,cagr,gross_total_return,market_total_return,market_cagr,ew_net_total_return,ew_net_cagr,active_sharpe,strategy_sharpe,rebalance_max_drawdown,mean_turnover,cost_sum,positive_alpha_years,years,worst_year,worst_year_alpha
10,all,expanding,1,10,10,20,208,2018-01-03,2026-07-31,13.586006368645052,0.36703674524198493,28.810474564157122,5.388176246555,0.24151526248992838,5.420143536109551,0.24223841554046266,0.5704641868626218,1.3332061083156266,-0.2825829936546369,0.4378253528268854,0.7133812360957384,6,9,2024,-0.35812333035880317
10,all,expanding,1,10,15,25,208,2018-01-03,2026-07-31,11.617626749406448,0.3441126681067581,22.12358936142161,5.388176246555,0.24151526248992838,5.420143536109551,0.24223841554046266,0.529468419487134,1.4123589219426154,-0.2437755914642301,0.37130663259833874,0.6047694697065676,7,9,2024,-0.3203920782111971
10,all,expanding,1,20,5,10,208,2018-01-03,2026-07-31,6.494995692252519,0.26487424261753745,25.492760469684573,5.388176246555,0.24151526248992838,5.361256182007542,0.24090380237035558,0.19422747023150233,0.8875148855082755,-0.3888724832292819,0.6150336259853586,1.258280892918803,6,9,2024,-0.5894288800362187
10,all,expanding,1,20,10,15,208,2018-01-03,2026-07-31,8.237074369869084,0.2960907328717617,27.34907833539228,5.388176246555,0.24151526248992838,5.361256182007542,0.24090380237035558,0.2870721073259677,1.1555123675997716,-0.27845271186299747,0.5464366290085622,1.1180393655127423,5,9,2024,-0.4524035588134081
10,all,expanding,1,20,10,20,208,2018-01-03,2026-07-31,11.147348526003118,0.338170017813199,28.810474564157122,5.388176246555,0.24151526248992838,5.361256182007542,0.24090380237035558,0.45967468388712585,1.2512215960890058,-0.2894889133409474,0.4378253528268854,0.8955165828717228,6,9,2024,-0.38577512475800413
10,all,expanding,1,20,15,25,208,2018-01-03,2026-07-31,9.805560658215134,0.32002203595308276,22.12358936142161,5.388176246555,0.24151526248992838,5.361256182007542,0.24090380237035558,0.41703358908462707,1.3328658902948265,-0.2645166629178627,0.37130663259833874,0.7592330288674765,7,9,2024,-0.3451137095035104
10,all,expanding,1,30,5,10,208,2018-01-03,2026-07-31,4.7916987642826046,0.22739940464953246,25.492760469684573,5.388176246555,0.24151526248992838,5.30290030880511,0.23957042459690148,0.08098277014468666,0.7953885720023628,-0.45515534830825766,0.6150336259853586,1.514134881328712,5,9,2024,-0.6165749851733262
10,all,expanding,1,30,10,15,208,2018-01-03,2026-07-31,6.347885283572826,0.26195263512628286,27.34907833539228,5.388176246555,0.24151526248992838,5.30290030880511,0.23957042459690148,0.14713727928882334,1.050475237627125,-0.30844912547839576,0.5464366290085622,1.345357003180304,5,9,2024,-0.4829429313774283
10,all,expanding,1,30,10,20,208,2018-01-03,2026-07-31,9.11453294099952,0.30988443525852305,28.810474564157122,5.388176246555,0.24151526248992838,5.30290030880511,0.23957042459690148,0.34895140574378,1.1691503259796487,-0.2963356599766933,0.4378253528268854,1.0776519296477072,6,9,2024,-0.4127953509986886
10,all,expanding,1,30,15,25,208,2018-01-03,2026-07-31,8.252530671609264,0.29634354212438385,22.12358936142161,5.388176246555,0.24151526248992838,5.30290030880511,0.23957042459690148,0.30467084787223175,1.2533346848559648,-0.2847076667812798,0.37130663259833874,0.9136965880283855,6,9,2024,-0.36934605377831153
10,all,expanding,1,50,5,10,208,2018-01-03,2026-07-31,2.454616897718467,0.15560014833797098,25.492760469684573,5.388176246555,0.24151526248992838,5.187764130497063,0.23690737044728194,-0.14595785358170454,0.6105902670413467,-0.5671449187793967,0.6150336259853586,2.025842858148531,5,9,2024,-0.6686098125915388
10,all,expanding,1,50,10,15,208,2018-01-03,2026-07-31,3.645746516642646,0.1962337223576085,27.34907833539228,5.388176246555,0.24151526248992838,5.187764130497063,0.23690737044728194,-0.1328073504881487,0.8396259351218354,-0.3648426102628157,0.5464366290085622,1.7999922785154276,5,9,2024,-0.5415244873068953
10,all,expanding,1,50,10,20,208,2018-01-03,2026-07-31,6.008604170731657,0.25501237843603586,28.810474564157122,5.388176246555,0.24151526248992838,5.187764130497063,0.23690737044728194,0.12780303594307588,1.0047884249003876,-0.3098534119007178,0.4378253528268854,1.4419226231996758,5,9,2024,-0.4649958778010752
10,all,expanding,1,50,15,25,208,2018-01-03,2026-07-31,5.78136889823023,0.2501962046052115,22.12358936142161,5.388176246555,0.24151526248992838,5.187764130497063,0.23690737044728194,0.08024249473158192,1.0941867784038997,-0.3234954878718671,0.37130663259833874,1.2226237063502032,5,9,2024,-0.4163797119612267
10,all,expanding,2,0,5,10,208,2018-01-04,2026-08-03,10.197441205846932,0.3252807691115256,22.6593478500458,5.473021198490027,0.243254717099322,5.480857797693004,0.24343009643626057,0.36747153744216526,1.0170275620095564,-0.3491115916922942,0.6150078337664064,0.7465415321269635,7,9,2024,-0.5532592320215537
10,all,expanding,2,0,10,15,208,2018-01-04,2026-08-03,11.86053044525128,0.3468496605580931,24.00137397718744,5.473021198490027,0.243254717099322,5.480857797693004,0.24343009643626057,0.49242234269762286,1.300038327580025,-0.26227998298200206,0.5465943672699736,0.6635960260941037,7,9,2024,-0.38417400987906225
10,all,expanding,2,0,10,20,208,2018-01-04,2026-08-03,14.249496668334839,0.37387038739606737,24.96425311596299,5.473021198490027,0.243254717099322,5.480857797693004,0.24343009643626057,0.5997439115247963,1.3247497343735113,-0.28050254112817685,0.4379425417151067,0.5313884847589418,6,9,2024,-0.36470671997246873
10,all,expanding,2,0,15,25,208,2018-01-04,2026-08-03,12.260949004420747,0.351672533382523,19.82165373984228,5.473021198490027,0.243254717099322,5.480857797693004,0.24343009643626057,0.5716004177177963,1.3966776296128607,-0.23414454415554553,0.3715652975025932,0.45062065400115536,7,9,2024,-0.3168049958919503
10,all,expanding,2,5,5,10,208,2018-01-04,2026-08-03,8.847265082126789,0.3055763574604613,22.6593478500458,5.473021198490027,0.243254717099322,5.450959386484684,0.24275997505486857,0.3116219405748488,0.9721336501014699,-0.35192422050269,0.6150078337664064,0.8744631615503761,7,9,2024,-0.567433645914711
10,all,expanding,2,5,10,15,208,2018-01-04,2026-08-03,10.473446108102413,0.32904827580794893,24.00137397718744,5.473021198490027,0.243254717099322,5.450959386484684,0.24275997505486857,0.42076307745191555,1.2480809918618376,-0.26414272023420904,0.5465943672699736,0.7772876544862584,6,9,2024,-0.4005022263382523
10,all,expanding,2,5,10,20,208,2018-01-04,2026-08-03,12.91770820789597,0.35931121341177286,24.96425311596299,5.473021198490027,0.243254717099322,5.450959386484684,0.24275997505486857,0.5439960372083537,1.2848651674138325,-0.2839721155522331,0.4379425417151067,0.6224805334356841,6,9,2024,-0.37852126484798276
