seed,run,horizon,feature_set,train_window,years,mean_test_ic,median_test_ic,std_test_ic,mean_test_spread,mean_best_epoch,mean_valid_ic
1,v5_4b_repaired_h20_seed1_20260829_162139,20,all,expanding,9,0.0606775216209731,0.059289493575207866,0.049692608058825284,0.025454835497122293,14.333333333333334,0.08763486810388355
7,v5_4b_repaired_h20_seed7_20260829_162139,20,all,expanding,9,0.04355460564591132,0.05342021897674979,0.032011499590822876,0.01766058656582447,14.666666666666666,0.08563398521529006
42,v5_4b_repaired_h20_seed42_20260829_162139,20,all,expanding,9,0.051341202768149685,0.06097192393433653,0.03329541858259159,0.017245000451184267,18.444444444444443,0.08337150767206926
123,v5_4b_repaired_h20_seed123_20260829_162139,20,all,expanding,9,0.06958585749096288,0.07158205775963544,0.030444367491817205,0.024918056021065157,16.77777777777778,0.07265842214429288
2026,v5_4b_repaired_h20_seed2026_20260829_162359,20,all,expanding,9,0.06464648514665856,0.06496549998444826,0.03691906383663839,0.026038749421711534,8.555555555555555,0.08349622556473527
3407,v5_4b_repaired_h20_seed3407_20260829_162400,20,all,expanding,9,0.06560156640793254,0.07893658939332204,0.02688773410320831,0.024312708244210772,15.11111111111111,0.09072824271355767
8765,v5_4b_repaired_h20_seed8765_20260829_162404,20,all,expanding,9,0.054552000587662644,0.06454429860439392,0.04159761275622981,0.020094243250817254,17.88888888888889,0.07921355822290972
9999,v5_4b_repaired_h20_seed9999_20260829_162403,20,all,expanding,9,0.032678741243017964,0.047805955615282655,0.05073902165595831,0.01468084011580107,15.777777777777779,0.08274383682953304
31415,v5_4b_repaired_h20_seed31415_20260829_162604,20,all,expanding,9,0.05345160091347754,0.0489674744884521,0.032883687912049646,0.01904227766679372,17.0,0.08905160261189311
27182,v5_4b_repaired_h20_seed27182_20260829_162616,20,all,expanding,9,0.05303840181016493,0.06088904346093633,0.04329458947630016,0.021796098218771653,12.666666666666666,0.08683995630604174
16180,v5_4b_repaired_h20_seed16180_20260829_162629,20,all,expanding,9,0.048707352570416466,0.05478203145986973,0.04628078519165313,0.01809788776766834,17.88888888888889,0.08464350761799415
42424,v5_4b_repaired_h20_seed42424_20260829_162625,20,all,expanding,9,0.04703352641823519,0.058217698579438384,0.06276944937425108,0.02340420202834823,12.666666666666666,0.08962873456700854
13579,v5_4b_repaired_h20_seed13579_20260829_162824,20,all,expanding,9,0.0589880477984165,0.06531164961625402,0.029617162469720668,0.020868317238922733,12.444444444444445,0.08557457277344994
24680,v5_4b_repaired_h20_seed24680_20260829_162831,20,all,expanding,9,0.06543506965217935,0.050853219660287545,0.047347981723858616,0.025282315569878335,13.555555555555555,0.08017709304125778
55555,v5_4b_repaired_h20_seed55555_20260829_162852,20,all,expanding,9,0.06720972839463953,0.07159782431491114,0.03865788583632974,0.023277834962186723,18.88888888888889,0.07391684699544408
77777,v5_4b_repaired_h20_seed77777_20260829_162839,20,all,expanding,9,0.06289871056700165,0.06705421760540951,0.0351064816382814,0.024059997268020425,14.555555555555555,0.08012011197652731
