horizon,phase,calendar_anchor,model_source,feature_set,train_window,entry_k,exit_k,execution_delay,slippage_bps,periods,start,end,total_return,cagr,gross_total_return,market_total_return,market_cagr,ew_net_total_return,ew_net_cagr,active_sharpe,strategy_sharpe,rebalance_max_drawdown,mean_turnover,cost_sum,positive_alpha_years,years,worst_year,worst_year_alpha,alpha_cagr
20,0,0050.TW,v5_4_repaired,all,expanding,10,15,1,0,104,2018-01-03,2026-07-30,20.087587353066596,0.42726644399762104,28.165130757643677,4.966556711758205,0.23174769931628836,5.400123487017805,0.2418718187098714,0.8562055334848105,1.387387077388403,-0.25199371836726137,0.534582066163568,0.32373972905391474,8,9,2024,-0.4529867937285219,0.19551874468133268
20,0,0050.TW,v5_4_repaired,all,expanding,10,15,1,10,104,2018-01-03,2026-07-30,17.860119416105455,0.40879395022272824,28.165130757643677,4.966556711758205,0.23174769931628836,5.355326327237135,0.24085432632519832,0.7864918289678706,1.341691811159801,-0.25550389228999015,0.534582066163568,0.4349327988159368,8,9,2024,-0.46845236364609755,0.17704625090643988
20,0,0050.TW,v5_4_repaired,all,expanding,10,15,1,20,104,2018-01-03,2026-07-30,15.865741796667848,0.3905394146510093,28.165130757643677,4.966556711758205,0.23174769931628836,5.310833868237305,0.2398374646229584,0.7167659590170156,1.2959412429998303,-0.25900133671216996,0.534582066163568,0.546125868577959,7,9,2024,-0.48371626341525964,0.15879171533472092
20,0,0050.TW,v5_4_repaired,all,expanding,10,15,1,30,104,2018-01-03,2026-07-30,14.080293013704749,0.37250051180198995,28.165130757643677,4.966556711758205,0.23174769931628836,5.266644088238508,0.23882123311864545,0.6470346694712299,1.250137217378172,-0.262486085014488,0.534582066163568,0.6573189383399811,7,9,2024,-0.4987808735967123,0.1407528124857016
20,0,0050.TW,v5_4_repaired,all,expanding,10,15,1,50,104,2018-01-03,2026-07-30,11.051687085965163,0.3370604132413173,28.165130757643677,4.966556711758205,0.23174769931628836,5.179164543650422,0.23679065876550642,0.5075827939324816,1.158376226629271,-0.27519896364051777,0.534582066163568,0.8797050778640254,5,9,2024,-0.5283216217782913,0.10531271392502894
20,0,0050.TW,v5_4_repaired,all,expanding,10,15,1,100,104,2018-01-03,2026-07-30,5.865009577837539,0.25207518602886503,28.165130757643677,4.966556711758205,0.23174769931628836,4.96562354542625,0.23172521742022112,0.1593289816692307,0.9281693981534127,-0.3196025411902187,0.534582066163568,1.435670426674136,5,9,2024,-0.5988477748329045,0.02032748671257667
20,0,0050.TW,v5_4_repaired,all,expanding,10,15,2,0,104,2018-01-04,2026-07-31,17.636231576687713,0.40683209275938514,24.773380602253344,5.3460992142059025,0.24064396140672195,5.658745632584081,0.24762587055130414,0.7350522232846255,1.3314825436877566,-0.27514746707645277,0.534492266320234,0.3236850948292304,8,9,2024,-0.4785555874831595,0.1661881313526632
20,0,0050.TW,v5_4_repaired,all,expanding,10,15,2,10,104,2018-01-04,2026-07-31,15.668010587481554,0.3886271037973388,24.773380602253344,5.3460992142059025,0.24064396140672195,5.611930926219176,0.24659910207509506,0.6670489541565887,1.2860688039145443,-0.2830242738148584,0.534492266320234,0.4348594862238391,7,9,2024,-0.4937966862300833,0.14798314239061683
20,0,0050.TW,v5_4_repaired,all,expanding,10,15,2,20,104,2018-01-04,2026-07-31,13.905718196032955,0.3706368754015792,24.773380602253344,5.3460992142059025,0.24064396140672195,5.565436118144045,0.24557297414990686,0.5990348106049403,1.2406002721422464,-0.29082532290695084,0.534492266320234,0.5460338776184479,7,9,2024,-0.5088382928955677,0.12999291399485724
20,0,0050.TW,v5_4_repaired,all,expanding,10,15,2,30,104,2018-01-04,2026-07-31,12.328011924678892,0.3528591167147441,24.773380602253344,5.3460992142059025,0.24064396140672195,5.519259075639763,0.24454748628330614,0.531016077059218,1.195078761969464,-0.29855124900792496,0.534492266320234,0.6572082690130565,7,9,2024,-0.5236827713648364,0.11221515530802217
20,0,0050.TW,v5_4_repaired,all,expanding,10,15,2,50,104,2018-01-04,2026-07-31,9.651719429392612,0.3179319542510275,24.773380602253344,5.3460992142059025,0.24064396140672195,5.427849825923844,0.2424984287558849,0.39498996198622766,1.1038841152573007,-0.313780248207294,0.534492266320234,0.8795570518022738,5,9,2024,-0.5527896739883349,0.07728799284430554
20,0,0050.TW,v5_4_repaired,all,expanding,10,15,2,100,104,2018-01-04,2026-07-31,5.0681147389517704,0.23417607413754205,24.773380602253344,5.3460992142059025,0.24064396140672195,5.204740964293889,0.2373869514825231,0.05528304839240991,0.8750993501379153,-0.3505816533160082,0.534492266320234,1.4354290087753174,4,9,2024,-0.6222678854126917,-0.006467887269179906
20,0,0050.TW,v5_4_repaired,all,expanding,10,15,3,0,104,2018-01-05,2026-08-03,18.708149333347226,0.4157286178152668,26.26219178024989,5.473019063136455,0.24334110178030022,5.5561153388213915,0.24519200494439142,0.7764436875016298,1.4208309051707257,-0.24529046784909503,0.5348759158605954,0.32391850720958626,7,9,2024,-0.4670095165842414,0.1723875160349666
20,0,0050.TW,v5_4_repaired,all,expanding,10,15,3,10,104,2018-01-05,2026-08-03,16.625305124097416,0.39740704240811686,26.26219178024989,5.473019063136455,0.24334110178030022,5.5111539264489515,0.24419311565570556,0.7062661261222902,1.3725185119027092,-0.2520917490244845,0.5348759158605954,0.43517269770859,7,9,2024,-0.48234644822658956,0.15406594062781664
20,0,0050.TW,v5_4_repaired,all,expanding,10,15,3,20,104,2018-01-05,2026-08-03,14.760531187269947,0.37930161375147553,26.26219178024989,5.473019063136455,0.24334110178030022,5.466491920411441,0.24319482732411757,0.636084761564911,1.3241523823908474,-0.25884097520290505,0.5348759158605954,0.5464268882075939,7,9,2024,-0.49748346427922097,0.1359605119711753
20,0,0050.TW,v5_4_repaired,all,expanding,10,15,3,30,104,2018-01-05,2026-08-03,13.091211137448838,0.3614100261900248,26.26219178024989,5.473019063136455,0.24334110178030022,5.422127376692449,0.2421971394888327,0.565906418150768,1.2757347084127864,-0.2655384757174365,0.5348759158605954,0.6576810787065979,7,9,2024,-0.5124229234174849,0.11806892440972461
20,0,0050.TW,v5_4_repaired,all,expanding,10,15,3,50,104,2018-01-05,2026-08-03,10.259847011614694,0.32625926164299646,26.26219178024989,5.473019063136455,0.24334110178030022,5.334282961778033,0.2402035634635944,0.4255860499192948,1.17875355101538,-0.27877960881902286,0.5348759158605954,0.8801894597046054,6,9,2024,-0.5417184812253192,0.08291815986269624
20,0,0050.TW,v5_4_repaired,all,expanding,10,15,3,100,104,2018-01-05,2026-08-03,5.411948148408043,0.24196736639243865,26.26219178024989,5.473019063136455,0.24334110178030022,5.119743790787477,0.23523009981449183,0.07531339178467993,0.9355541387664377,-0.3109999787455733,0.5348759158605954,1.4364604121996245,4,9,2024,-0.6116604951433998,-0.0013737353878615632
20,0,0050.TW,v5_4_repaired,all,expanding,10,15,5,0,104,2018-01-09,2026-08-05,16.673592636392037,0.3981521673846651,23.457256601752448,5.537103937920063,0.2449445387306335,5.765378981831024,0.24994102037260513,0.7076792303133769,1.4726294915221394,-0.2681080236350316,0.5355099413750714,0.32430424833259336,7,9,2024,-0.528793374273543,0.1532076286540316
20,0,0050.TW,v5_4_repaired,all,expanding,10,15,5,10,104,2018-01-09,2026-08-05,14.80367193002356,0.38002519853068106,23.457256601752448,5.537103937920063,0.2449445387306335,5.718712178792235,0.2489318183225111,0.6350468596122537,1.4201079431466086,-0.2747474201397857,0.5355099413750714,0.4356903161386082,7,9,2024,-0.5429940799817985,0.13508065980004758
20,0,0050.TW,v5_4_repaired,all,expanding,10,15,5,20,104,2018-01-09,2026-08-05,13.129749780996013,0.362112493062708,23.457256601752448,5.537103937920063,0.2449445387306335,5.6723580241338265,0.2479232291369089,0.5623845461294572,1.3675051242897207,-0.28133564992654403,0.5355099413750714,0.547076383944623,7,9,2024,-0.5570102872728375,0.1171679543320745
20,0,0050.TW,v5_4_repaired,all,expanding,10,15,5,30,104,2018-01-09,2026-08-05,11.631475822818908,0.34441176071134594,23.457256601752448,5.537103937920063,0.2449445387306335,5.6263144752040235,0.24691525234545697,0.4896999666071773,1.3148238235312981,-0.28787303900441974,0.5355099413750714,0.6584624517506379,6,9,2024,-0.5708441655796495,0.09946722198071245
20,0,0050.TW,v5_4_repaired,all,expanding,10,15,5,50,104,2018-01-09,2026-08-05,9.090722117999618,0.30963716369988736,23.457256601752448,5.537103937920063,0.2449445387306335,5.535151089094886,0.24490113406326963,0.34429475153743744,1.2092370386152607,-0.3007965908262332,0.5355099413750714,0.8812345873626674,6,9,2024,-0.5979734989256592,0.06469262496925388
20,0,0050.TW,v5_4_repaired,all,expanding,10,15,5,100,104,2018-01-09,2026-08-05,4.74232580610404,0.22625405579652558,23.457256601752448,5.537103937920063,0.2449445387306335,5.312537730509712,0.2398765223171906,-0.01907007048646563,0.9440958502315132,-0.3324448594047361,0.5355099413750714,1.4381649263927416,4,9,2024,-0.6627535889254133,-0.01869048293410791
20,1,0050.TW,v5_4_repaired,all,expanding,10,15,1,0,104,2018-01-04,2026-07-31,11.135550003400917,0.33814281400077495,16.016277459294596,5.3460992142059025,0.24064396140672195,5.658745632584081,0.24762587055130414,0.4801957608658801,1.1733296562667728,-0.28879171365205447,0.5570639434691459,0.3374177032066284,7,9,2024,-0.5213399584906679,0.097498852594053
20,1,0050.TW,v5_4_repaired,all,expanding,10,15,1,10,104,2018-01-04,2026-07-31,9.802488618301531,0.32009533187349426,16.016277459294596,5.3460992142059025,0.24064396140672195,5.611930926219176,0.24659910207509506,0.4066768277424887,1.1252278244594325,-0.2981942643107328,0.5570639434691459,0.4532870034482108,7,9,2024,-0.5384729916431605,0.07945137046677231
20,1,0050.TW,v5_4_repaired,all,expanding,10,15,1,20,104,2018-01-04,2026-07-31,8.61446338852791,0.3022691683931493,16.016277459294596,5.3460992142059025,0.24064396140672195,5.565436118144045,0.24557297414990686,0.3331726487536842,1.0770364266528183,-0.3074870656370554,0.5570639434691459,0.5691563036897931,7,9,2024,-0.5553436978036937,0.06162520698642737
20,1,0050.TW,v5_4_repaired,all,expanding,10,15,1,30,104,2018-01-04,2026-07-31,7.555846601094194,0.2846618760148574,16.016277459294596,5.3460992142059025,0.24064396140672195,5.519259075639763,0.24454748628330614,0.2596944036965897,1.0287584369998255,-0.316671230851462,0.5570639434691459,0.6850256039313756,6,9,2024,-0.5719557087723348,0.04401791460813542
20,1,0050.TW,v5_4_repaired,all,expanding,10,15,1,50,104,2018-01-04,2026-07-31,5.77248879961374,0.25009423501141126,16.016277459294596,5.3460992142059025,0.24064396140672195,5.427849825923844,0.2424984287558849,0.11286026937655047,0.9319547233009707,-0.3347180578364458,0.5570639434691459,0.9167642044145403,6,9,2024,-0.6044179477912959,0.009450273604689308
20,1,0050.TW,v5_4_repaired,all,expanding,10,15,1,100,104,2018-01-04,2026-07-31,2.7656652847988976,0.16733864890245775,16.016277459294596,5.3460992142059025,0.24064396140672195,5.204740964293889,0.2373869514825231,-0.2529967399745065,0.6886436534568473,-0.44958147778289337,0.5570639434691459,1.4961107056224523,5,9,2024,-0.6812920631450392,-0.0733053125042642
20,1,0050.TW,v5_4_repaired,all,expanding,10,15,2,0,104,2018-01-05,2026-08-03,10.22181724607801,0.3257360988737825,14.731791867696641,5.473019063136455,0.24334110178030022,5.5561153388213915,0.24519200494439142,0.4082881422823864,1.217427636929863,-0.24935193487244112,0.5567247640470158,0.3372113464462044,7,9,2024,-0.5095757081666867,0.0823949970934823
20,1,0050.TW,v5_4_repaired,all,expanding,10,15,2,10,104,2018-01-05,2026-08-03,8.989840751011247,0.30787818022594315,14.731791867696641,5.473019063136455,0.24334110178030022,5.5111539264489515,0.24419311565570556,0.33467976359868346,1.164864491492307,-0.2556550978642663,0.5567247640470158,0.4530100973679836,6,9,2024,-0.5268695832158694,0.06453707844564294
20,1,0050.TW,v5_4_repaired,all,expanding,10,15,2,20,104,2018-01-05,2026-08-03,7.89182547840648,0.2902389809871473,14.731791867696641,5.473019063136455,0.24334110178030022,5.466491920411441,0.24319482732411757,0.26115118765587897,1.1122380660479374,-0.2619136190499194,0.5567247640470158,0.5688088482897629,6,9,2024,-0.5438990987414372,0.04689787920684707
20,1,0050.TW,v5_4_repaired,all,expanding,10,15,2,30,104,2018-01-05,2026-08-03,6.913345264052655,0.27281608540582236,14.731791867696641,5.473019063136455,0.24334110178030022,5.422127376692449,0.2421971394888327,0.18771292805742315,1.059552281409479,-0.26812775756206597,0.5567247640470158,0.6846075992115421,6,9,2024,-0.5606679084813481,0.029474983625522144
20,1,0050.TW,v5_4_repaired,all,expanding,10,15,2,50,104,2018-01-05,2026-08-03,5.264815001799427,0.23860966111873272,14.731791867696641,5.473019063136455,0.24334110178030022,5.334282961778033,0.2402035634635944,0.04114898769335832,0.9540184190744005,-0.28042391718640725,0.5567247640470158,0.9162051010551007,5,9,2024,-0.593437800054047,-0.004731440661567499
20,1,0050.TW,v5_4_repaired,all,expanding,10,15,2,100,104,2018-01-05,2026-08-03,2.4846627393256067,0.1567143466237908,14.731791867696641,5.473019063136455,0.24334110178030022,5.119743790787477,0.23523009981449183,-0.32296217224445783,0.6894230245713203,-0.40817004996745787,0.5567247640470158,1.495198855663997,5,9,2024,-0.6710473603805517,-0.08662675515650942
20,1,0050.TW,v5_4_repaired,all,expanding,10,15,3,0,104,2018-01-08,2026-08-04,10.438269815539648,0.32893442152246233,15.034886933790645,5.364480781270357,0.2410627682880826,5.542700566332316,0.24506886783886261,0.4209871532352954,1.237021465025561,-0.26256778388956614,0.5566888450039214,0.3371894933003858,7,9,2024,-0.5340793982615601,0.08787165323437973
20,1,0050.TW,v5_4_repaired,all,expanding,10,15,3,10,104,2018-01-08,2026-08-04,9.182605308620593,0.3110231871920206,15.034886933790645,5.364480781270357,0.2410627682880826,5.497610768159034,0.2440645155008423,0.3491306241874498,1.18379020851865,-0.26877892038865414,0.5566888450039214,0.4529807730612014,7,9,2024,-0.5509046886753417,0.069960418903938
20,1,0050.TW,v5_4_repaired,all,expanding,10,15,3,20,104,2018-01-08,2026-08-04,8.063469170911251,0.29333145742919164,15.034886933790645,5.364480781270357,0.2410627682880826,5.45282276955043,0.2430607723223006,0.2773253973662217,1.1304834276706515,-0.27494591372037835,0.5566888450039214,0.568772052822017,7,9,2024,-0.5674732948679908,0.05226868914110905
20,1,0050.TW,v5_4_repaired,all,expanding,10,15,3,30,104,2018-01-08,2026-08-04,7.066159760999586,0.27585680624616926,15.034886933790645,5.364480781270357,0.2410627682880826,5.408334600619667,0.24205763783571688,0.2055814352220554,1.077105183991027,-0.28106902113934507,0.5566888450039214,0.6845633325828328,5,9,2024,-0.5837887569473733,0.034794037958086665
20,1,0050.TW,v5_4_repaired,all,expanding,10,15,3,50,104,2018-01-08,2026-08-04,5.385887467866436,0.24154915516548825,15.034886933790645,5.364480781270357,0.2410627682880826,5.320249935033735,0.24005319306796924,0.06231686541997291,0.9701506850451327,-0.29318460136353963,0.5566888450039214,0.9161458921044641,5,9,2024,-0.6156741912038451,0.00048638687740565345
20,1,0050.TW,v5_4_repaired,all,expanding,10,15,3,100,104,2018-01-08,2026-08-04,2.5521335042956173,0.15941364067153674,15.034886933790645,5.364480781270357,0.2410627682880826,5.10514979933567,0.2350527005169496,-0.2940875703002917,0.7018028568698247,-0.40054582827203,0.5566888450039214,1.4951022909085423,5,9,2024,-0.6911972687974952,-0.08164912761654586
20,1,0050.TW,v5_4_repaired,all,expanding,10,15,5,0,104,2018-01-10,2026-08-06,10.791669826797724,0.3336616075790526,15.547277899092542,5.505598579885878,0.24424288772923908,5.789305028093966,0.25045605550495176,0.4327735516606756,1.2505372889385118,-0.3203659279867923,0.5583711842771483,0.338213028514217,7,9,2024,-0.5495037483486178,0.08941871984981353
20,1,0050.TW,v5_4_repaired,all,expanding,10,15,5,10,104,2018-01-10,2026-08-06,9.49351467046604,0.31563260524604964,15.547277899092542,5.505598579885878,0.24424288772923908,5.7417656689818335,0.24943113726826827,0.36210642492576245,1.1969035475602976,-0.329346578405431,0.5583711842771483,0.45435423484386384,7,9,2024,-0.5655878114515622,0.07138971751681056
20,1,0050.TW,v5_4_repaired,all,expanding,10,15,5,20,104,2018-01-10,2026-08-06,8.336913605466538,0.29782525324512377,15.547277899092542,5.505598579885878,0.24424288772923908,5.694549847804769,0.24840685590400335,0.29148687889190555,1.1432292088697265,-0.33822244580874006,0.5583711842771483,0.5704954411735107,7,9,2024,-0.5814259020698159,0.05358236551588469
20,1,0050.TW,v5_4_repaired,all,expanding,10,15,5,30,104,2018-01-10,2026-08-06,7.3065796956376605,0.280237093657002,15.547277899092542,5.505598579885878,0.24424288772923908,5.647655416132066,0.2473832109214711,0.22092403511626116,1.0895183361648897,-0.34699459274192734,0.5583711842771483,0.6866366475031576,7,9,2024,-0.5970214213561247,0.03599420592776292
