horizon,phase,feature_set,train_window,entry_k,exit_k,execution_delay,slippage_bps,periods,start,end,total_return,cagr,gross_total_return,market_total_return,market_cagr,ew_net_total_return,ew_net_cagr,active_sharpe,strategy_sharpe,rebalance_max_drawdown,mean_turnover,cost_sum,positive_alpha_years,years,worst_year,worst_year_alpha,alpha_cagr
10,0,all,expanding,10,15,1,10,208,2018-01-03,2026-07-31,10.608765189125544,0.33110924726626867,27.34907833539228,5.388176246555,0.24151526248992838,5.420143536109551,0.24223841554046266,0.4269351266002437,1.2602726325810185,-0.2601047817951143,0.5464366290085622,0.8907217278451802,5,9,2024,-0.4210018050098254,0.08959398477634029
10,1,all,expanding,10,15,1,10,208,2018-01-04,2026-08-03,11.458548399263053,0.3418726274401436,28.638724713815897,5.473021198490027,0.243254717099322,5.421196702547365,0.2420901651121492,0.4875043073880799,1.249841535089519,-0.24447981334567292,0.5304878730403965,0.8646805991003592,6,9,2024,-0.43076052330916936,0.09861791034082157
10,2,all,expanding,10,15,1,10,208,2018-01-05,2026-08-04,7.296855888347771,0.27975951355878625,19.379749467920732,5.387346848840461,0.2413250316279827,5.323527731033738,0.23987268538567164,0.22640959437741653,1.0769609308609815,-0.30989124880792973,0.5499978037969723,0.8965364140396963,5,9,2024,-0.5081450235288776,0.038434481930803566
10,3,all,expanding,10,15,1,10,208,2018-01-08,2026-08-05,8.995670396285929,0.3080793224928826,23.38672841443757,5.560505425198842,0.24537646510869826,5.571772841942602,0.24562579001462992,0.3248129388851404,1.124146309673035,-0.3338688332791101,0.5458647621505138,0.889787983639359,6,9,2024,-0.5157140411955686,0.06270285738418435
10,4,all,expanding,10,15,1,10,208,2018-01-09,2026-08-06,4.753943153099191,0.22646330438968354,13.213154978269484,5.505599822556593,0.24415607691757923,5.401778626409456,0.2418233606807363,0.011665309177177275,0.8984103648734694,-0.37417843783625004,0.5534268582238926,0.9021353741079718,4,9,2024,-0.5344482553460547,-0.017692772527895695
10,5,all,expanding,10,15,1,10,208,2018-01-10,2026-08-07,5.007652657736443,0.23265234102475296,14.218718212798175,5.5402532924519585,0.2449273743134659,5.496551454813621,0.24395408599189783,0.0007332756600991467,0.993786637855285,-0.2976092673361219,0.5687841893446897,0.9272108243620092,6,9,2024,-0.6835582661221329,-0.012275033288712933
10,6,all,expanding,10,15,1,10,208,2018-01-11,2026-08-10,5.412708000018516,0.24189862398962458,15.305842276393903,5.581771955029744,0.24567192568322316,5.438867344947091,0.24248817329451433,0.03140680923351747,1.0583406720913289,-0.2753554398525335,0.5710767073225012,0.9309540477161798,6,9,2024,-0.5142233875167319,-0.003773301693598574
10,7,all,expanding,10,15,1,10,208,2018-01-12,2026-08-11,4.938957053745322,0.23083640629160906,13.21562268574411,5.599162994061079,0.2460552001353562,5.531357913550599,0.24455579215295065,-0.010655244389490082,0.9711773431450397,-0.2936764070642216,0.534222862092472,0.8707790892245884,3,9,2024,-0.45815233385602583,-0.015218793843747136
10,8,all,expanding,10,15,1,10,208,2018-01-15,2026-08-12,5.291012237065933,0.23929745680375913,14.153651236171678,5.580651144324131,0.24582198284907664,5.5749919462811155,0.24569695286230697,0.023415138138623254,0.9816371239826293,-0.33386870745772046,0.5380842690238932,0.8770839944622127,5,9,2024,-0.5468289610747963,-0.0065245260453175025
10,9,all,expanding,10,15,1,10,208,2018-01-16,2026-08-14,8.813868260675214,0.3051703248724582,22.569717317477096,5.704336540914497,0.24844266195187648,5.750313570379671,0.24943809106970916,0.3115430933630531,1.113712704766569,-0.28819209843927796,0.5362820449354163,0.8741413229705479,7,9,2024,-0.4388414733162509,0.056727662920581734
20,0,all,expanding,10,15,1,10,103,2018-01-03,2026-07-03,27.05029310540031,0.48058990734777063,41.8298400498561,5.740034812281123,0.25181663233979057,5.605729830450201,0.24885433859967665,0.9600312777933265,1.512180740284533,-0.2708766742408242,0.5241340642583601,0.4222885976560972,8,9,2024,-0.48694633521390984,0.22877327500798006
20,1,all,expanding,10,15,1,10,103,2018-01-04,2026-07-06,16.027397452821134,0.3958009207447297,25.397308305005733,5.878563904936537,0.25463457192092553,5.7395801008969025,0.2516256153620522,0.654309216192432,1.33248174035105,-0.31549919383608116,0.5428251795615988,0.4374012989345307,7,9,2024,-0.42170549798640855,0.1411663488238042
20,2,all,expanding,10,15,1,10,103,2018-01-05,2026-07-07,13.148980283377826,0.36572443035895064,21.379561083044063,5.8470229732872365,0.25395645772973086,5.541058079121606,0.24723129559961277,0.5061599280281353,1.2762433861643967,-0.2509726172581842,0.5675509044271347,0.4573932837745598,8,9,2024,-0.5413241593480149,0.11176797262921978
20,3,all,expanding,10,15,1,10,103,2018-01-08,2026-07-08,15.56864824373006,0.3916199917128438,24.837063256756483,5.687380913005737,0.25066153377489275,5.530683258094672,0.24717585536651288,0.5675263486059032,1.4317307290250154,-0.22083847412899826,0.5500843629270789,0.4432707116446896,7,9,2024,-0.49917169960467,0.14095845793795103
20,4,all,expanding,10,15,1,10,103,2018-01-09,2026-07-09,14.387068173441696,0.3795534712711255,22.769983753463265,5.660395699351164,0.25006643039846055,5.526421054594472,0.24708001757982334,0.5637896393326646,1.3959101473204352,-0.2737439322034819,0.5384882696896834,0.43389469045759343,7,9,2024,-0.5628809532396913,0.12948704087266494
20,5,all,expanding,10,15,1,10,103,2018-01-10,2026-07-10,21.035653598882117,0.4391218475757508,32.94320829823284,5.625949796189568,0.24930369830888188,5.532188581772427,0.2472096901388785,0.7672437176812398,1.604947888328747,-0.22909846993355798,0.5349439884299076,0.43102896184500183,7,9,2024,-0.3493836021847927,0.1898181492668689
20,6,all,expanding,10,15,1,10,103,2018-01-11,2026-07-13,19.939050942043544,0.4301708969710849,31.648347708403875,5.737151279977904,0.251572547110545,5.612581919804745,0.24882788262071132,0.726580649676458,1.4810900410114838,-0.19105919809910643,0.5499283582091888,0.44314457403003954,8,9,2024,-0.4185238270391085,0.1785983498605399
20,7,all,expanding,10,15,1,10,103,2018-01-12,2026-07-14,20.32942310619617,0.4332818473976643,32.531300576767855,5.650655442216233,0.24967157197934498,5.573160234979743,0.24794978991261685,0.745639247793659,1.4728708606050327,-0.23019689490034478,0.5600409306453629,0.45132109447330815,8,9,2024,-0.44076376273814843,0.1836102754183193
20,8,all,expanding,10,15,1,10,103,2018-01-15,2026-07-15,18.08365198202933,0.4149625947784972,28.562601762525578,5.559537100694671,0.24782320100941546,5.585678277136032,0.24840752155873824,0.6856574682754714,1.4001623097208349,-0.2609409634994375,0.5418836691765966,0.43664004071273727,7,9,2024,-0.5071537812507769,0.1671393937690817
20,9,all,expanding,10,15,1,10,103,2018-01-16,2026-07-16,16.882295073399657,0.4041744764018915,27.207997040954986,5.554900805591365,0.2477193537984832,5.615679993975777,0.24907561812806822,0.6032716850688497,1.3728374205332732,-0.2074575664749403,0.5642017046951202,0.4546852883312395,7,9,2024,-0.5056311464894301,0.15645512260340833
20,10,all,expanding,10,15,1,10,103,2018-01-17,2026-07-17,21.698463073689677,0.4441507747025304,34.81124484630556,5.40246100066749,0.24426826695105208,5.462240132298643,0.24563016018778994,0.7742646289767924,1.443206932153959,-0.23253121112943553,0.5644142976674212,0.4548571803789935,6,9,2024,-0.42305783903199834,0.1998825077514783
20,11,all,expanding,10,15,1,10,103,2018-01-18,2026-07-20,27.816064501668084,0.4849129209090193,44.18216880167902,5.172485648764047,0.23875115736364316,5.386729227016359,0.2437331376048053,0.8728185970257428,1.4644015914106112,-0.1977205906537629,0.5567992065298086,0.44869999843967673,6,9,2024,-0.3233959069813166,0.2461617635453761
20,12,all,expanding,10,15,1,10,103,2018-01-19,2026-07-21,14.51746985102517,0.38063747634163736,23.587482418906312,5.136645006295567,0.23790286886745138,5.345881701378694,0.24279477279360417,0.5849241043940574,1.1959180485469205,-0.2517376515772157,0.5697015645229601,0.4591321999950392,7,9,2024,-0.34559123781243195,0.14273460747418598
20,13,all,expanding,10,15,1,10,103,2018-01-22,2026-07-22,18.963695243733795,0.4224913345541337,30.35159656723028,5.353926642879909,0.24315427600615092,5.597973890304487,0.24868165188315916,0.7125599979425871,1.320766170197791,-0.2626528546257181,0.5587276319468669,0.4502592268106393,7,9,2024,-0.4171761322685579,0.17933705854798276
20,14,all,expanding,10,15,1,10,103,2018-01-23,2026-07-23,15.958299025300605,0.3954328835120926,25.75844577463445,5.273932519463257,0.2413017093663674,5.5620611408499325,0.24787970913000112,0.6673043098138731,1.252190615166388,-0.3020886543338972,0.5645523980276543,0.4549688414252599,7,9,2024,-0.4434046920917285,0.1541311741457252
20,15,all,expanding,10,15,1,10,103,2018-01-24,2026-07-24,15.418778901622208,0.3901323641477743,24.351010771110964,5.175132349560366,0.2389846336564927,5.443114815396648,0.2451956591604576,0.6986176529035074,1.3289532346126294,-0.23084111554245335,0.5378560076530461,0.4333834749878704,7,9,2024,-0.401943487296617,0.1511477304912816
20,16,all,expanding,10,15,1,10,103,2018-01-25,2026-07-27,9.988781499469896,0.3257140564814074,16.555666347187387,5.152296406682229,0.23827384777249438,5.409432673154988,0.24425240251846025,0.4521556360846128,1.2305411196083016,-0.2712777564349236,0.5798717848579112,0.46735533164686405,7,9,2024,-0.4998909040029882,0.087440208708913
20,17,all,expanding,10,15,1,10,103,2018-01-26,2026-07-28,10.792433989561005,0.3367671624248487,17.54306311687838,4.959472978359297,0.23364416666702947,5.304833637811228,0.24184641679771923,0.5361603640810931,1.1133537643207434,-0.3337974222734037,0.5603204308038713,0.45154708432647006,7,9,2024,-0.43596960646249316,0.10312299575781925
20,18,all,expanding,10,15,1,10,103,2018-01-29,2026-07-29,10.332351924080086,0.33076879978014206,16.93697531426067,4.857549750466945,0.23130835648458503,5.274978805360425,0.24132607425229802,0.5124675772993762,1.0759918585345152,-0.3026391314538738,0.5684072006459905,0.45808564208231567,8,9,2024,-0.5603716382984064,0.09946044329555703
20,19,all,expanding,10,15,1,10,103,2018-01-30,2026-07-31,15.59086855365862,0.39169129711119943,24.66558772210226,5.063099238746902,0.23623281538040408,5.374033895310472,0.2435293499094897,0.7242694351283695,1.256312547552515,-0.27976099629056805,0.5401814243190427,0.435263690633162,8,9,2024,-0.4555646051972311,0.15545848173079535
