model,seed,top_k,mean_ic,median_year_ic,mean_spread,positive_alpha_years,years,mean_alpha_vs_0050,mean_alpha_vs_equal_weight,median_alpha_vs_0050,mean_turnover,mean_active_sharpe,mean_best_epoch,mean_valid_ic,run,clip_q,hidden,lr
mlp_rank,3407,10,0.040540416165524,0.0323713612498056,0.0047331876058406,3,9,-0.1037882423180735,-0.0939097066362077,-0.0799734245474941,0.6890116097170077,-0.5049116224207486,19.666666666666668,0.0629696627267525,v3_mlp_rank_seed3407_20260828_223616,0.01,"[1024, 512, 256]",0.001
mlp_rank,42,3,0.0375914502538504,0.0465515102926725,0.0052886597054474,3,9,0.0012132174255622,0.011091753107428,-0.0971793119499968,0.8294705497237549,-0.4511877095007941,14.22222222222222,0.0655278659976153,v3_mlp_rank_seed42_20260828_222151,0.01,"[1024, 512, 256]",0.001
mlp_rank,42,5,0.0375914502538504,0.0465515102926725,0.0052886597054474,4,9,-0.0326592922031561,-0.0227807565212903,-0.1008482434735131,0.749991593589479,-0.4119016926171992,14.22222222222222,0.0655278659976153,v3_mlp_rank_seed42_20260828_222151,0.01,"[1024, 512, 256]",0.001
mlp_rank,42,10,0.0375914502538504,0.0465515102926725,0.0052886597054474,4,9,-0.0516500322558215,-0.0417714965739556,-0.024455655231129,0.6433983993122899,-0.3240342807701945,14.22222222222222,0.0655278659976153,v3_mlp_rank_seed42_20260828_222151,0.01,"[1024, 512, 256]",0.001
mlp_rank,7,3,0.0392839186193984,0.0303790681996719,0.0052142874139464,3,9,-0.0602760911700743,-0.0503975554882085,-0.1054833397170256,0.8315903225387041,-0.1583278024147932,14.22222222222222,0.0663116870675584,v3_mlp_rank_seed7_20260828_220645,0.01,"[1024, 512, 256]",0.001
mlp_rank,7,5,0.0392839186193984,0.0303790681996719,0.0052142874139464,5,9,-0.0317480469387693,-0.0218695112569034,0.0058422995358691,0.7813668536872271,-0.0911999746572502,14.22222222222222,0.0663116870675584,v3_mlp_rank_seed7_20260828_220645,0.01,"[1024, 512, 256]",0.001
mlp_rank,7,10,0.0392839186193984,0.0303790681996719,0.0052142874139464,4,9,-0.0660412899729496,-0.0561627542910837,-0.0622710625514095,0.6820712566396159,-0.3949792066127774,14.22222222222222,0.0663116870675584,v3_mlp_rank_seed7_20260828_220645,0.01,"[1024, 512, 256]",0.001
mlp_rank,8765,3,0.0394047856249615,0.0332587324560284,0.0044606101713325,5,9,-0.0428478621714251,-0.0329693264895593,0.020144155902023,0.8482904530205919,-0.0950685972214637,18.444444444444443,0.0570690398289449,v3_mlp_rank_seed8765_20260828_225339,0.01,"[1024, 512, 256]",0.001
mlp_rank,8765,5,0.0394047856249615,0.0332587324560284,0.0044606101713325,5,9,-0.03656787218111,-0.0266893364992441,0.0040805144474969,0.7989459404617838,-0.0921983640471681,18.444444444444443,0.0570690398289449,v3_mlp_rank_seed8765_20260828_225339,0.01,"[1024, 512, 256]",0.001
mlp_rank,8765,10,0.0394047856249615,0.0332587324560284,0.0044606101713325,5,9,-0.0269223045447521,-0.0170437688628863,0.0065195581921433,0.7016790904709436,-0.1706262976539424,18.444444444444443,0.0570690398289449,v3_mlp_rank_seed8765_20260828_225339,0.01,"[1024, 512, 256]",0.001
mlp_rank,9999,3,0.0428550263694855,0.0505397580832421,0.0047454582407584,4,9,-0.0206030352315979,-0.0107244995497321,-0.0482538078171081,0.813302405102342,-0.1213714896601375,10.88888888888889,0.0668186240359977,v3_mlp_rank_seed9999_20260828_225339,0.01,"[1024, 512, 256]",0.001
mlp_rank,9999,5,0.0428550263694855,0.0505397580832421,0.0047454582407584,3,9,-0.0662132303371584,-0.0563346946552925,-0.1060160349856,0.7646406740666207,-0.3591716562017987,10.88888888888889,0.0668186240359977,v3_mlp_rank_seed9999_20260828_225339,0.01,"[1024, 512, 256]",0.001
mlp_rank,9999,10,0.0428550263694855,0.0505397580832421,0.0047454582407584,4,9,-0.0662589058956505,-0.0563803702137846,-0.0254590485485932,0.6519941322969173,-0.3110624658147878,10.88888888888889,0.0668186240359977,v3_mlp_rank_seed9999_20260828_225339,0.01,"[1024, 512, 256]",0.001
mlp_reg,123,3,0.0382285443546604,0.0347032787494065,0.0049980795163483,4,9,0.0655070978482751,0.075385633530141,-0.0886688358432423,0.7860461064950176,0.0703225077642858,17.22222222222222,0.0510816820820195,v3_mlp_reg_seed123_20260828_222151,0.01,"[1024, 512, 256]",0.001
mlp_reg,123,5,0.0382285443546604,0.0347032787494065,0.0049980795163483,5,9,0.0727851215963905,0.0826636572782563,0.0212384255930981,0.7509329992582231,0.1886273935350602,17.22222222222222,0.0510816820820195,v3_mlp_reg_seed123_20260828_222151,0.01,"[1024, 512, 256]",0.001
mlp_reg,123,10,0.0382285443546604,0.0347032787494065,0.0049980795163483,5,9,-0.0279334608957468,-0.0180549252138809,0.037626979127618,0.6830606281058004,-0.0891741052360869,17.22222222222222,0.0510816820820195,v3_mlp_reg_seed123_20260828_222151,0.01,"[1024, 512, 256]",0.001
mlp_reg,1,3,0.0375782993123677,0.0360491883305475,0.004162216396738,6,9,0.1376568048856731,0.1475353405675389,0.1201000394382643,0.7869411877715363,0.2166052005608574,25.11111111111111,0.0592261437565223,v3_mlp_reg_seed1_20260828_220645,0.01,"[1024, 512, 256]",0.001
mlp_reg,1,5,0.0375782993123677,0.0360491883305475,0.004162216396738,3,9,0.0415825069954219,0.0514610426772877,-0.0579747457072952,0.7658618258696797,0.1152790928280776,25.11111111111111,0.0592261437565223,v3_mlp_reg_seed1_20260828_220645,0.01,"[1024, 512, 256]",0.001
mlp_reg,1,10,0.0375782993123677,0.0360491883305475,0.004162216396738,6,9,-0.0455172029660819,-0.0356386672842161,0.0077685451329641,0.6738576363873147,-0.2183691461441504,25.11111111111111,0.0592261437565223,v3_mlp_reg_seed1_20260828_220645,0.01,"[1024, 512, 256]",0.001
mlp_reg,2026,3,0.0414673691378476,0.0360172885954228,0.0057471302876648,3,9,0.0597723641260258,0.0696508998078917,-0.0648528922781919,0.7579166419675537,0.1265362212383105,32.77777777777778,0.0506144155294904,v3_mlp_reg_seed2026_20260828_223616,0.01,"[1024, 512, 256]",0.001
mlp_reg,2026,5,0.0414673691378476,0.0360172885954228,0.0057471302876648,4,9,0.0180182883015876,0.0278968239834535,-0.0696564220850359,0.7356760385153737,-0.000204384720097,32.77777777777778,0.0506144155294904,v3_mlp_reg_seed2026_20260828_223616,0.01,"[1024, 512, 256]",0.001
mlp_reg,2026,10,0.0414673691378476,0.0360172885954228,0.0057471302876648,5,9,-0.0304329815081774,-0.0205544458263115,0.0747331944126481,0.6545579125777823,-0.1242325938957685,32.77777777777778,0.0506144155294904,v3_mlp_reg_seed2026_20260828_223616,0.01,"[1024, 512, 256]",0.001
mlp_reg,3407,3,0.0279042617307264,0.028091679042148,0.0031382736726097,4,9,0.0553070475542296,0.0651855832360955,-0.0552017466405706,0.7787638011114935,-0.2658842668083679,37.333333333333336,0.0546116380661048,v3_mlp_reg_seed3407_20260828_223616,0.01,"[1024, 512, 256]",0.001
mlp_reg,3407,5,0.0279042617307264,0.028091679042148,0.0031382736726097,4,9,-0.0881692021284669,-0.078290666446601,-0.034691249167844,0.7333026552009405,-0.4976670818457989,37.333333333333336,0.0546116380661048,v3_mlp_reg_seed3407_20260828_223616,0.01,"[1024, 512, 256]",0.001
mlp_reg,3407,10,0.0279042617307264,0.028091679042148,0.0031382736726097,1,9,-0.1517835060539619,-0.141904970372096,-0.0569757461784734,0.658214103840764,-0.8314148566154383,37.333333333333336,0.0546116380661048,v3_mlp_reg_seed3407_20260828_223616,0.01,"[1024, 512, 256]",0.001
mlp_reg,42,3,0.032273121561287,0.0277011489482894,0.0053264968964185,3,9,-0.0359864183287298,-0.0261078826468639,-0.0825189570569081,0.7689790690886569,-0.0414346127920638,20.0,0.0553932672045389,v3_mlp_reg_seed42_20260828_222151,0.01,"[1024, 512, 256]",0.001
