horizon,feature_set,train_window,year,seeds,ic_mean,ic_median,ic_std,spread_mean
10,all,3,2018,16,0.04335700021416606,0.04691679303897775,0.017357618024846797,0.006884839994714475
10,all,3,2019,16,-0.027248178265357276,-0.03732233059894345,0.03577971659543111,-0.0058325319960649685
10,all,3,2020,16,0.038676586840356866,0.0445818380663345,0.031392908149513496,0.007561736168579525
10,all,3,2021,16,0.028614664585262226,0.03474680196964705,0.024765113255592597,0.011760529520393756
10,all,3,2022,16,-0.007612043467090769,-0.013494019460180001,0.011752452275283827,1.4072670991393751e-05
10,all,3,2023,16,0.00012266962388478726,0.0005492716494816999,0.019767809265165148,-6.882448820077174e-05
10,all,3,2024,16,-0.011394769433105682,-0.0098217215419702,0.02294712218046228,-0.00185324290698305
10,all,3,2025,16,0.032715136620595775,0.038106007008634354,0.02873039962839114,0.003961517051660112
10,all,3,2026,16,0.06974356048462071,0.0645255282433154,0.016963798139056074,0.03473721466263507
10,all,5,2018,16,0.04503320538408726,0.042269999705400255,0.00695580605462646,0.00505539583874555
10,all,5,2019,16,-0.006516556939828586,0.00226348082150345,0.03293488385964065,-0.0022629708347631375
10,all,5,2020,16,0.05483603413888265,0.045639738373611946,0.03630694288231316,0.009566540314781137
10,all,5,2021,16,0.03423834119350799,0.04172953844276505,0.02503834588730157,0.013299274960730018
10,all,5,2022,16,0.0035296166044039437,-0.0009674493510318501,0.01583933371423398,0.0009049422737023729
10,all,5,2023,16,0.012337991599641582,0.0130183346305753,0.023584932233588263,0.004603958072298675
10,all,5,2024,16,0.0001045946666024377,0.0004965116428277001,0.03514529977404864,0.002489493871814825
10,all,5,2025,16,0.057764970314244574,0.0774179908648141,0.03983830488996063,0.010217030218719971
10,all,5,2026,16,0.05128220710201966,0.0537434523454021,0.011760829781352044,0.030125138378060155
10,all,8,2018,16,0.05166844571136773,0.05303577649255285,0.0095959703194641,0.005644922500640332
10,all,8,2019,16,0.0020768641325420063,0.0111507514667785,0.03386564553861899,-0.0008527635010877502
10,all,8,2020,16,0.04132908428266796,0.040623098990365,0.027830949655941892,0.0056065393159069245
10,all,8,2021,16,0.05789640655499535,0.061251844025975055,0.012325604699781964,0.016647180031094725
10,all,8,2022,16,0.028426400452482282,0.025130418344552048,0.015547667109070691,0.004773061846604025
10,all,8,2023,16,0.016980442879234326,0.0208818259026055,0.013721586963335789,0.005447121770473606
10,all,8,2024,16,-0.004067053145234513,-0.00873384909320405,0.02814186297362754,0.00016659704128478748
10,all,8,2025,16,0.04997405779513854,0.0609776798403846,0.04020041823718149,0.009570442417735338
