Date,Open,High,Low,Close,Volume,market_close,ret_1,ret_5,ret_20,vol_5,vol_20,ma5_ratio,ma20_ratio,ma60_ratio,rsi_14,volume_ratio,market_ret_1,market_ret_5,market_ma20_ratio,future_ret_5,target,prob_up,signal,strategy_ret,buyhold_ret,strategy_equity,buyhold_equity
2026-01-02,1545.8190914117952,1575.6419677734375,1535.878132624581,1575.6419677734375,37512761,65.618896484375,0.02258063136119315,0.0602006680722007,0.09674706660416366,0.011408651084979828,0.014012489148476179,0.029889527307474628,0.06984483073031611,0.08701108078666642,0.7101839455481632,1.4816190884088627,0.02057925300784791,0.0485513355289906,0.05205263363988388,0.05993689483120068,1,0.2048988,0,0.0,0.05993689483120068,1.0,1.0599368948312007
2026-01-09,1655.1696166992188,1689.9629720052083,1645.2286580403645,1670.0810546875,37387656,68.46123504638672,-0.0029673469405602226,0.05993689483120068,0.1200000000000001,0.02715410455865034,0.017895779577233935,-0.0017825384775059794,0.09499755069673577,0.1351824651038751,0.7327383106447023,1.2004815970109828,-0.0035663887762412694,0.04331585433913121,0.06955551134443438,0.03571428571428581,1,0.808845,1,0.02986428571428581,0.03571428571428581,1.029864285714286,1.097791783932315
2026-01-16,1724.756327311198,1739.6677652994792,1699.9039306640625,1729.726806640625,53551629,70.56849670410156,0.029585823753119023,0.03571428571428581,0.21678328644069178,0.015272803688639553,0.016196266693912425,0.018735372763148295,0.08886107355638218,0.15999034722267336,0.7520026848364345,1.6167612556445667,0.01910837710018054,0.03078036287670005,0.06916144459426232,0.017241449882363424,1,0.34855536,0,0.0,0.017241449882363424,1.029864285714286,1.1167193059562543
2026-01-23,1759.5498046875,1764.5202843617585,1739.6678859904662,1759.5498046875,27601167,71.81300354003906,0.005681864563052752,0.017241449882363424,0.18394655422394512,0.01319941278104497,0.01678080628953567,0.005110767225364521,0.05813785556193407,0.16116046026293573,0.7223344714739754,0.787912681310793,0.006267339416331952,0.01763544490901947,0.05073877123861714,0.002824846998438657,1,0.32358068,0,0.0,0.002824846998438657,1.029864285714286,1.1198738671357833
2026-01-30,1779.4317025198063,1789.3726617517605,1764.520263671875,1764.520263671875,40825139,72.160888671875,-0.016620497672705792,0.002824846998438657,0.11987386713578352,0.01674522771724476,0.017858780904734316,-0.006715137394825765,0.02320223320906667,0.14589960545006164,0.6447339867232713,1.1224514074912602,-0.01559320876681769,0.004844319478184422,0.02377611047856676,0.002816889715979709,1,0.7110198,1,-0.003033110284020291,0.002816889715979709,1.0267405937581406,1.1230284283153125
2026-02-06,1734.6973657500878,1769.49072265625,1729.7268861920645,1769.49072265625,33263592,71.46512603759766,0.008498618257067658,0.002816889715979709,0.05952385825210804,0.013135712795587588,0.013733383914747927,0.0005621388444292386,0.012082472032307612,0.12992598671072608,0.6121353858083303,1.041349699055434,-0.0013887905720448845,-0.009641824637735108,0.0023030256007456895,0.10393249900590984,1,0.3328416,0,0.0,0.10393249900590984,1.0267405937581406,1.239747579324802
2026-02-24,1903.693523688474,1963.3392737779302,1903.693523688474,1953.3983154296875,40961679,78.91976165771484,0.034210516281269365,0.10393249900590984,0.12931030954157685,0.017525931223010896,0.01629779360060115,0.03693927934457397,0.0883411222830246,0.2169295428812983,0.7606024521434833,1.1884896667851959,0.025839847864039145,0.10431151574818909,0.08128051664284452,-0.05089056600142017,0,0.36660928,0,0.0,-0.05089056600142017,1.0267405937581406,1.1766561233140724
2026-03-04,1883.811645180546,1898.7230830051942,1853.98876953125,1853.98876953125,68160943,75.14273834228516,-0.03617575175319654,-0.05089056600142017,0.053672231722092345,0.02261912278086618,0.019830476647398166,-0.04701073917482457,0.005661880234121286,0.1232496658139175,0.5432517175521493,1.7366020868802006,-0.04000004288712622,-0.0478590309460275,0.002985026171595795,0.04021451057409209,1,0.80485034,1,0.03436451057409209,0.04021451057409209,1.062024031749192,1.2239747734271564
2026-03-11,1873.8707467305292,1938.4869793764094,1863.9297878619323,1928.5460205078125,36167313,77.72701263427734,0.0486486475722836,0.04021451057409209,0.09295770652959723,0.03418737804763184,0.024153056684841072,0.033013852801873966,0.033426568155162206,0.14262755977602515,0.5952494983401618,0.8382718813727635,0.03989365312656523,0.034391537346170065,0.026987947529682588,-0.014837471229343757,0,0.5788821,1,-0.020687471229343758,-0.014837471229343757,1.040053440147509,1.2058140829409885
2026-03-18,1894.9445781557579,1904.9179706723671,1884.9711856391486,1899.9312744140625,23068156,77.32943725585938,0.01871657018983819,-0.014837471229343757,0.07371643721420762,0.020161662849770532,0.02534615073906543,0.018519963040669607,0.0050480812678648235,0.10376708798304768,0.5596110927724698,0.5335067531546467,0.015003250081640163,-0.005115021984553159,0.0076089069883458205,-0.03149605085042073,0,0.38691717,0,0.0,-0.03149605085042073,1.040053440147509,1.1678357012685256
