horizon,execution_delay,slippage_bps,phases,cagr_min,cagr_median,cagr_max,market_cagr_median,alpha_cagr_min,alpha_cagr_median,alpha_cagr_max,beat_market_fraction,active_sharpe_min,active_sharpe_median,active_sharpe_max,positive_sharpe_fraction,worst_sharpe_phase,worst_alpha_phase,rebalance_mdd_worst,positive_alpha_years_min,worst_year_alpha_min,phase0_cagr,phase0_active_sharpe
10,1,0,10,0.2599895553670395,0.29571342707767556,0.3769862517151781,0.24515191971108208,0.01583347844946026,0.05221494842207264,0.13373153461585607,1.0,0.14605570491045297,0.28314534014332615,0.6273905700577943,1.0,7,4,-0.37100743836476013,4,-0.657899348432931,0.36702978308629985,0.5666913254522248
10,1,10,10,0.22646330438968354,0.2608290687742054,0.3418726274401436,0.24515191971108208,-0.017692772527895695,0.017330590118602496,0.09861791034082157,0.5,-0.010655244389490082,0.128908201805467,0.4875043073880799,0.9,7,4,-0.37417843783625004,3,-0.6835582661221329,0.33110924726626867,0.4269351266002437
10,1,20,10,0.1937899610769549,0.22684287012876136,0.3076145902416132,0.24515191971108208,-0.05036611584062434,-0.01665560852684156,0.06435987314229119,0.5,-0.1677374490446384,-0.02133928905731578,0.3475160864368904,0.5,5,4,-0.37733750771203645,3,-0.7084851326809565,0.2960907328717617,0.2870721073259678
10,1,30,10,0.16194882018552126,0.19438363934399672,0.2741922586080765,0.24515191971108208,-0.08220725673205798,-0.049189867894532946,0.030937541508754496,0.2,-0.33635413277740644,-0.16165457045490517,0.20746080692769087,0.4,5,4,-0.3815202361181541,3,-0.7326999088485,0.26195263512628264,0.1471372792888232
10,1,50,10,0.10068270736322216,0.13246366812011956,0.20977737500990834,0.24515191971108208,-0.14347336955435708,-0.1111098391184101,-0.033477342089413664,0.0,-0.6737981435217277,-0.44167526117716643,-0.07271097859762168,0.0,5,4,-0.49583831327245964,2,-0.7790704504327932,0.1962337223576085,-0.13280735048814868
10,1,100,10,-0.041035288051476826,-0.009211378711127038,0.06205568459323496,0.24515191971108208,-0.2859626623649427,-0.2527848859496567,-0.18119903250608704,0.0,-1.515974987091346,-1.1372065920203818,-0.7718666718036203,0.0,5,5,-0.7133856023796039,1,-0.8838356814486302,0.04592360147905561,-0.8314683809431338
10,2,0,10,0.24536785413236228,0.28722056096292936,0.35495921015482224,0.2455241953959607,-0.0007455340529296528,0.04150472834090213,0.11363417852683955,0.8,0.04656893475437495,0.24452597278453198,0.5657374280750153,1.0,5,8,-0.3452018910995116,4,-0.5843728298431718,0.3468496605580931,0.49242234269762286
10,2,10,10,0.21135357087602036,0.25251691591047287,0.3204140265608315,0.2455241953959607,-0.0343183548072028,0.006801083288445642,0.07908899493284882,0.6,-0.12711783505059066,0.09885512440052308,0.41923855155132644,0.6,5,5,-0.36836176990717606,4,-0.6117854503427752,0.311471606949161,0.34910814926402306
10,2,20,10,0.17822728181118452,0.21870805543815652,0.28671040686563454,0.2455241953959607,-0.06744464387203863,-0.027007777183870707,0.04538537523765185,0.3,-0.30098641477125604,-0.046626815504773315,0.2726555840960764,0.4,5,5,-0.4091944608116421,3,-0.6384149459071007,0.276981631770975,0.20583004307674466
10,2,30,10,0.1459668713775173,0.1857719574671779,0.2538287996175941,0.2455241953959607,-0.09970505430570586,-0.059943875154849335,0.012503767989611392,0.2,-0.47497518886386436,-0.19188542864100405,0.1260286553071571,0.3,5,5,-0.4677976566459163,3,-0.6642826988794567,0.2433584722372948,0.06262544270447494
10,2,50,10,0.08395783398523005,0.12243253065753068,0.19045556885363268,0.2455241953959607,-0.1617140916979931,-0.12328330196449655,-0.050869462774350005,0.0,-0.8230654950841728,-0.48159652916630014,-0.1671963639777016,0.0,5,5,-0.5683094754936051,2,-0.7138157361486211,0.1786299610748685,-0.223414260315095
