year,model,top_k,mean_ic,median_ic,positive_ic_days,mean_top_bottom_spread,gross_return,net_return,0050_return,equal_weight_return,alpha_vs_0050,alpha_vs_equal_weight,cost_drag,mean_turnover,total_transaction_cost,max_drawdown,sharpe,active_sharpe,periods
2018,xgb,3,0.045973391232475,0.04528211284513805,0.5959183673469388,0.0035178861595666585,0.15381513082681186,-0.04282930307692756,-0.07975129418101068,0.014311323285618016,0.03692199110408312,-0.05714062636254558,0.19664443390373942,0.6556594151637456,0.18644477135668772,-0.4381689096112561,0.11021275434813246,0.31040400195919243,49
2018,xgb,5,0.045973391232475,0.04528211284513805,0.5959183673469388,0.0035178861595666585,0.036910186832176395,-0.13676564105017586,-0.07975129418101068,0.014311323285618016,-0.05701434686916518,-0.15107696433579387,0.17367582788235225,0.6434026494509988,0.18293136946512883,-0.4040753479238519,-0.2649656792241866,-0.06205744273604651,49
2018,xgb,10,0.045973391232475,0.04528211284513805,0.5959183673469388,0.0035178861595666585,0.07191005060417321,-0.10757791142432649,-0.07975129418101068,0.014311323285618016,-0.02782661724331581,-0.1218892347099445,0.1794879620284997,0.6432670549560962,0.182892501303165,-0.24910843386755577,-0.4071665024150933,-0.11314285408233035,49
2019,xgb,3,0.02932857331661053,0.013397358943577431,0.5518672199170125,0.002561384754619326,0.5854023710135741,0.25264517718281576,0.3568104046050311,0.36463254446228577,-0.10416522742221535,-0.11198736727947001,0.3327571938307583,0.8249317290081742,0.23496668012019314,-0.22780059560432953,0.9041863887459782,-0.17783920746544307,49
2019,xgb,5,0.02932857331661053,0.013397358943577431,0.5518672199170125,0.002561384754619326,0.5080427042505555,0.19746287219332848,0.3568104046050311,0.36463254446228577,-0.15934753241170263,-0.1671696722689573,0.31057983205722706,0.807716371798935,0.23003189797616466,-0.14776872581187073,0.9353370529971896,-0.6384400220688353,49
2019,xgb,10,0.02932857331661053,0.013397358943577431,0.5518672199170125,0.002561384754619326,0.416828524543303,0.15868202773949558,0.3568104046050311,0.36463254446228577,-0.19812837686553553,-0.2059505167227902,0.2581464968038074,0.7054008014467978,0.20070313973472464,-0.1409153371242703,0.9591574708484897,-1.4316465164043308,49
2020,xgb,3,0.01956927729508729,0.010900360144057623,0.5387755102040817,0.003402933687183932,0.24525069248393772,0.01661691155930023,0.3140110207168767,0.2948164337637449,-0.29739410915757647,-0.27819952220444466,0.2286337809246375,0.7112382183836847,0.20237643529968327,-0.4016471212220952,0.26978999868588255,-0.5191052359643866,49
2020,xgb,5,0.01956927729508729,0.010900360144057623,0.5387755102040817,0.003402933687183932,0.5809930243424124,0.3033008555795491,0.3140110207168767,0.2948164337637449,-0.010710165137327587,0.008484421815804222,0.2776921687628633,0.677618232507901,0.1927392663483898,-0.3407831653333502,0.9152660742563874,0.14488614123258975,49
2020,xgb,10,0.01956927729508729,0.010900360144057623,0.5387755102040817,0.003402933687183932,0.3807179880787763,0.16093712719162823,0.3140110207168767,0.2948164337637449,-0.15307389352524847,-0.13387930657211666,0.2197808608871481,0.6089138819926917,0.1730451642732051,-0.3253038651504696,0.6572083603282624,-0.505215574530843,49
2021,xgb,3,0.02962393622145184,0.043745498199279705,0.5679012345679012,0.0055707326737247514,2.034529160853767,1.5315643660285332,0.22318424658314662,0.4155932728921081,1.3083801194453866,1.115971093136425,0.5029647948252336,0.6359545255728799,0.180796364755466,-0.4035222763351828,1.7098297548921755,1.5185595618944545,49
2021,xgb,5,0.02962393622145184,0.043745498199279705,0.5679012345679012,0.0055707326737247514,1.3564637076958959,0.9566982850893566,0.22318424658314662,0.4155932728921081,0.73351403850621,0.5411050121972485,0.39976542260653924,0.6523876893367975,0.185506931148393,-0.33365397181776224,1.6073139258015727,1.382175847770763,49
2021,xgb,10,0.02962393622145184,0.043745498199279705,0.5679012345679012,0.0055707326737247514,0.6055717233688513,0.36246829289995364,0.22318424658314662,0.4155932728921081,0.13928404631680702,-0.053124979992154486,0.2431034304688977,0.5769447434457708,0.1638812107087302,-0.26552812464868925,1.058711891563456,0.62100443638674,49
2022,xgb,3,0.0032743177892898454,-0.006626650660264105,0.491869918699187,0.0004003328758043564,0.045030714908386615,-0.14350403132808542,-0.18344788049490113,-0.07152450292523171,0.039943849166815704,-0.07197952840285371,0.18853474623647204,0.6837299981486903,0.19849102445849195,-0.27468661492995494,-0.29728102647276694,0.3317687843260305,50
2022,xgb,5,0.0032743177892898454,-0.006626650660264105,0.491869918699187,0.0004003328758043564,-0.04061535862446053,-0.20660022744316908,-0.18344788049490113,-0.07152450292523171,-0.023152346948267954,-0.13507572451793737,0.16598486881870855,0.6532237321680148,0.18956794165914434,-0.26472582852179394,-0.6223882583444669,-0.05081709264251236,50
2022,xgb,10,0.0032743177892898454,-0.006626650660264105,0.491869918699187,0.0004003328758043564,-0.02223573562869119,-0.18205477728621966,-0.18344788049490113,-0.07152450292523171,0.0013931032086814676,-0.11053027436098795,0.15981904165752847,0.6141158225347962,0.17812887809142786,-0.27527050939016395,-0.6742878859096393,0.04616329082777752,50
2023,xgb,3,0.022241865945561927,0.018103241296518604,0.5439330543933054,0.004189843697441273,1.1252351312284534,0.7627283382611916,0.2467194348868127,0.3304531968260205,0.5160089033743789,0.4322751414351711,0.36250679296726185,0.6698771542982266,0.18660150492694205,-0.23671204510517307,1.5963709957405297,1.0826225940065757,48
