date,top_k,gross_ret,net_ret,0050_ret,equal_weight_ret,buy_turnover,sell_turnover,turnover,transaction_cost,stocks,gross_equity,net_equity,0050_equity,equal_weight_equity,year
2018-01-02,3,-0.03024874749294497,-0.031630643027767524,0.013863965563603031,0.015995608302274398,1.0,0.0,0.5,0.001425,"3008.TW,2618.TW,2886.TW",0.9697512525070551,0.9683693569722325,1.013863965563603,1.0159956083022743,2018
2018-01-02,10,0.020062405496517846,0.018608816568685294,0.013863965563603031,0.015995608302274398,0.9999999999999999,0.0,0.49999999999999994,0.0014249999999999998,"3008.TW,2618.TW,2886.TW,2327.TW,1102.TW,2887.TW,9910.TW,2002.TW,1101.TW,2892.TW",1.020062405496518,1.0186088165686853,1.013863965563603,1.0159956083022743,2018
2018-01-02,5,0.01228345286465051,0.010840948944318418,0.013863965563603031,0.015995608302274398,1.0,0.0,0.5,0.001425,"3008.TW,2618.TW,2886.TW,2327.TW,1102.TW",1.0122834528646505,1.0108409489443184,1.013863965563603,1.0159956083022743,2018
2018-01-09,3,-0.02099932074449858,-0.025013861626288714,0.006539668161630541,0.004547027648275283,0.7009661168992863,0.7009661168992863,0.7009661168992863,0.0041006517838608255,"3008.TW,2327.TW,1590.TW",0.9493871349132802,0.9441466998737909,1.0204942994594237,1.0206153684237511,2018
2018-01-09,10,-0.006131261545752753,-0.00970649754772801,0.006539668161630541,0.004547027648275283,0.6149216990964346,0.6149216990964348,0.6149216990964347,0.003597291939714143,"3008.TW,2327.TW,1590.TW,3037.TW,3017.TW,2609.TW,1303.TW,2892.TW,1102.TW,5880.TW",1.0138081360954292,1.0087216925885671,1.0204942994594237,1.0206153684237511,2018
2018-01-09,5,-0.007382206377185786,-0.011029572063846027,0.006539668161630541,0.004547027648275283,0.6281182122309735,0.6281182122309735,0.6281182122309735,0.003674491541551195,"3008.TW,2327.TW,1590.TW,3037.TW,3017.TW",1.0048105675033934,0.9996918058528506,1.0204942994594237,1.0206153684237511,2018
2018-01-16,3,0.06251990423711636,0.060295190225637896,0.03957472980937049,0.007712087258277363,0.3579161123463058,0.35791611234630577,0.3579161123463058,0.002093809257225889,"3008.TW,2327.TW,2345.TW",1.0087427276720087,1.0010742047435892,1.0608800856325333,1.028486443202174,2018
2018-01-16,10,0.016910673325565888,0.013280605649311106,0.03957472980937049,0.007712087258277363,0.6102054048406558,0.6102054048406559,0.6102054048406558,0.003569701618317837,"3008.TW,2327.TW,2345.TW,2886.TW,2609.TW,1326.TW,2881.TW,2892.TW,2412.TW,2379.TW",1.0309523142997399,1.0221181275977416,1.0608800856325333,1.028486443202174,2018
2018-01-16,5,0.02899586301469566,0.025280002167546112,0.03957472980937049,0.007712087258277363,0.6172910030373657,0.6172910030373658,0.6172910030373657,0.00361115236776859,"3008.TW,2327.TW,2345.TW,2886.TW,2609.TW",1.0339459170744403,1.0249640168716887,1.0608800856325333,1.028486443202174,2018
2018-01-23,3,-0.023905298470058182,-0.02594083334547692,-0.01617277867250766,-0.013470273157685802,0.3564763531790122,0.35647635317901233,0.3564763531790123,0.0020853866660972224,"3008.TW,2327.TW,2603.TW",0.9846284316875087,0.9751055056318799,1.0437227068095274,1.0146324498732642,2018
2018-01-23,10,-0.014936930552094784,-0.01787749327057564,-0.01617277867250766,-0.013470273157685802,0.510282345717355,0.5102823457173551,0.5102823457173551,0.002985151722446527,"3008.TW,2327.TW,2603.TW,2379.TW,2408.TW,2609.TW,2886.TW,3017.TW,2880.TW,3045.TW",1.0155530511785233,1.0038452176498796,1.0437227068095274,1.0146324498732642,2018
2018-01-23,5,-0.02455261322921556,-0.0280210706335966,-0.01617277867250766,-0.013470273157685802,0.60782232813847,0.6078223281384698,0.6078223281384699,0.003555760619610049,"3008.TW,2327.TW,2603.TW,2379.TW,2408.TW",1.008559842872585,0.9962434277580322,1.0437227068095274,1.0146324498732642,2018
2018-01-30,3,-0.022026785590920896,-0.025955764491228717,-0.03613751857873937,-0.034971424779102984,0.6867471572263355,0.6867471572263356,0.6867471572263355,0.004017470869774063,"2327.TW,9910.TW,2345.TW",0.9629402323360032,0.9497958967735983,1.006005158101146,0.9791493074740844,2018
2018-01-30,10,-0.029349804675860125,-0.034499343190355414,-0.03613751857873937,-0.034971424779102984,0.9068797370785802,0.9068797370785803,0.9068797370785802,0.005305246461909694,"2327.TW,9910.TW,2345.TW,2395.TW,2454.TW,1590.TW,1326.TW,2207.TW,3034.TW,1102.TW",0.9857467674884599,0.9692132169761793,1.006005158101146,0.9791493074740844,2018
2018-01-30,5,-0.024645478297358372,-0.029278171239195627,-0.03613751857873937,-0.034971424779102984,0.8119235680668757,0.8119235680668757,0.8119235680668757,0.004749752873191224,"2327.TW,9910.TW,2345.TW,2395.TW,2454.TW",0.9837034031534815,0.9670752420842094,1.006005158101146,0.9791493074740844,2018
2018-02-06,10,0.013959834716337785,0.010379677346920468,0.001843798177777467,0.005253834693744314,0.603567016924441,0.603567016924441,0.603567016924441,0.0035308670490079804,"3008.TW,3037.TW,1590.TW,2345.TW,3017.TW,6669.TW,3034.TW,2408.TW,2603.TW,1102.TW",0.9995076294347631,0.9792733374487629,1.0078600285784876,0.9842935960760474,2018
2018-02-06,5,0.03432160563858649,0.029480980524197786,0.001843798177777467,0.005253834693744314,0.8,0.8000000000000002,0.8,0.004680000000000001,"3008.TW,3037.TW,1590.TW,2345.TW,3017.TW",1.0174656834218507,0.9955855684615278,1.0078600285784876,0.9842935960760474,2018
2018-02-06,3,0.06541034871600795,0.05917769817601948,0.001843798177777467,0.005253834693744314,1.0,1.0,1.0,0.00585,"3008.TW,3037.TW,1590.TW",1.025926488725775,1.0060026316816881,1.0078600285784876,0.9842935960760474,2018
2018-02-21,5,-0.01742184321447657,-0.023169925431671956,-0.007975610027672886,0.004377143004465862,1.0,1.0000000000000002,1.0,0.005850000000000001,"6669.TW,2412.TW,2892.TW,2330.TW,5876.TW",0.999739555809165,0.9725179250794255,0.9998217300280663,0.9886019899044522,2018
2018-02-21,3,-0.020721295002421997,-0.026450075426657893,-0.007975610027672886,0.004377143004465862,1.0,0.9999999999999998,0.9999999999999999,0.005849999999999999,"6669.TW,2412.TW,2892.TW",1.0046679633020892,0.9793937861942912,0.9998217300280663,0.9886019899044522,2018
