year,model,seed,top_k,best_epoch,best_valid_ic,clip_lo,clip_hi,mean_ic,median_ic,positive_ic_days,mean_top_bottom_spread,gross_return,net_return,0050_return,equal_weight_return,alpha_vs_0050,alpha_vs_equal_weight,mean_turnover,total_cost,max_drawdown,sharpe,active_sharpe,periods
2018,mlp_rank,8765,3,15,0.07207675132243928,-0.0901692733168602,0.12218410521745682,0.07634809492381918,0.08244897959183674,0.673469387755102,0.00544753748775706,-0.006291210927732549,-0.1876750927842743,-0.07975129418101068,0.014311323285618016,-0.10792379860326362,-0.20198641606989232,0.7066442651679632,0.20105957861039664,-0.43309853751780225,-0.3445544801125514,-0.19089249865490493,49
2018,mlp_rank,8765,5,15,0.07207675132243928,-0.0901692733168602,0.12218410521745682,0.07634809492381918,0.08244897959183674,0.673469387755102,0.00544753748775706,0.02284180250793333,-0.16305152348635465,-0.07975129418101068,0.014311323285618016,-0.08330022930534398,-0.17736284677197267,0.7033471840441229,0.20011447030624782,-0.376464918712371,-0.3855290970535355,-0.21582079760368916,49
2018,mlp_rank,8765,10,15,0.07207675132243928,-0.0901692733168602,0.12218410521745682,0.07634809492381918,0.08244897959183674,0.673469387755102,0.00544753748775706,0.21712303320874127,0.009220065977020964,-0.07975129418101068,0.014311323285618016,0.08897136015803164,-0.0050912573085970525,0.6573658172595325,0.18693391151744496,-0.2319699692198015,0.15775641577553326,0.6906512921844361,49
2019,mlp_rank,8765,3,30,0.08001711379152109,-0.08685477823019028,0.11706120520830154,0.03207820068870969,0.043073229291716676,0.5601659751037344,0.001991865882661266,0.7587280506884992,0.3769545605070541,0.3568104046050311,0.36463254446228577,0.02014415590202301,0.012322016044768347,0.856706698200361,0.2440749750391335,-0.11506739872757865,1.6913885710683023,0.16938032731462008,49
2019,mlp_rank,8765,5,30,0.08001711379152109,-0.08685477823019028,0.11706120520830154,0.03207820068870969,0.043073229291716676,0.5601659751037344,0.001991865882661266,0.7872906681328604,0.4089716637585876,0.3568104046050311,0.36463254446228577,0.052161259153556516,0.044339119296301854,0.8328675460823401,0.2372414820845028,-0.0747755765959941,2.2994783575211346,0.37172304583631977,49
2019,mlp_rank,8765,10,30,0.08001711379152109,-0.08685477823019028,0.11706120520830154,0.03207820068870969,0.043073229291716676,0.5601659751037344,0.001991865882661266,0.56210957628798,0.2933680428830385,0.3568104046050311,0.36463254446228577,-0.06344236172199258,-0.07126450157924724,0.6624928222160918,0.1884035674882428,-0.08428891886266643,1.9771895548972693,-0.5228913435258948,49
2020,mlp_rank,8765,3,10,0.03213897395020207,-0.09084537625312805,0.11951235681772232,0.030705271999158616,0.044466853958890454,0.5673469387755102,0.0014145675692372004,0.5327934222661745,0.18598624579807033,0.3140110207168767,0.2948164337637449,-0.12802477491880637,-0.10883018796567456,0.8976861890199095,0.2558217460825571,-0.3315284678041599,0.678232562890762,-0.20498381268540186,49
2020,mlp_rank,8765,5,10,0.03213897395020207,-0.09084537625312805,0.11951235681772232,0.030705271999158616,0.044466853958890454,0.5673469387755102,0.0014145675692372004,0.5933817545096978,0.2612745527143401,0.3140110207168767,0.2948164337637449,-0.05273646800253662,-0.03354188104940481,0.8185923361696396,0.2331494931630272,-0.3120479431443357,0.872194758608017,-0.010125553739446645,49
2020,mlp_rank,8765,10,10,0.03213897395020207,-0.09084537625312805,0.11951235681772232,0.030705271999158616,0.044466853958890454,0.5673469387755102,0.0014145675692372004,0.4916722340081223,0.21532170034340714,0.3140110207168767,0.2948164337637449,-0.09868932037346956,-0.07949473342033775,0.7184110141191669,0.20443251719725922,-0.28291738258036614,0.8506449159794893,-0.34098194262440307,49
2021,mlp_rank,8765,3,5,0.06349166729645833,-0.08901359885931015,0.11716481298208237,0.054449329249712984,0.056038415366146455,0.588477366255144,0.0032894483004651033,0.5324572544195019,0.19496823325881318,0.22318424658314662,0.4155932728921081,-0.028216013324333433,-0.22062503963329494,0.8706667910854174,0.24807663566463492,-0.24492205256885458,0.7216023330516075,0.04072033112002499,49
2021,mlp_rank,8765,5,5,0.06349166729645833,-0.08901359885931015,0.11716481298208237,0.054449329249712984,0.056038415366146455,0.588477366255144,0.0032894483004651033,0.4051774334803695,0.10553607032552059,0.22318424658314662,0.4155932728921081,-0.11764817625762602,-0.31005720256658753,0.8397523053794926,0.2392149983370316,-0.2238329236877179,0.48338584697720566,-0.34018280380398663,49
2021,mlp_rank,8765,10,5,0.06349166729645833,-0.08901359885931015,0.11716481298208237,0.054449329249712984,0.056038415366146455,0.588477366255144,0.0032894483004651033,0.5276209130670453,0.22970380477528995,0.22318424658314662,0.4155932728921081,0.006519558192143338,-0.18588946811681817,0.7602867780369427,0.21643620492428967,-0.1545792835396409,0.8842458133140558,0.14147007046467605,49
2022,mlp_rank,8765,3,50,0.06770542689277156,-0.09243196994066238,0.12190169095993042,0.014549692829146183,0.025042618675438926,0.5650406504065041,0.0014422164028356425,0.2244519417565698,-0.03380132718723883,-0.18344788049490113,-0.07152450292523171,0.1496465533076623,0.03772317573799289,0.8129480028873125,0.23628729084453892,-0.3029648180633968,0.044774393886474285,0.9212685261066661,50
2022,mlp_rank,8765,5,50,0.06770542689277156,-0.09243196994066238,0.12190169095993042,0.014549692829146183,0.025042618675438926,0.5650406504065041,0.0014422164028356425,0.05285462630965143,-0.15107239062283417,-0.18344788049490113,-0.07152450292523171,0.032375489872066954,-0.07954788769760246,0.7394385196869127,0.21478576700842197,-0.258914586217604,-0.4699493997659386,0.2953690980834143,50
2022,mlp_rank,8765,10,50,0.06770542689277156,-0.09243196994066238,0.12190169095993042,0.014549692829146183,0.025042618675438926,0.5650406504065041,0.0014422164028356425,-0.15563418254142036,-0.30976059272902523,-0.18344788049490113,-0.07152450292523171,-0.1263127122341241,-0.23823608980379352,0.6927157937869316,0.2011193696826775,-0.3329708753995846,-1.4020895805417903,-1.223265334233844,50
2023,mlp_rank,8765,3,20,0.03210159204579558,-0.09512177854776382,0.1293548047542572,0.03325873245602843,0.02838003314222922,0.5648535564853556,0.0033824069517920776,0.7692754954725614,0.3935493299100967,0.2467194348868127,0.3304531968260205,0.14682989502328403,0.06309613308407624,0.8531950734864129,0.23807717663498476,-0.21474628146070673,1.2551764782680845,0.5309703728606113,48
2023,mlp_rank,8765,5,20,0.03210159204579558,-0.09512177854776382,0.1293548047542572,0.03325873245602843,0.02838003314222922,0.5648535564853556,0.0033824069517920776,0.5627704457753122,0.2507999493343096,0.2467194348868127,0.3304531968260205,0.004080514447496908,-0.07965324749171088,0.7964094687882805,0.22213177883574917,-0.20760587464169067,0.9604537832643885,0.12958842209703464,48
2023,mlp_rank,8765,10,20,0.03210159204579558,-0.09512177854776382,0.1293548047542572,0.03325873245602843,0.02838003314222922,0.5648535564853556,0.0033824069517920776,0.6286686417254288,0.34415215105610697,0.2467194348868127,0.3304531968260205,0.09743271616929428,0.01369895423008649,0.6876467039981415,0.19159119448267817,-0.09318661066588929,1.897571938347309,0.525997535138854,48
2024,mlp_rank,8765,3,30,0.05825124589351368,-0.09676767140626907,0.12653805315494537,-0.0019784951663485294,0.015414165666266504,0.5289256198347108,-0.0009633609618175811,-0.2566862720428136,-0.4235909914104208,0.5589771562124362,0.1484945422661479,-0.9825681476228569,-0.5720855336765687,0.8899778500602318,0.2536121507197655,-0.4684235419107906,-1.6907474852017386,-3.846298752578897,49
