date,gross_ret,net_ret,0050_ret,equal_weight_ret,buy_turnover,sell_turnover,turnover,transaction_cost,stocks,year,seed,top_k
2018-01-02,0.034358490268299846,0.032884529419667574,0.013863965563603031,0.015995608302274398,1.0,0.0,0.5,0.001425,"1303.TW,2308.TW,2883.TW",2018,123,3
2018-01-02,0.029326475734992943,0.02785968550707052,0.013863965563603031,0.015995608302274398,0.9999999999999999,0.0,0.49999999999999994,0.0014249999999999998,"1303.TW,2308.TW,2883.TW,5880.TW,4904.TW,2880.TW,2884.TW,2002.TW,2886.TW,2618.TW",2018,123,10
2018-01-02,0.03575989347970037,0.03428393563149168,0.013863965563603031,0.015995608302274398,1.0,0.0,0.5,0.001425,"1303.TW,2308.TW,2883.TW,5880.TW,4904.TW",2018,123,5
2018-01-09,-0.0006208869294089085,-0.006467254740871842,0.006539668161630541,0.004547027648275283,1.0,1.0,1.0,0.00585,"1590.TW,1216.TW,2885.TW",2018,123,3
2018-01-09,0.020017840180569568,0.015235370240689994,0.006539668161630541,0.004547027648275283,0.8014724810053289,0.801472481005329,0.8014724810053289,0.004688614013881175,"1590.TW,1216.TW,2885.TW,2892.TW,2357.TW,2207.TW,2412.TW,2886.TW,2002.TW,3034.TW",2018,123,10
2018-01-09,0.010250415262908132,0.004340450333620183,0.006539668161630541,0.004547027648275283,1.0,1.0,1.0,0.00585,"1590.TW,1216.TW,2885.TW,2892.TW,2357.TW",2018,123,5
2018-01-16,0.06760316295007669,0.06135768444681866,0.03957472980937049,0.007712087258277363,1.0,1.0,1.0,0.00585,"2345.TW,2327.TW,4904.TW",2018,123,3
2018-01-16,0.020861487785000504,0.016653102494202043,0.03957472980937049,0.007712087258277363,0.7046813986019227,0.7046813986019228,0.7046813986019227,0.004122386181821248,"2345.TW,2327.TW,4904.TW,2884.TW,9910.TW,2412.TW,3008.TW,2892.TW,3045.TW,1216.TW",2018,123,10
2018-01-16,0.04395375271470923,0.03784662326132815,0.03957472980937049,0.007712087258277363,1.0,1.0,1.0,0.00585,"2345.TW,2327.TW,4904.TW,2884.TW,9910.TW",2018,123,5
2018-01-23,-0.004893476641828154,-0.01071484980347348,-0.01617277867250766,-0.013470273157685802,1.0,1.0,1.0,0.00585,"2891.TW,2603.TW,2883.TW",2018,123,3
2018-01-23,-0.0013843151159421588,-0.0060794235262813245,-0.01617277867250766,-0.013470273157685802,0.8036952016622871,0.8036952016622871,0.8036952016622871,0.0047016169297243796,"2891.TW,2603.TW,2883.TW,1301.TW,2886.TW,1101.TW,2892.TW,5880.TW,4904.TW,2880.TW",2018,123,10
2018-01-23,6.391501670994755e-05,-0.005786458886137935,-0.01617277867250766,-0.013470273157685802,1.0,1.0,1.0,0.00585,"2891.TW,2603.TW,2883.TW,1301.TW,2886.TW",2018,123,5
