year,feature,importance
2018,ret_1,0.00949653796851635
2018,ret_5,0.013737396337091923
2018,ret_20,0.010289456695318222
2018,vol_5,0.010677827522158623
2018,vol_20,0.01221230998635292
2018,ma5_ratio,0.010845690965652466
2018,ma20_ratio,0.008827686309814453
2018,ma60_ratio,0.012227409519255161
2018,rsi_14,0.013588856905698776
2018,volume_ratio,0.038326118141412735
2018,range_ratio,0.012520493008196354
2018,market_ret_1,0.2650238275527954
2018,market_ret_5,0.21429313719272614
2018,market_ret_20,0.2233784794807434
2018,market_ma20_ratio,0.10916855931282043
2018,excess_ret_1,0.013502090238034725
2018,excess_ret_5,0.011066250503063202
2018,excess_ret_20,0.010817774571478367
2019,ret_1,0.00817716121673584
2019,ret_5,0.013940077275037766
2019,ret_20,0.01332565862685442
2019,vol_5,0.012487974017858505
2019,vol_20,0.014765376225113869
2019,ma5_ratio,0.013525093905627728
2019,ma20_ratio,0.011133506894111633
2019,ma60_ratio,0.012654921971261501
2019,rsi_14,0.015558997169137001
2019,volume_ratio,0.03152736648917198
2019,range_ratio,0.013764728792011738
2019,market_ret_1,0.26593509316444397
2019,market_ret_5,0.22490230202674866
2019,market_ret_20,0.1600828766822815
2019,market_ma20_ratio,0.14524036645889282
2019,excess_ret_1,0.012827776372432709
2019,excess_ret_5,0.0185701921582222
2019,excess_ret_20,0.011580468155443668
2020,ret_1,0.015732135623693466
2020,ret_5,0.011046670377254486
2020,ret_20,0.01324556116014719
2020,vol_5,0.011873518116772175
2020,vol_20,0.014787334948778152
2020,ma5_ratio,0.013156775385141373
2020,ma20_ratio,0.010737325064837933
2020,ma60_ratio,0.012751013971865177
2020,rsi_14,0.0159992016851902
2020,volume_ratio,0.030813544988632202
2020,range_ratio,0.01298895850777626
2020,market_ret_1,0.28366944193840027
2020,market_ret_5,0.19113333523273468
2020,market_ret_20,0.14532390236854553
2020,market_ma20_ratio,0.17922376096248627
2020,excess_ret_1,0.011899271048605442
2020,excess_ret_5,0.012899985536932945
2020,excess_ret_20,0.01271832175552845
2021,ret_1,0.01180805079638958
2021,ret_5,0.010882170870900154
2021,ret_20,0.015461788512766361
2021,vol_5,0.01341735478490591
2021,vol_20,0.017745468765497208
2021,ma5_ratio,0.012282601557672024
2021,ma20_ratio,0.0123352175578475
2021,ma60_ratio,0.014684168621897697
2021,rsi_14,0.015939943492412567
2021,volume_ratio,0.02524583972990513
2021,range_ratio,0.01381749752908945
2021,market_ret_1,0.24825036525726318
2021,market_ret_5,0.21789899468421936
2021,market_ret_20,0.14408516883850098
2021,market_ma20_ratio,0.18373072147369385
2021,excess_ret_1,0.015960754826664925
2021,excess_ret_5,0.013703853823244572
2021,excess_ret_20,0.012750012800097466
2022,ret_1,0.012449543923139572
2022,ret_5,0.018555747345089912
2022,ret_20,0.020434459671378136
2022,vol_5,0.018323563039302826
2022,vol_20,0.025228220969438553
2022,ma5_ratio,0.01467677392065525
2022,ma20_ratio,0.018666410818696022
2022,ma60_ratio,0.01859722100198269
2022,rsi_14,0.022838884964585304
2022,volume_ratio,0.05104320868849754
2022,range_ratio,0.01760372333228588
2022,market_ret_1,0.19343876838684082
2022,market_ret_5,0.23514634370803833
2022,market_ret_20,0.12370900064706802
2022,market_ma20_ratio,0.1525679975748062
2022,excess_ret_1,0.01593134179711342
2022,excess_ret_5,0.01961725950241089
2022,excess_ret_20,0.021171484142541885
2023,ret_1,0.011037453077733517
2023,ret_5,0.01741749793291092
2023,ret_20,0.020167507231235504
