date,portfolio_ret,benchmark_ret,realized_alpha,top_k,stocks,test_year,strategy_equity,benchmark_equity
2018-01-02,-0.02111060188174607,0.013863965563603031,-0.0349745674453491,5,"3008.TW,2886.TW,2618.TW,2382.TW,9910.TW",2018,0.9788893981182539,1.013863965563603
2018-01-09,-0.0146420949740943,0.006539668161630541,-0.02118176313572484,5,"3008.TW,2327.TW,1590.TW,3037.TW,1303.TW",2018,0.9645564065818725,1.0204942994594237
2018-01-16,0.023543009048329733,0.03957472980937049,-0.016031720761040757,5,"3008.TW,2327.TW,2345.TW,2881.TW,2609.TW",2018,0.9872649667896539,1.0608800856325333
2018-01-23,-0.025087751710849537,-0.01617277867250766,-0.008914973038341878,5,"3008.TW,2327.TW,2603.TW,2379.TW,2880.TW",2018,0.962496708430015,1.0437227068095274
2018-01-30,-0.03210653150643261,-0.03613751857873937,0.004030987072306758,5,"2327.TW,1590.TW,9910.TW,2345.TW,2207.TW",2018,0.931594277535969,1.006005158101146
2018-02-06,0.02827082424560068,0.001843798177777467,0.02642702606782321,5,"3008.TW,3037.TW,1590.TW,2345.TW,3017.TW",2018,0.9579312156243958,1.0078600285784876
2018-02-21,-0.023169925431671956,-0.007975610027672886,-0.01519431540399907,5,"6669.TW,2412.TW,2892.TW,2330.TW,5876.TW",2018,0.9357360207897076,0.9998217300280663
2018-03-01,0.0010721351914089183,0.02535598996917665,-0.024283854777767733,5,"6669.TW,1590.TW,1301.TW,3037.TW,1326.TW",2018,0.9367392563074652,1.0251731997856228
2018-03-08,0.010183788512954983,0.013268757344246485,-0.0030849688312915013,5,"1590.TW,2912.TW,3231.TW,2412.TW,2884.TW",2018,0.9462788107854831,1.038775974209403
2018-03-15,-0.0680041056062669,-0.02559525394992357,-0.04240885165634334,5,"3008.TW,2609.TW,2345.TW,1216.TW,3017.TW",2018,0.8819279666038545,1.012188239352434
2018-03-22,0.013409494878719341,0.009774233889929818,0.0036352609887895238,5,"5871.TW,6669.TW,3037.TW,3008.TW,2408.TW",2018,0.8937541751554283,1.0220816039445009
2018-03-29,0.008207985122272943,0.003024803331935999,0.005183181790336944,5,"2327.TW,3008.TW,5871.TW,3711.TW,2454.TW",2018,0.9010900961280734,1.0251731997856226
2018-04-10,0.0035909398006013227,-0.01568144435103569,0.019272384151637012,5,"2327.TW,2345.TW,1101.TW,2412.TW,5876.TW",2018,0.9043258564181874,1.009097003303011
2018-04-17,-0.05842805225097658,-0.028799450788166925,-0.029628601462809656,5,"2327.TW,2345.TW,2408.TW,2379.TW,5871.TW",2018,0.8514878580274764,0.9800355638158993
2018-04-24,0.03422281751074285,-0.0025234752983662734,0.03674629280910913,5,"2345.TW,1590.TW,2327.TW,3008.TW,2379.TW",2018,0.880628171605364,0.9775624682790894
2018-05-02,0.06681926836629182,0.02087285805706296,0.04594641030922886,5,"3711.TW,3008.TW,2327.TW,2454.TW,1590.TW",2018,0.9394711017347797,0.997966990921391
2018-05-09,-0.0023587649542091693,0.015489389682795007,-0.017848154637004177,5,"2345.TW,2884.TW,5876.TW,2882.TW,2891.TW",2018,0.9372551102245154,1.0134248905343388
2018-05-16,0.02631184223496641,-0.007321475246944598,0.03363331748191101,5,"2345.TW,2609.TW,3034.TW,3008.TW,5880.TW",2018,0.9619160188186588,1.0060051252836542
2018-05-23,0.022357564598157076,-0.006760837550922938,0.029118402149080014,5,"2327.TW,2345.TW,1101.TW,1102.TW,2308.TW",2018,0.9834221183473991,0.9992036880562155
2018-05-30,0.05029447712289015,0.03341585976131989,0.01687861736157026,5,"2327.TW,2345.TW,2408.TW,2883.TW,2886.TW",2018,1.0328828195807664,1.0325929383692956
2018-06-06,0.007889721853444831,-0.011976150711731526,0.019865872565176357,5,"2327.TW,2609.TW,6669.TW,2345.TW,3711.TW",2018,1.0410319777344605,1.0202264497155151
2018-06-13,-0.08385040930058563,-0.02060619192797153,-0.0632442173726141,5,"1590.TW,3008.TW,2327.TW,2408.TW,3017.TW",2018,0.9537410203064279,0.9992034676826842
2018-06-21,0.02021999295906607,-0.006188046433359795,0.026408039392425864,5,"2327.TW,1590.TW,2303.TW,9910.TW,2882.TW",2018,0.9730256570217964,0.9930203502282896
