year,horizon,seed,train_rows,valid_rows,refit_rows,test_rows,best_epoch,best_valid_ic,test_ic,test_spread,refit_final_loss,clip_lo,clip_hi
2018,20,3407,55678,10878,67585,12226,50,0.047153885181907385,0.04340017210965284,0.013405343276971564,0.6451709541407499,-0.15528085827827454,0.7390825152397156
2019,20,3407,67585,11176,79790,12050,15,0.08667850660100117,0.023508575278364995,0.0007402934906920292,0.6840829390745896,-0.16279688477516174,0.7242862582206726
2020,20,3407,79790,11000,91840,12250,15,0.07440937728627048,0.08293897150697013,0.02899337419810798,0.6854186375935872,-0.15992000699043274,0.6954249143600464
2021,20,3407,91840,11200,104090,12150,25,0.13034899674155376,0.07491199698794077,0.027119355743915684,0.6765042894026813,-0.16625314950942993,0.5463051795959473
2022,20,3407,104090,11100,116240,12300,30,0.09509753919689289,0.07660703597702923,0.021803991790067263,0.6773690236242194,-0.175417959690094,0.5726451873779297
2023,20,3407,116240,11250,128540,11950,30,0.10548582090795187,0.024976004945993228,-0.007766701045392654,0.6695984176227024,-0.17677102982997894,0.4736236035823822
2024,20,3407,128540,10900,140490,12100,25,0.08426950718770045,0.0062216312982169356,-0.0021950438823032143,0.6784263797428297,-0.17479631304740906,0.42865636944770813
2025,20,3407,140490,11050,152590,12100,1,0.06231957822784141,0.09753534471639895,0.03654186400431108,0.7685780811309815,-0.1791461855173111,0.39914387464523315
2026,20,3407,152590,11050,164690,6850,10,0.1371952219801948,0.08416152403936362,0.06798785947955256,0.6870365275277032,-0.18091470003128052,0.38441526889801025
