model,seed,top_k,mean_ic,median_year_ic,mean_spread,positive_alpha_years,years,mean_alpha_vs_0050,mean_alpha_vs_equal_weight,median_alpha_vs_0050,mean_turnover,mean_active_sharpe,mean_best_epoch,mean_valid_ic
mlp_rank,9999,3,0.04285502636948559,0.050539758083242105,0.004745458240758403,4,9,-0.020603035231597996,-0.01072449954973214,-0.048253807817108196,0.813302405102342,-0.12137148966013757,10.88888888888889,0.06681862403599777
mlp_rank,9999,5,0.04285502636948559,0.050539758083242105,0.004745458240758403,3,9,-0.0662132303371584,-0.05633469465529254,-0.10601603498560008,0.7646406740666207,-0.35917165620179875,10.88888888888889,0.06681862403599777
mlp_rank,9999,10,0.04285502636948559,0.050539758083242105,0.004745458240758403,4,9,-0.06625890589565053,-0.05638037021378468,-0.025459048548593266,0.6519941322969173,-0.31106246581478786,10.88888888888889,0.06681862403599777
