date,top_k,gross_ret,net_ret,0050_ret,equal_weight_ret,buy_turnover,sell_turnover,turnover,transaction_cost,stocks,gross_equity,net_equity,0050_equity,equal_weight_equity,year
2018-01-02,3,-0.03621327818988266,-0.03758667426846207,0.013863965563603031,0.015995608302274398,1.0,0.0,0.5,0.001425,"1590.TW,2327.TW,3008.TW",0.9637867218101174,0.9624133257315379,1.013863965563603,1.0159956083022743,2018
2018-01-02,10,0.004231181953568338,0.002800152519284449,0.013863965563603031,0.015995608302274398,0.9999999999999999,0.0,0.49999999999999994,0.0014249999999999998,"1590.TW,2327.TW,3008.TW,2609.TW,2618.TW,2408.TW,2603.TW,1102.TW,2887.TW,2379.TW",1.0042311819535683,1.0028001525192844,1.013863965563603,1.0159956083022743,2018
2018-01-02,5,-0.023707683504585103,-0.02509890005559101,0.013863965563603031,0.015995608302274398,1.0,0.0,0.5,0.001425,"1590.TW,2327.TW,3008.TW,2609.TW,2618.TW",0.9762923164954149,0.974901099944409,1.013863965563603,1.0159956083022743,2018
2018-01-09,3,-0.04039968581982685,-0.04230355697515009,0.006539668161630541,0.004547027648275283,0.33914959794176563,0.3391495979417657,0.3391495979417657,0.001984025147959329,"2327.TW,3017.TW,1590.TW",0.9248500410516677,0.9216998187728102,1.0204942994594237,1.0206153684237511,2018
2018-01-09,10,-0.011627792870063047,-0.014068162747937762,0.006539668161630541,0.004547027648275283,0.42206492763745884,0.42206492763745884,0.42206492763745884,0.0024690798266791343,"2327.TW,3017.TW,1590.TW,3008.TW,2345.TW,2408.TW,2886.TW,2885.TW,2609.TW,2603.TW",0.9925541897761537,0.9886925967699863,1.0204942994594237,1.0206153684237511,2018
2018-01-09,5,-0.03463351812215794,-0.03704940931809697,0.006539668161630541,0.004547027648275283,0.4277886810440503,0.42778868104405016,0.4277886810440502,0.002502563784107694,"2327.TW,3017.TW,1590.TW,3008.TW,2345.TW",0.9424798788595474,0.9387815900479056,1.0204942994594237,1.0206153684237511,2018
2018-01-16,3,0.033984511997745104,0.027935702602558177,0.03957472980937049,0.007712087258277363,1.0,0.9999999999999998,0.9999999999999999,0.005849999999999999,"3008.TW,2345.TW,2454.TW",0.9562806183679031,0.9474481507988791,1.0608800856325333,1.028486443202174,2018
2018-01-16,10,0.008539352793115086,0.004350560952563143,0.03957472980937049,0.007712087258277363,0.7099701080316664,0.7099701080316662,0.7099701080316663,0.004153325131985248,"3008.TW,2345.TW,2454.TW,2303.TW,4904.TW,2886.TW,2615.TW,2884.TW,2912.TW,2892.TW",1.0010299601689367,0.9929939641755821,1.0608800856325333,1.028486443202174,2018
2018-01-16,5,0.02541604092660701,0.02172295603744634,0.03957472980937049,0.007712087258277363,0.6156491970607458,0.6156491970607455,0.6156491970607456,0.0036015478028053618,"3008.TW,2345.TW,2454.TW,2303.TW,4904.TW",0.9664339860331453,0.9591747012572802,1.0608800856325333,1.028486443202174,2018
2018-01-23,3,-0.03603391115868704,-0.037995878922267856,-0.01617277867250766,-0.013470273157685802,0.34791587460170537,0.3479158746017056,0.3479158746017055,0.0020353078664199775,"3008.TW,2327.TW,2345.TW",0.9218220875228598,0.9114490255759984,1.0437227068095274,1.0146324498732642,2018
2018-01-23,10,-0.02607686867072923,-0.02952846101651585,-0.01617277867250766,-0.013470273157685802,0.6058135048083911,0.6058135048083911,0.6058135048083911,0.003544009003129088,"3008.TW,2327.TW,2345.TW,2615.TW,2603.TW,2330.TW,2891.TW,2618.TW,1101.TW,2454.TW",0.9749262333621461,0.9636723806147879,1.0437227068095274,1.0146324498732642,2018
2018-01-23,5,-0.027411764930563635,-0.030866238638766808,-0.01617277867250766,-0.013470273157685802,0.6071514181398847,0.6071514181398845,0.6071514181398846,0.0035518357961183246,"3008.TW,2327.TW,2345.TW,2615.TW,2603.TW",0.9399423247870972,0.9295685860320051,1.0437227068095274,1.0146324498732642,2018
2018-01-30,3,-0.036382192773240354,-0.03826761662914058,-0.03613751857873937,-0.034971424779102984,0.3344631801168131,0.3344631801168132,0.33446318011681314,0.001956609603683357,"3008.TW,2345.TW,1590.TW",0.8882841786319722,0.8765700436882523,1.006005158101146,0.9791493074740844,2018
2018-01-30,10,-0.03627242469480625,-0.039691337808447025,-0.03613751857873937,-0.034971424779102984,0.606426138517685,0.606426138517685,0.606426138517685,0.003547592910328457,"3008.TW,2345.TW,1590.TW,3034.TW,2454.TW,2330.TW,2207.TW,2303.TW,2379.TW,2382.TW",0.9395632949795265,0.925422934619136,1.006005158101146,0.9791493074740844,2018
