year,model,top_k,mean_ic,median_ic,positive_ic_days,mean_top_bottom_spread,gross_return,net_return,0050_return,equal_weight_return,alpha_vs_0050,alpha_vs_equal_weight,cost_drag,mean_turnover,total_transaction_cost,max_drawdown,sharpe,active_sharpe,periods
2018,mlp,3,0.025553647191277368,0.01915966386554622,0.5387755102040817,0.0019760489190113863,-0.022230165521449186,-0.18347171036985754,-0.07975129418101068,0.014311323285618016,-0.10372041618884686,-0.19778303365547556,0.16124154484840836,0.6325670125377948,0.17982533414395888,-0.5292667055452033,-0.2651068618420033,-0.10754299899420736,49
2018,mlp,5,0.025553647191277368,0.01915966386554622,0.5387755102040817,0.0019760489190113863,-0.008652573320954593,-0.1836959413674505,-0.07975129418101068,0.014311323285618016,-0.10394464718643981,-0.1980072646530685,0.1750433680464959,0.6815169524035273,0.19385683440647108,-0.4241019783936063,-0.4154344493927596,-0.24693244399082814,49
2018,mlp,10,0.025553647191277368,0.01915966386554622,0.5387755102040817,0.0019760489190113863,0.10058983783514641,-0.09169366438713755,-0.07975129418101068,0.014311323285618016,-0.011942370206126873,-0.10600498767275557,0.19228350222228396,0.6737212505214554,0.19162219646197523,-0.28258206194880475,-0.2703612150540589,0.02921736963980706,49
2019,mlp,3,0.02042294031757697,0.013877551020408161,0.5394190871369294,0.0010573408621913625,0.8816911346166438,0.5162837958170763,0.3568104046050311,0.36463254446228577,0.15947339121204518,0.15165125135479052,0.36540733879956755,0.7565960122475511,0.21537824691076052,-0.17137468646139808,1.5872871381993754,0.6496454024383133,49
2019,mlp,5,0.02042294031757697,0.013877551020408161,0.5394190871369294,0.0010573408621913625,0.7091069746333964,0.3925423265049497,0.3568104046050311,0.36463254446228577,0.035731921899918584,0.027909782042663922,0.31656464812844676,0.7182358881826512,0.2043823173475569,-0.16167017829857167,1.481698732810978,0.26564546620314977,49
2019,mlp,10,0.02042294031757697,0.013877551020408161,0.5394190871369294,0.0010573408621913625,0.5326278419509887,0.2628615794679585,0.3568104046050311,0.36463254446228577,-0.09394882513707259,-0.10177096499432725,0.26976626248303015,0.6792381475380902,0.19320361499179356,-0.12599182280343857,1.366352081474952,-0.5059831225070456,49
2020,mlp,3,0.024384974137325585,0.020312124849939977,0.5469387755102041,0.0035512541207679267,1.3850320439554258,0.9039364333567668,0.3140110207168767,0.2948164337637449,0.5899254126398901,0.6091199995930219,0.481095610598659,0.7892239260228537,0.22473103839445105,-0.27691490657682305,1.7100464997704774,1.1757721331982147,49
2020,mlp,5,0.024384974137325585,0.020312124849939977,0.5469387755102041,0.0035512541207679267,1.3453116726071386,0.8903716962718715,0.3140110207168767,0.2948164337637449,0.5763606755549948,0.5955552625081266,0.45493997633526706,0.7557795830143548,0.21514421747106477,-0.29110486857777884,1.9124579444596614,1.4651703361413573,49
2020,mlp,10,0.024384974137325585,0.020312124849939977,0.5469387755102041,0.0035512541207679267,0.9153433826309036,0.5725576459480632,0.3140110207168767,0.2948164337637449,0.25854662523118654,0.27774121218431835,0.3427857366828404,0.691729216135576,0.1967841798052628,-0.2642285860997855,1.7612711235183096,1.0546577820796446,49
2021,mlp,3,0.0466526551771135,0.056038415366146455,0.6008230452674898,0.005616562158600077,0.8985565392446164,0.5011823032440164,0.22318424658314662,0.4155932728921081,0.27799805666086974,0.08558903035190824,0.39737423600060007,0.8224219558780657,0.23424725365244756,-0.19131101300625541,1.1732753335900685,0.7488095928645763,49
2021,mlp,5,0.0466526551771135,0.056038415366146455,0.6008230452674898,0.005616562158600077,0.7160487137442537,0.3722713016272423,0.22318424658314662,0.4155932728921081,0.1490870550440957,-0.04332197126486581,0.3437774121170114,0.783245790325305,0.2230174057967487,-0.15819996480064968,1.0567678397057765,0.5608587919632935,49
2021,mlp,10,0.0466526551771135,0.056038415366146455,0.6008230452674898,0.005616562158600077,0.8806082264956683,0.5453158380132632,0.22318424658314662,0.4155932728921081,0.3221315914301166,0.1297225651211551,0.33529238848240506,0.6888230952687253,0.1959511402587801,-0.12719243732962449,1.742095141783264,1.361576780965139,49
