date,ic,top_alpha,bottom_alpha,top_bottom_spread,year
2018-01-02,0.07081632653061223,-0.013221507775733573,-0.0060235913703952215,-0.007197916405338352,2018
2018-01-03,-0.08367346938775508,-0.005288637489548171,0.0038204668833133277,-0.009109104372861498,2018
2018-01-04,0.2940816326530612,0.009033564578285969,-0.027083415508782644,0.03611698008706861,2018
2018-01-05,0.15397959183673468,-0.015933106385674602,-0.024010591152679388,0.008077484767004785,2018
2018-01-08,0.0064285714285714285,-0.016897012098388255,-0.006086245570546279,-0.010810766527841976,2018
2018-01-09,-0.059387755102040814,-0.016406940827340857,-0.00961441522845674,-0.0067925255988841166,2018
2018-01-10,-0.053270742189832875,-0.01514533045544935,-0.017186211632835305,0.0020408811773859545,2018
2018-01-11,0.15255102040816323,-0.023823199427104376,-0.030533608331745923,0.006710408904641547,2018
2018-01-12,0.025204081632653058,-0.024956355296851522,-0.028937462619489398,0.003981107322637876,2018
2018-01-15,0.060204081632653055,-0.017427809620407957,-0.037140326854805256,0.0197125172343973,2018
2018-01-16,0.0736734693877551,-0.030086578063496856,-0.025147693510019345,-0.004938884553477511,2018
2018-01-17,0.1746938775510204,-0.017604183461503164,-0.01710946594949334,-0.0004947175120098256,2018
2018-01-18,-0.04010204081632653,-0.022396935746389086,-0.005405680284422331,-0.016991255461966753,2018
2018-01-19,0.10551020408163263,0.007282175043743671,-0.010617905901487527,0.017900080945231198,2018
2018-01-22,0.022346938775510205,0.004152206528944016,0.010013298469659334,-0.005861091940715319,2018
2018-01-23,-0.03204081632653061,-0.005746850357552069,-0.005645379225886236,-0.0001014711316658333,2018
2018-01-24,0.17275950922736857,0.02299611387934766,0.004037705448502904,0.018958408430844755,2018
2018-01-25,0.49387755102040815,0.025492355437697442,-0.01980972229762755,0.04530207773532499,2018
2018-01-26,0.26030612244897955,-0.007211487612552093,-0.02304287579928081,0.015831388186728718,2018
2018-01-29,0.17041251057868018,0.006535720436376279,0.0014543743394732386,0.00508134609690304,2018
2018-01-30,-0.20130118801374203,0.0007265292890897465,0.016846510878832426,-0.01611998158974268,2018
2018-01-31,-0.019795918367346933,-0.007062674993581153,-0.006945216467712327,-0.00011745852586882589,2018
2018-02-01,-0.12755102040816327,-0.028438755130341182,0.0034922809385209298,-0.03193103606886211,2018
2018-02-02,0.03224489795918367,0.0019163878171197554,0.005692435414730955,-0.0037760475976112,2018
2018-02-05,-0.06304921968787515,-0.0007234149887527574,0.00031692302592923883,-0.0010403380146819963,2018
2018-02-06,-0.07668851595285968,-0.0013815422492119867,-0.0018597427681238399,0.0004782005189118532,2018
2018-02-07,0.1528451380552221,0.013390872867117098,0.005038166227014318,0.008352706640102781,2018
2018-02-08,0.15693053859357883,0.04393211146462832,0.007156641951412701,0.036775469513215614,2018
2018-02-09,0.04657974982734745,0.01292434699978533,-0.0016460038702808323,0.014570350870066162,2018
2018-02-12,0.1925090036014406,0.007508065021700849,0.0049385707869918135,0.0025694942347090355,2018
2018-02-21,0.15764705882352942,0.023888178001020832,0.011153133427875606,0.012735044573145227,2018
2018-02-22,-0.08340936374549819,0.024234141795175346,0.008509138198029642,0.015725003597145702,2018
2018-02-23,0.16014405762304923,0.020547066886708376,-0.008324651733368483,0.02887171862007686,2018
2018-02-26,-0.029531812725090034,-0.004512452805037326,0.012539376072162633,-0.01705182887719996,2018
2018-02-27,0.23006002400960382,0.009019176941808038,0.002681693481700731,0.006337483460107307,2018
2018-03-01,-0.08254501800720286,-0.020929453424640886,0.0036598012734236907,-0.024589254698064576,2018
2018-03-02,-0.09983193277310923,-0.005233912550728692,-0.015883022927639313,0.01064911037691062,2018
2018-03-05,-0.01906362545018007,-0.0036823122172641052,0.010407981082639527,-0.014090293299903633,2018
2018-03-06,0.21229291716686674,0.013006531004930388,-0.014224147100160577,0.027230678105090965,2018
2018-03-07,-0.10549819927971187,0.002971480219333178,-0.0040719749606452195,0.007043455179978397,2018
2018-03-08,-0.01781512605042017,0.0014843994013580054,0.001185021051277868,0.0002993783500801373,2018
2018-03-09,-0.0035054021608643456,0.012181983570223464,-0.0010206314586162057,0.01320261502883967,2018
2018-03-12,0.2691061010643867,0.02648250661914949,-0.010137622546868608,0.0366201291660181,2018
2018-03-13,0.04192076830732293,0.03245237490836237,0.006527324634993903,0.02592505027336847,2018
