model,top_k,mean_ic,mean_top_bottom_spread,positive_alpha_years,years,mean_alpha_vs_0050,mean_alpha_vs_equal_weight,mean_turnover,mean_active_sharpe
mlp,3,0.01938384762147033,0.0024594356821676937,6,9,0.24761869851879947,0.25749723420066534,0.7750973432410779,0.4750461652469228
mlp,5,0.01938384762147033,0.0024594356821676937,6,9,0.11178696233976357,0.1216654980216294,0.7468906705727583,0.172872635987616
mlp,10,0.01938384762147033,0.0024594356821676937,4,9,-0.029083838844217884,-0.019205303162352028,0.6933848771539078,-0.20490257102100762
