date,portfolio_ret,benchmark_ret,realized_alpha,top_k,stocks,test_year,strategy_equity,benchmark_equity
2018-01-02,0.03586049199243657,0.013863965563603031,0.02199652642883354,5,"1101.TW,2887.TW,2886.TW,1102.TW,2412.TW",2018,1.0358604919924366,1.013863965563603
2018-01-09,-0.011096781629873709,0.006539668161630541,-0.01763644979150425,5,"5880.TW,2412.TW,2880.TW,2884.TW,4904.TW",2018,1.024365774313783,1.0204942994594237
2018-01-16,-0.0026555998180198825,0.03957472980937049,-0.04223032962739037,5,"2887.TW,2892.TW,2880.TW,5880.TW,2412.TW",2018,1.0216454687499297,1.0608800856325333
2018-01-23,-0.01796819013741857,-0.01617277867250766,-0.001795411464910912,5,"2887.TW,5880.TW,2892.TW,2395.TW,3008.TW",2018,1.0032883487143989,1.0437227068095274
2018-01-30,-0.037159379230513157,-0.03613751857873937,-0.0010218606517737872,5,"4904.TW,2892.TW,2357.TW,2887.TW,2883.TW",2018,0.9660067764869652,1.006005158101146
2018-02-06,-0.010135077210538967,0.001843798177777467,-0.011978875388316435,5,"3008.TW,1590.TW,2327.TW,6669.TW,2345.TW",2018,0.9562162232213659,1.0078600285784876
2018-02-21,-0.0004002509066742821,-0.007975610027672886,0.007575359120998604,5,"2327.TW,2330.TW,2881.TW,2207.TW,2882.TW",2018,0.9558334968110449,0.9998217300280663
2018-03-01,0.021018254404866266,0.02535598996917665,-0.004337735564310385,5,"3037.TW,6669.TW,2891.TW,9910.TW,1301.TW",2018,0.9759234484157123,1.0251731997856228
2018-03-08,0.028986777968100785,0.013268757344246485,0.0157180206238543,5,"1590.TW,3008.TW,3034.TW,3231.TW,3017.TW",2018,1.0042123247288017,1.038775974209403
2018-03-15,-0.03578378166145202,-0.02559525394992357,-0.01018852771152845,5,"3008.TW,1590.TW,5876.TW,2880.TW,1101.TW",2018,0.9682778101589672,1.012188239352434
2018-03-22,0.007375344225824421,0.009774233889929818,-0.002398889664105397,5,"2303.TW,2880.TW,2412.TW,1303.TW,2609.TW",2018,0.9754191923151171,1.0220816039445009
2018-03-29,0.003251895762217627,0.003024803331935999,0.00022709243028162795,5,"2303.TW,4904.TW,5871.TW,2892.TW,3008.TW",2018,0.9785911538529923,1.0251731997856226
2018-04-10,-0.016275396374463624,-0.01568144435103569,-0.000593952023427935,5,"2345.TW,2880.TW,3045.TW,2892.TW,2412.TW",2018,0.9626641949354912,1.009097003303011
2018-04-17,-0.051266656665706845,-0.028799450788166925,-0.02246720587753992,5,"2345.TW,2884.TW,4904.TW,2880.TW,2408.TW",2018,0.9133116201693643,0.9800355638158993
2018-04-24,0.0679972915121394,-0.0025234752983662734,0.07052076681050568,5,"2345.TW,2892.TW,5876.TW,3008.TW,1102.TW",2018,0.9754143366474449,0.9775624682790894
2018-05-02,-0.00936099513309907,0.02087285805706296,-0.03023385319016203,5,"2880.TW,2884.TW,1102.TW,2886.TW,5876.TW",2018,0.9662834877893332,0.997966990921391
2018-05-09,0.0016035264169067531,0.015489389682795007,-0.013885863265888254,5,"2345.TW,5876.TW,2884.TW,2379.TW,2883.TW",2018,0.9678329488882241,1.0134248905343388
2018-05-16,0.03630597083648612,-0.007321475246944598,0.04362744608343072,5,"2345.TW,5880.TW,2884.TW,2885.TW,2887.TW",2018,1.0029710637051503,1.0060051252836542
2018-05-23,-0.01605528442878401,-0.006760837550922938,-0.009294446877861073,5,"5880.TW,2884.TW,2891.TW,2887.TW,1303.TW",2018,0.986868078003524,0.9992036880562155
2018-05-30,0.03207112180240834,0.03341585976131989,-0.001344737958911546,5,"2345.TW,5880.TW,3034.TW,2303.TW,2308.TW",2018,1.0185180443360837,1.0325929383692956
2018-06-06,-0.019711265663279187,-0.011976150711731526,-0.007735114951547661,5,"5880.TW,2002.TW,2887.TW,2884.TW,2891.TW",2018,0.9984417645813316,1.0202264497155151
2018-06-13,-0.06125109430127795,-0.02060619192797153,-0.040644902373306424,5,"2345.TW,1590.TW,5880.TW,2884.TW,3045.TW",2018,0.9372861139046261,0.9992034676826842
2018-06-21,0.009161091089442408,-0.006188046433359795,0.015349137522802203,5,"1590.TW,2327.TW,2303.TW,3045.TW,2882.TW",2018,0.9458726773709759,0.9930203502282896
2018-06-28,-0.03675984018346168,0.00996269882086942,-0.0467225390043311,5,"1590.TW,2303.TW,4904.TW,3017.TW,3045.TW",2018,0.9111025489169158,1.0029135129006084
2018-07-05,0.0028273887934877617,0.023427751013112452,-0.02060036221962469,5,"1590.TW,2412.TW,1301.TW,1303.TW,2303.TW",2018,0.9136785900534417,1.0264095209685298
2018-07-12,-0.0194989191198508,0.012048420922980085,-0.031547340042830885,5,"1590.TW,1216.TW,2912.TW,2883.TW,1303.TW",2018,0.8958628451244502,1.038776134916513
2018-07-19,0.024724159680560298,0.021542462357802883,0.0031816973227574152,5,"1590.TW,5876.TW,2615.TW,2002.TW,2884.TW",2018,0.9180123011591882,1.061153930701136
2018-07-26,-0.0025966285147696055,0.003525443584061483,-0.006122072098831088,5,"5880.TW,2884.TW,2002.TW,2883.TW,2886.TW",2018,0.915628564241089,1.064894969017828
2018-08-02,-0.04404903921784997,0.0035126836336154543,-0.04756172285146543,5,"2327.TW,6669.TW,5880.TW,1590.TW,2002.TW",2018,0.8752960057058495,1.0686356081470163
2018-08-09,-0.02142457125316266,-0.020419977284131585,-0.0010045939690310757,5,"6669.TW,1590.TW,2327.TW,5880.TW,2892.TW",2018,0.8565431640639959,1.04681409330364
2018-08-16,-0.0149061373185283,0.01250745774860218,-0.02741359506713048,5,"6669.TW,1590.TW,2880.TW,2454.TW,2884.TW",2018,0.8437754140412113,1.0599070763462766
2018-08-23,0.013569502367650532,0.02352945861531497,-0.009959956247664437,5,"2327.TW,2880.TW,5880.TW,2884.TW,2892.TW",2018,0.8552250265198088,1.0848461160352458
2018-08-30,-0.04893561659006096,-0.009195204517827182,-0.03974041207223378,5,"2885.TW,2327.TW,2880.TW,2379.TW,2884.TW",2018,0.8133740625238107,1.0748707341279313
2018-09-06,-0.052482626942710886,-0.005220580621701831,-0.047262046321009055,5,"2327.TW,1590.TW,2345.TW,3037.TW,5880.TW",2018,0.7706860550354964,1.0692592848025086
2018-09-13,0.016897759022502346,0.005830727641576772,0.011067031380925574,5,"6669.TW,2327.TW,3045.TW,2880.TW,4904.TW",2018,0.7837089222754892,1.0754938444704192
