year,feature,importance
2018,ret_1,0.00047679793373449976
2018,ret_5,0.0008825928305123239
2018,ret_20,0.0006098810996694537
2018,vol_5,0.0018470071356497817
2018,vol_20,0.002075260834300952
2018,ma5_ratio,0.001473192058279332
2018,ma20_ratio,0.0036718435520924964
2018,ma60_ratio,0.002290196860155392
2018,rsi_14,0.006061962741291325
2018,volume_ratio,0.00033272805942990524
2018,range_ratio,0.0004911054166493886
2018,market_ret_1,0.00022910017714761018
2018,market_ret_5,0.0002463142843706133
2018,market_ret_20,0.0006882801477408685
2018,market_ma20_ratio,0.001830403379698943
2018,excess_ret_1,0.0001213275278958264
2018,excess_ret_5,0.00036678715426150226
2018,excess_ret_20,0.0009926702988332498
2019,ret_1,0.00030346877703904627
2019,ret_5,0.0003694739492637084
2019,ret_20,0.001506909633831847
2019,vol_5,0.0017805338729086388
2019,vol_20,0.001900061925298537
2019,ma5_ratio,0.0012382163110609592
2019,ma20_ratio,0.003415301007656791
2019,ma60_ratio,0.0012244746098670168
2019,rsi_14,0.0038433182153691276
2019,volume_ratio,0.0002678765959387605
2019,range_ratio,0.00013988745474777844
2019,market_ret_1,0.00012625699587179512
2019,market_ret_5,8.045174720268492e-05
2019,market_ret_20,0.000607738150210742
2019,market_ma20_ratio,0.002057935794525955
2019,excess_ret_1,0.00011100600815218798
2019,excess_ret_5,0.00019297064082269072
2019,excess_ret_20,0.0015661677128775513
2020,ret_1,0.00026004432630076323
2020,ret_5,0.00024411032108628182
2020,ret_20,0.0010613949805286873
2020,vol_5,0.0015912617983192055
2020,vol_20,0.0021052587441990956
2020,ma5_ratio,0.0013623110381864596
2020,ma20_ratio,0.002585935209214251
2020,ma60_ratio,0.0010526307478119358
2020,rsi_14,0.0032964343715154495
2020,volume_ratio,0.00025767049935045307
2020,range_ratio,7.382852713745303e-06
2020,market_ret_1,8.201891966560332e-05
2020,market_ret_5,4.746175156116436e-05
2020,market_ret_20,0.0007666732494488755
2020,market_ma20_ratio,0.0019106670338072422
2020,excess_ret_1,0.0001243739182143632
2020,excess_ret_5,0.0001385035718357662
2020,excess_ret_20,0.0014051730845220357
2021,ret_1,8.202548206781618e-05
2021,ret_5,0.00018482270359457828
2021,ret_20,0.0011655128981503087
2021,vol_5,0.0007361687849897095
2021,vol_20,0.002036766725179721
2021,ma5_ratio,0.0012464010334396973
2021,ma20_ratio,0.0026675799752169525
2021,ma60_ratio,0.0009684839643628443
2021,rsi_14,0.0029644170512773075
2021,volume_ratio,0.00017968851651594753
2021,range_ratio,0.00030195682337696246
2021,market_ret_1,0.00011792410703816435
2021,market_ret_5,2.248339238044753e-05
2021,market_ret_20,0.00041534835263273904
2021,market_ma20_ratio,0.0012933514993314797
2021,excess_ret_1,0.000161596564655902
2021,excess_ret_5,0.00016421776457425935
2021,excess_ret_20,0.001258478339301891
2022,ret_1,0.00013783868668295804
2022,ret_5,0.00025641180836992873
2022,ret_20,0.0008944111318417213
2022,vol_5,0.0008288311358432344
2022,vol_20,0.002644772398918441
2022,ma5_ratio,0.0008721401673912998
2022,ma20_ratio,0.002133519522998763
2022,ma60_ratio,0.00022563078751041004
2022,rsi_14,0.0017874762259827961
2022,volume_ratio,0.00014510390087151248
2022,range_ratio,0.0002431401412507042
2022,market_ret_1,0.00016168610991378906
2022,market_ret_5,5.929996995908717e-05
2022,market_ret_20,0.0005046729426765828
2022,market_ma20_ratio,0.001113356449743185
2022,excess_ret_1,0.00024184570810197167
2022,excess_ret_5,0.0002582818888063581
2022,excess_ret_20,0.0011295020360135718
2023,ret_1,0.00010489391961622757
2023,ret_5,0.00034048269736375493
2023,ret_20,0.000737851055863786
2023,vol_5,0.000539785520685106
2023,vol_20,0.002351545254894598
2023,ma5_ratio,0.000990042528681203
2023,ma20_ratio,0.002242330383179088
2023,ma60_ratio,0.0001895571156587356
2023,rsi_14,0.0020087120058250355
2023,volume_ratio,0.00014900924170395557
2023,range_ratio,0.00017513255721016
2023,market_ret_1,0.00017322167423436125
2023,market_ret_5,0.00012388385397772968
2023,market_ret_20,0.00018122973405744076
2023,market_ma20_ratio,0.0005792199366026296
2023,excess_ret_1,0.00022637834710586405
2023,excess_ret_5,0.0003869534635208602
2023,excess_ret_20,0.0007683733607414558
2024,ret_1,5.687519302926659e-05
2024,ret_5,0.0001517898546368535
2024,ret_20,0.0005282155677596332
2024,vol_5,0.0005215527807536615
2024,vol_20,0.002273922033673805
2024,ma5_ratio,0.00109783299432697
2024,ma20_ratio,0.0017131920696482957
2024,ma60_ratio,0.0006528103047000401
2024,rsi_14,0.0017728214722684099
2024,volume_ratio,9.291686194418934e-05
2024,range_ratio,0.0004445139429998902
2024,market_ret_1,0.00020508590753015333
2024,market_ret_5,0.00022115434379365014
2024,market_ret_20,1.2703844232025711e-05
2024,market_ma20_ratio,0.00023047390320422541
2024,excess_ret_1,0.0002102940339870227
2024,excess_ret_5,0.0003061959146592074
2024,excess_ret_20,0.0004446913674516432
2025,ret_1,6.030158156394267e-06
2025,ret_5,0.000232945885766262
2025,ret_20,0.0006325563237628495
2025,vol_5,0.00037442215903313346
2025,vol_20,0.0020090874780137025
2025,ma5_ratio,0.0012319494081341603
2025,ma20_ratio,0.0022667399292476188
2025,ma60_ratio,0.00023234140138349505
2025,rsi_14,0.002329129084120767
2025,volume_ratio,0.00010347855996494978
2025,range_ratio,0.0003984630377330258
2025,market_ret_1,0.00029448155028289345
2025,market_ret_5,0.0002250532198415338
2025,market_ret_20,0.0005541902717654496
2025,market_ma20_ratio,0.0008980364275386998
2025,excess_ret_1,0.00022776227873080415
2025,excess_ret_5,0.00038081386332499073
2025,excess_ret_20,0.0009722868261628999
2026,ret_1,6.701163341308338e-05
2026,ret_5,3.35340042271319e-05
2026,ret_20,0.000947431836754959
2026,vol_5,4.050097949362245e-05
2026,vol_20,0.002031747415208106
2026,ma5_ratio,0.0012367873531301257
2026,ma20_ratio,0.002533378750408672
2026,ma60_ratio,0.0001585975664967649
2026,rsi_14,0.002599013769360126
2026,volume_ratio,0.00013185144691313345
2026,range_ratio,0.00025603350606234445
2026,market_ret_1,0.0003670690390415774
2026,market_ret_5,0.00036322975412564373
2026,market_ret_20,0.0006737507256805651
2026,market_ma20_ratio,0.0011476543866910903
2026,excess_ret_1,0.0002313011496442224
2026,excess_ret_5,0.00031724080797661806
2026,excess_ret_20,0.0013459658129066374
