date,ic,top_alpha,bottom_alpha,spread,year,seed
2018-01-02,0.2554081632653061,0.009195680173851885,-0.0037590866287933056,0.012954766802645191,2018,9999
2018-01-03,0.04581632653061224,-0.018487104314120064,-0.0026659289964976957,-0.01582117531762237,2018,9999
2018-01-04,0.2757142857142857,0.0002761489248931258,-0.024967381309995,0.025243530234888123,2018,9999
2018-01-05,0.16816326530612244,0.009397686019964317,-0.019112311864665815,0.028509997884630132,2018,9999
2018-01-08,0.08867346938775508,0.010013463186951252,-0.013997461278025751,0.024010924464977004,2018,9999
2018-01-09,0.1677551020408163,0.009719845074568911,-0.010597325661544699,0.02031717073611361,2018,9999
2018-01-10,-0.01816511898427251,-0.0069835051261079644,-0.004146754795998193,-0.002836750330109772,2018,9999
2018-01-11,-0.06387918061212802,-0.018270193742658408,-0.013378161577221123,-0.004892032165437285,2018,9999
2018-01-12,0.16607566524958203,-0.022729611352698836,-0.02882302194195379,0.006093410589254954,2018,9999
2018-01-15,0.11479591836734693,-0.011589109453223445,-0.031049493041679463,0.019460383588456018,2018,9999
2018-01-16,-0.09266251706583954,-0.02581856885951539,-0.022848078433879555,-0.002970490425635835,2018,9999
2018-01-17,0.2224489795918367,-0.006601533223942746,-0.03361277588964998,0.027011242665707237,2018,9999
2018-01-18,0.06173469387755102,-0.013634080370050946,-0.018931810445452113,0.005297730075401167,2018,9999
2018-01-19,0.11010484964933885,0.010475791911592449,-0.00924257953198552,0.01971837144357797,2018,9999
2018-01-22,0.16387755102040813,0.015677619602169426,-0.006790116383932367,0.022467735986101793,2018,9999
2018-01-23,0.28367346938775506,0.010977694015343344,-0.004314703761305173,0.015292397776648517,2018,9999
2018-01-24,0.5180612244897959,0.03665533461946762,-0.01230617246303065,0.04896150708249827,2018,9999
2018-01-25,0.4306122448979591,0.025344876499417537,-0.008270010740557728,0.033614887239975265,2018,9999
2018-01-26,0.2324489795918367,-0.0012970267393741025,-0.02404939761506138,0.022752370875687277,2018,9999
2018-01-29,0.03989795918367346,0.0014810207037275142,0.0021859168006646496,-0.0007048960969371354,2018,9999
2018-01-30,0.06693877551020408,0.010634742430027254,0.0047451342184200935,0.005889608211607161,2018,9999
2018-01-31,0.28234693877551015,0.004301039048708797,-0.016205541698151544,0.02050658074686034,2018,9999
2018-02-01,0.15030612244897956,0.0001491409255424372,-0.014663987810097022,0.014813128735639459,2018,9999
2018-02-02,0.03163265306122449,0.007517052177144169,0.0017945093004624077,0.005722542876681761,2018,9999
2018-02-05,0.39130852340936373,0.011318665055012733,-0.02368471166183207,0.0350033767168448,2018,9999
2018-02-06,0.11827414827294513,0.005230397171567125,0.004282760277144337,0.0009476368944227875,2018,9999
2018-02-07,0.057190876350540217,0.00869947857796458,-0.0033672275900530346,0.012066706168017615,2018,9999
2018-02-08,0.5080912364945978,0.04713206329659989,-0.025421738964221695,0.07255380226082159,2018,9999
