feature,importance
market_ret_5,0.22564256687959036
market_ret_1,0.21993111901813084
market_ret_20,0.1513336193230417
market_ma20_ratio,0.15009360843234593
volume_ratio,0.039346673215428986
rsi_14,0.021026762823263805
vol_20,0.021004632943206362
ret_20,0.017788690514862537
ma60_ratio,0.017141903957559004
excess_ret_20,0.016807727722658053
excess_ret_5,0.016522449027332995
ret_5,0.015766238069368735
range_ratio,0.01571265163107051
vol_5,0.015513802775078349
ma20_ratio,0.015391725839840041
excess_ret_1,0.015077116692231761
ma5_ratio,0.013464590224126974
ret_1,0.012434074448214637
