year,train_rows,test_rows,mean_ic,median_ic,positive_ic_days,strategy_return,benchmark_return,alpha,max_drawdown,active_sharpe,positive_alpha_periods,rebalances
2018,68320,12226,0.04528980890223463,0.03306122448979592,0.5795918367346938,-0.24104862251367754,-0.07975129418101068,-0.16129732833266686,-0.412760503843452,-0.5118032897060736,0.40816326530612246,49
2019,80540,12050,0.041935505080023514,0.03212484993997599,0.6265560165975104,0.09155141359504815,0.3568104046050311,-0.26525899100998296,-0.19068260901534861,-1.2598643738601452,0.42857142857142855,49
2020,92590,12250,0.018196739641578606,0.006770708283313325,0.5183673469387755,0.21422003474100038,0.3140110207168767,-0.09979098597587632,-0.3499628840693412,-0.11061296468370672,0.6122448979591837,49
2021,104840,12150,0.028834493871548295,0.054981992797118844,0.5637860082304527,0.5839424499142258,0.22318424658314662,0.3607582033310792,-0.36413582976674663,0.8549974421467653,0.4489795918367347,49
2022,116990,12300,0.0026100866801983392,-0.005426170468187275,0.491869918699187,-0.3022786205350665,-0.18344788049490113,-0.11883074004016536,-0.311143766094816,-0.6316587275390888,0.5,50
2023,129290,11950,0.017660005357377183,0.030012004801920768,0.5648535564853556,0.5880001740954168,0.2467194348868127,0.34128073920860413,-0.19271212427883122,0.9633110543700486,0.4375,48
2024,141240,12100,0.02426874849786952,0.03490996398559423,0.5743801652892562,-0.19595509355303353,0.5589771562124362,-0.7549322497654697,-0.30989512272531805,-2.9273168600775237,0.3469387755102041,49
2025,153340,12100,0.057371909485346435,0.04689131318397686,0.5826446280991735,0.6188306787215794,0.4512290555641256,0.16760162315745375,-0.22565352248095882,0.565197467740433,0.5510204081632653,49
2026,165440,7600,0.015599678763199244,0.025738295318127248,0.5526315789473685,0.5103437759035736,0.5596433461554582,-0.049299570251884584,-0.23356450732681844,0.13431879505949418,0.45161290322580644,31
