model,seed,top_k,mean_ic,median_year_ic,mean_spread,positive_alpha_years,years,mean_alpha_vs_0050,mean_alpha_vs_equal_weight,median_alpha_vs_0050,mean_turnover,mean_active_sharpe,mean_best_epoch,mean_valid_ic
mlp_reg,1,3,0.03757829931236777,0.036049188330547585,0.004162216396738004,6,9,0.1376568048856731,0.14753534056753895,0.1201000394382643,0.7869411877715363,0.21660520056085747,25.11111111111111,0.059226143756522305
mlp_reg,1,5,0.03757829931236777,0.036049188330547585,0.004162216396738004,3,9,0.0415825069954219,0.05146104267728776,-0.05797474570729522,0.7658618258696797,0.11527909282807763,25.11111111111111,0.059226143756522305
mlp_reg,1,10,0.03757829931236777,0.036049188330547585,0.004162216396738004,6,9,-0.045517202966081985,-0.03563866728421613,0.0077685451329641,0.6738576363873147,-0.21836914614415048,25.11111111111111,0.059226143756522305
