Date,Open,High,Low,Close,Volume,market_close,ret_1,ret_5,ret_20,vol_5,vol_20,ma5_ratio,ma20_ratio,ma60_ratio,rsi_14,volume_ratio,market_ret_1,market_ret_5,market_ma20_ratio,future_ret_5,target,prob_up,signal,strategy_ret,buyhold_ret,strategy_equity,buyhold_equity
2026-01-02,1545.8190914117952,1575.6419677734375,1535.878132624581,1575.6419677734375,37512761,65.618896484375,0.02258063136119315,0.0602006680722007,0.09674715979334936,0.011408697659983365,0.01401248401597473,0.029889543742251057,0.06984483516399353,0.08701107468386549,0.7101837361442631,1.4816190884088627,0.02057925300784791,0.0485513355289906,0.05205263685706929,0.05993689483120068,1,0.19033799,0,0.0,0.05993689483120068,1.0,1.0599368948312007
2026-01-09,1655.1696166992188,1689.9629720052083,1645.2286580403645,1670.0810546875,37387656,68.46123504638672,-0.0029674195998651287,0.05993689483120068,0.1200000000000001,0.027154110501298703,0.01789577603345322,-0.0017825530439257165,0.09499754631477186,0.13518246353404506,0.732737988202185,1.2004815970109828,-0.0035663887762412694,0.04331585433913121,0.06955551134443438,0.03571428571428581,1,0.80601126,1,0.02986428571428581,0.03571428571428581,1.029864285714286,1.097791783932315
2026-01-16,1724.756327311198,1739.6677652994792,1699.9039306640625,1729.726806640625,53551629,70.56848907470703,0.029585823753119023,0.03571428571428581,0.21678318195448232,0.015272831154008154,0.01619627121650792,0.018735343466678378,0.08886106518923365,0.15999033772666071,0.7520022431516218,1.6167612556445667,0.019108154636477526,0.030780251435611916,0.06916133827254267,0.01724137931034475,1,0.31352943,0,0.0,0.01724137931034475,1.029864285714286,1.1167192284828722
2026-01-23,1759.5496826171875,1764.5201619466145,1739.6677652994792,1759.5496826171875,27601167,71.81300354003906,0.005681864959476757,0.01724137931034475,0.18394647208661352,0.013199361653010602,0.016780812957231852,0.005110753564376402,0.05813778992040075,0.16116037502945701,0.7223342539691481,0.787912681310793,0.006267339416331952,0.017635554928978836,0.05073877710332675,0.0028248471944150033,1,0.3245126,0,0.0,0.0028248471944150033,1.029864285714286,1.1198737896624014
2026-01-30,1779.4315794179138,1789.372537962148,1764.5201416015625,1764.5201416015625,40825139,72.160888671875,-0.016620565703346024,0.0028248471944150033,0.11987378966240114,0.016745212033289582,0.017858777228405204,-0.006715206110723293,0.023202166044870687,0.14589952163421338,0.6447338616147139,1.1224514074912602,-0.01559320876681769,0.004844319478184422,0.023776116019311955,0.0028169590913118547,1,0.6908999,1,-0.0030330409086881454,0.0028169590913118547,1.0267406652053175,1.1230284283153127
2026-02-06,1734.6973657500878,1769.49072265625,1729.7268861920645,1769.49072265625,33263592,71.46512603759766,0.008498618257067658,0.0028169590913118547,0.05952385825210804,0.013135700909686262,0.0137333728545618,0.0005621526571710778,0.012082482631794456,0.1299259779030415,0.6121354867892124,1.041349699055434,-0.0013887905720448845,-0.009641824637735108,0.002303030963204833,0.10393249900590984,1,0.3169284,0,0.0,0.10393249900590984,1.0267406652053175,1.2397475793248025
2026-02-24,1903.693523688474,1963.3392737779302,1903.693523688474,1953.3983154296875,40961679,78.91976165771484,0.034210449441165025,0.10393249900590984,0.12931030954157685,0.017525908356708288,0.016297773637894506,0.03693927934457397,0.08834114078803523,0.21692953362685907,0.7606027043609341,1.1884896667851959,0.025839847864039145,0.10431151574818909,0.08128051664284452,-0.05089056600142017,0,0.3493315,0,0.0,-0.05089056600142017,1.0267406652053175,1.1766561233140727
2026-03-04,1883.811645180546,1898.7230830051942,1853.98876953125,1853.98876953125,68160943,75.14273834228516,-0.03617569058880199,-0.05089056600142017,0.053672304821533734,0.022619112196273484,0.01983046497480746,-0.04701073917482457,0.005661883563605308,0.1232496658139175,0.5432517511227719,1.7366020868802006,-0.04000004288712622,-0.0478590309460275,0.002985026171595795,0.04021451057409209,1,0.7987338,1,0.03436451057409209,0.04021451057409209,1.062024105651616,1.2239747734271567
2026-03-11,1873.8707467305292,1938.4869793764094,1863.9297878619323,1928.5460205078125,36167313,77.72701263427734,0.0486486475722836,0.04021451057409209,0.09295778214091244,0.03418742051103075,0.024153061810357177,0.033013852801873966,0.033426571535104754,0.142627563908017,0.5952494632457782,0.8382718813727635,0.03989365312656523,0.034391537346170065,0.026987947529682588,-0.014837471229343757,0,0.57463235,1,-0.020687471229343758,-0.014837471229343757,1.0400535125210786,1.2058140829409887
2026-03-18,1894.9445781557579,1904.9179706723671,1884.9711856391486,1899.9312744140625,23068156,77.32943725585938,0.01871657018983819,-0.014837471229343757,0.07371643721420762,0.02016166284977055,0.02534615750994178,0.018519963040669607,0.0050480812678648235,0.1037670905922381,0.5596110785041088,0.5335067531546467,0.015003250081640163,-0.005115021984553159,0.0076089069883458205,-0.03149605085042073,0,0.378496,0,0.0,-0.03149605085042073,1.0400535125210786,1.1678357012685259
