date,gross_ret,net_ret,0050_ret,equal_weight_ret,buy_turnover,sell_turnover,turnover,transaction_cost,stocks,year,seed,top_k
2018-01-02,-0.006930763436440649,-0.00834588709854367,0.006630377327683679,0.0036986524667542322,1.0,0.0,0.5,0.001425,"1303.TW,3231.TW,2609.TW",2018,9999,3
2018-01-02,0.005025952824601643,0.0035937908418266495,0.006630377327683679,0.0036986524667542322,0.9999999999999999,0.0,0.49999999999999994,0.0014249999999999998,"1303.TW,3231.TW,2609.TW,2887.TW,2454.TW,2886.TW,2883.TW,1101.TW,2303.TW,1102.TW",2018,9999,10
2018-01-02,0.002957322400771416,0.001528108216350299,0.006630377327683679,0.0036986524667542322,0.9999999999999999,0.0,0.49999999999999994,0.0014249999999999998,"1303.TW,3231.TW,2609.TW,2887.TW,2454.TW,2886.TW,2883.TW,1101.TW,2303.TW,1102.TW,5876.TW,2615.TW,2618.TW,2880.TW,5880.TW",2018,9999,15
2018-01-02,0.004594179098866685,0.003162632393650666,0.006630377327683679,0.0036986524667542322,1.0000000000000002,0.0,0.5000000000000001,0.0014250000000000003,"1303.TW,3231.TW,2609.TW,2887.TW,2454.TW,2886.TW,2883.TW,1101.TW,2303.TW,1102.TW,5876.TW,2615.TW,2618.TW,2880.TW,5880.TW,2412.TW,1301.TW,4904.TW,2884.TW,2002.TW",2018,9999,20
2018-01-02,0.0013379263460636236,-8.898019897962683e-05,0.006630377327683679,0.0036986524667542322,1.0,0.0,0.5,0.001425,"1303.TW,3231.TW,2609.TW,2887.TW,2454.TW",2018,9999,5
2018-01-03,-0.004678838028555599,-0.00934826971804903,3.2988525977550864e-07,0.004016698519925772,0.8019456248819924,0.8019456248819923,0.8019456248819923,0.004691381905559655,"2317.TW,2002.TW,2412.TW,5880.TW,3231.TW",2018,9999,5
2018-01-03,-0.004141345559014209,-0.008809792188613663,3.2988525977550864e-07,0.004016698519925772,0.8013437060872299,0.8013437060872298,0.8013437060872299,0.004687860680610295,"2317.TW,2002.TW,2412.TW,5880.TW,3231.TW,2880.TW,2308.TW,2357.TW,3008.TW,2883.TW",2018,9999,10
2018-01-03,-0.005968282208983192,-0.011783367758060659,3.2988525977550864e-07,0.004016698519925772,1.0,1.0,1.0,0.00585,"2317.TW,2002.TW,2412.TW",2018,9999,3
2018-01-03,0.0014622661017693436,-0.0008927888948287999,3.2988525977550864e-07,0.004016698519925772,0.4019856936387912,0.4019856936387911,0.40198569363879116,0.0023516163077869283,"2317.TW,2002.TW,2412.TW,5880.TW,3231.TW,2880.TW,2308.TW,2357.TW,3008.TW,2883.TW,2887.TW,3017.TW,2886.TW,2884.TW,2892.TW,1102.TW,2603.TW,2609.TW,1301.TW,2912.TW",2018,9999,20
2018-01-03,-0.0023506945545158343,-0.005856850777257838,3.2988525977550864e-07,0.004016698519925772,0.6007551358849728,0.6007551358849728,0.6007551358849728,0.003514417544927091,"2317.TW,2002.TW,2412.TW,5880.TW,3231.TW,2880.TW,2308.TW,2357.TW,3008.TW,2883.TW,2887.TW,3017.TW,2886.TW,2884.TW,2892.TW",2018,9999,15
2018-01-04,0.002358792697527479,2.4226422410400517e-06,0.003592762450848941,0.004738445518976719,0.40185041821697887,0.40185041821697876,0.4018504182169788,0.002350824946569326,"2207.TW,2317.TW,1303.TW,2395.TW,2002.TW,2308.TW,2412.TW,3008.TW,2880.TW,2884.TW,3231.TW,1301.TW,5880.TW,2887.TW,2891.TW,2615.TW,2892.TW,2303.TW,2618.TW,3045.TW",2018,9999,20
2018-01-04,0.001457587200617365,-0.0005028216827990262,0.003592762450848941,0.004738445518976719,0.3346248846948748,0.33462488469487484,0.33462488469487484,0.001957555575465018,"2207.TW,2317.TW,1303.TW,2395.TW,2002.TW,2308.TW,2412.TW,3008.TW,2880.TW,2884.TW,3231.TW,1301.TW,5880.TW,2887.TW,2891.TW",2018,9999,15
2018-01-04,0.0013755491651656162,-0.0025453746379104913,0.003592762450848941,0.004738445518976719,0.669322698861595,0.669322698861595,0.669322698861595,0.003915537788340331,"2207.TW,2317.TW,1303.TW",2018,9999,3
