year,model,seed,top_k,best_epoch,best_valid_ic,clip_lo,clip_hi,mean_ic,median_ic,positive_ic_days,mean_top_bottom_spread,gross_return,net_return,0050_return,equal_weight_return,alpha_vs_0050,alpha_vs_equal_weight,mean_turnover,total_cost,max_drawdown,sharpe,active_sharpe,periods
2018,mlp_reg,9999,3,45,0.055583605997363075,-0.0901692733168602,0.12218410521745682,0.06458806727156044,0.06477791116446578,0.6612244897959184,0.0058947008650501705,-0.1581293536868431,-0.2961623701702033,-0.07975129418101068,0.014311323285618016,-0.21641107598919263,-0.3104736934558213,0.628658080951002,0.1787048389046047,-0.45778809338472815,-0.6596748365429946,-0.5733826357398871,49
2018,mlp_reg,9999,5,45,0.055583605997363075,-0.0901692733168602,0.12218410521745682,0.06458806727156044,0.06477791116446578,0.6612244897959184,0.0058947008650501705,0.030436952242129278,-0.15210972842037673,-0.07975129418101068,0.014311323285618016,-0.07235843423936605,-0.16642105170599475,0.6839677036990328,0.19455934226532776,-0.3593951800410281,-0.31899148509597086,-0.1371339835014568,49
2018,mlp_reg,9999,10,45,0.055583605997363075,-0.0901692733168602,0.12218410521745682,0.06458806727156044,0.06477791116446578,0.6612244897959184,0.0058947008650501705,0.11996792849685356,-0.06517527053636607,-0.07975129418101068,0.014311323285618016,0.014576023644644609,-0.07948659382198409,0.6343784535086524,0.1803445836982552,-0.24042049205439153,-0.16305306526646135,0.20456366894613773,49
2019,mlp_reg,9999,3,20,0.05627561251108617,-0.08685477823019028,0.11706120520830154,0.02889537043670556,0.01944777911164466,0.5394190871369294,0.0019257004068555265,0.4963047850851827,0.16032679673913552,0.3568104046050311,0.36463254446228577,-0.19648360786589558,-0.20430574772315024,0.8899645060005328,0.2536083256450527,-0.27293303905204447,0.6574927316569402,-0.5465034200729725,49
2019,mlp_reg,9999,5,20,0.05627561251108617,-0.08685477823019028,0.11706120520830154,0.02889537043670556,0.01944777911164466,0.5394190871369294,0.0019257004068555265,0.530489738111487,0.21011232858150541,0.3568104046050311,0.36463254446228577,-0.1466980760235257,-0.15452021588078035,0.8225488163738258,0.23428361821355714,-0.20357187985213365,0.9105057336737206,-0.5224763480509872,49
2019,mlp_reg,9999,10,20,0.05627561251108617,-0.08685477823019028,0.11706120520830154,0.02889537043670556,0.01944777911164466,0.5394190871369294,0.0019257004068555265,0.5809523490857971,0.2947532308599168,0.3568104046050311,0.36463254446228577,-0.062057173745114325,-0.06987931360236899,0.7004361679903744,0.19928002755444088,-0.12173394422684458,1.533433037995907,-0.3178474723660861,49
2020,mlp_reg,9999,3,5,0.028609831518226225,-0.09084537625312805,0.11951235681772232,0.05006213547795688,0.04499399759903961,0.5918367346938775,0.0046263044728991716,0.09814896438301202,-0.1319153102398114,0.3140110207168767,0.2948164337637449,-0.4459263309566881,-0.4267317440035563,0.8232035159595407,0.2344712878498023,-0.2901870963027211,-0.18952644987532677,-1.2818054506456655,49
2020,mlp_reg,9999,5,5,0.028609831518226225,-0.09084537625312805,0.11951235681772232,0.05006213547795688,0.04499399759903961,0.5918367346938775,0.0046263044728991716,0.30067198281969154,0.030472383932252933,0.3140110207168767,0.2948164337637449,-0.28353863678462377,-0.26434404983149196,0.8155540594938123,0.23227857115390135,-0.2647735771511569,0.26748633436404345,-0.992427876135103,49
2020,mlp_reg,9999,10,5,0.028609831518226225,-0.09084537625312805,0.11951235681772232,0.05006213547795688,0.04499399759903961,0.5918367346938775,0.0046263044728991716,0.32780663791857,0.0896400268616504,0.3140110207168767,0.2948164337637449,-0.2243709938552263,-0.2051764069020945,0.6934032946657765,0.19726405441594483,-0.2670086083384563,0.46444481485511796,-1.1340278792997442,49
2021,mlp_reg,9999,3,1,0.06181023288342401,-0.08901359885931015,0.11716481298208237,-0.01073106779976344,-0.0005282112845138055,0.49794238683127573,0.00440934262694036,-0.08706051992337971,-0.2724971407520088,0.22318424658314662,0.4155932728921081,-0.49568138733515543,-0.6880904136441169,0.7952929790217951,0.22647073243659757,-0.4557052733551281,-0.584049561435073,-1.4053619362393064,49
